,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,sim_liq_density_240K,sim_liq_density_260K,sim_liq_density_280K,sim_liq_density_300K,sim_liq_density_320K,sim_vap_density_240K,sim_vap_density_260K,sim_vap_density_280K,sim_vap_density_300K,sim_vap_density_320K,sim_Pvap_240K,sim_Pvap_260K,sim_Pvap_280K,sim_Pvap_300K,sim_Pvap_320K,sim_Hvap_240K,sim_Hvap_260K,sim_Hvap_280K,sim_Hvap_300K,sim_Hvap_320K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
1,0.05195927923575207,0.8871877288485172,0.30206495696881636,0.5470411536282773,0.6278410182504607,0.10623433647269577,0.8797433341338453,0.8161971815410232,0.12010705059772205,0.6589628925996464,1393.4382858111112,1334.8499001555554,1268.9484007,1198.2192869222222,1116.7216924333331,3.9209525406,9.305284178944444,18.236556806111118,34.47389152377779,59.144296124444445,0.7440835958133334,1.8580783858222223,3.776731781244445,7.2072586184444445,12.214437696877779,222.68749369084478,209.61983692049853,195.1945517762298,178.33551768968485,159.34443143304165,379.8022569483054,505.3878241992194,6.7110837998410515,0.542649954517102,0.009057039481361618,5.399305526109736,31.27333777587024,42.4084336602724,0.16556883042854656,2.0288218926932973,2.4015572029338426,1.190477715621091,1.4944167575172815,1.2721578044111344,True
2,0.06762835344948039,0.7555035183936445,0.2262161516157521,0.8356546193109701,0.7579973804877548,0.330055425044641,0.6411708804634642,0.7972731620175356,0.9371937615271165,0.18431224603605456,1376.1738927111112,1312.5039188555556,1244.8848065444445,1179.3368329444447,1094.338317418889,4.179791838,9.84372087851111,19.156025716888884,38.60799525033334,65.57322451311114,0.7920911871877778,1.9591580467333332,3.948839719800001,7.911709703555555,13.285486580777777,222.57519916942988,208.20468683429493,193.13684738074525,176.00084990727535,155.32242972619167,375.4835045212121,504.2950452417987,542.3907796667718,8.990858732034093,0.42478469893964804,0.22052822083624904,1.621813765547778,57.83533687428862,1.8409069127166031,9.097254346774056,9.558343288608249,0.13707020714866155,0.34031814254353077,1.485632888884802,True
5,0.11491279494833531,0.8934626109915264,0.3610000988331133,0.13071397577113536,0.8789644772305315,0.8961570092820541,0.37793637470568087,0.6002683962155105,0.4482659440315049,0.5158787886820815,1393.850465177778,1332.3157187777776,1264.8131187555557,1192.8238632777775,1108.6360543888889,4.288518884655556,9.895549622933334,18.984847295999998,37.27571707233333,65.19448556988891,0.8124310895066665,1.9745185300333328,3.9269927396666655,7.741608823644445,13.212588460444442,220.94920823956113,208.07094097987186,193.00529826351698,175.7934949445861,154.9370686262001,375.77854876687576,508.5434106671107,40.091207769730644,6.265337205707273,0.33888379326202056,0.16598552750968815,2.460345234067526,11.266691949665947,0.49735320495604846,8.688580854963487,9.572188249400366,0.19744016804899164,0.4191627072701902,0.6557119228148578,True
6,0.12838484012647092,0.8109793245230142,0.4316217988735163,0.5347086606707082,0.1640647836683081,0.17009103697479927,0.8703883253187225,0.5983354865593136,0.6406307487264248,0.8495277441156076,1394.1972869777776,1334.237169688889,1271.1177645222222,1202.5151621333334,1116.9363785333333,3.6741336450222217,8.87124541718889,18.209364956,34.76010842188889,55.58937722633333,0.6979872724255556,1.7704172669444442,3.747230877844444,7.242813392655554,11.589604914511112,224.64764895684775,211.40386326378254,196.81439339222527,179.98431612906654,161.14960303835178,381.0856269898593,503.36923560843695,5.774795618941801,5.3243097556874615,0.07588379664122277,15.948037714411566,47.27424650368184,72.77394110435966,0.15304465370026357,2.9642633412969115,2.429241709317067,2.12590384253966,1.8373712594156526,1.6664904066346993,True
8,0.14411528137222632,0.2662674704329932,0.5098108282152122,0.4203153090267883,0.7153328101372002,0.7781742446847302,0.7740487126893394,0.7605486535028333,0.2845568897006625,0.8412398736043649,1382.3769261666666,1320.9748890222224,1252.482748388889,1180.0355020222223,1094.6821793277777,4.224193592111111,10.383825450377778,19.55476444077778,36.97052411111111,65.00682502488888,0.7988275943211111,2.0549514444,4.015038425877778,7.645542857111112,13.080177173466666,226.70517317609207,212.03176307979288,196.76320559855617,178.82766616099067,157.28606893238648,374.3184420167916,502.6953332440319,348.7724955122009,6.046238123962075,0.27746619587347954,12.840498867552185,0.011759671005835684,84.7258900884244,1.4881510587262423,9.834865190709554,10.08790479135008,1.7383038483555695,0.02897892006938024,1.798137674539579,True
9,0.16337806631659127,0.44557165039135715,0.2628817012766274,0.7156462427027451,0.9382515310351375,0.9975317448908856,0.7551124623637131,0.5560576479045594,0.7514907681328937,0.40438252479721776,1399.628995188889,1339.8356332333335,1276.7869414666668,1208.0473740555558,1129.194167422222,3.624788699,8.00251222612222,16.541152099111113,33.392245698222226,58.69340406555556,0.6891162357677778,1.6077026075333332,3.4539296265,6.992700903911112,12.112688227122222,229.70376190651635,216.36846639643667,202.11309468079904,184.0954095516801,164.2914890119861,382.5386807375476,509.6829737950178,51.87366730629501,1.6866530062622231,0.021164416131856163,70.62407340546973,69.36692282799714,4.915205193577669,0.5080609596187086,6.117115814205976,4.456866100541452,4.47864512315437,2.225670275392866,0.43309752001996016,True
13,0.22561408975957103,0.7613012884795203,0.16461642618454037,0.825030111045237,0.6995608582550267,0.15820640264632402,0.8800604742564991,0.8206013606043852,0.005506606300644622,0.5875747337806005,1419.0853886333332,1356.3243984666667,1287.3957667111113,1212.9268837000004,1125.3365285222224,4.213481397366667,9.50483881971111,20.30365661055556,38.06560048622223,66.32062023600002,0.7976264388300001,1.8967566940444445,4.167609679277778,7.889649616533334,13.362041577722223,221.84157890267343,208.4112130897155,193.03690397521297,175.47495965850686,154.6526044988828,374.81350070938834,516.9137174085454,263.59261086706704,10.245978811318125,0.4776874699346017,0.24787640662435734,0.36421310623224945,25.137362252751238,1.2121949195135777,9.699922505205654,10.242358720920826,0.24692043326385188,0.16127327152891596,0.979432976859817,True
17,0.28387539162346326,0.6928051909548884,0.5195886155722403,0.08939514948543531,0.6087178149317728,0.3306466968533395,0.4775889857837381,0.9557055377792641,0.6009459106929871,0.08237528033064494,1399.1537695000002,1337.9895378555557,1275.2531082444443,1204.8358093777777,1127.1321229222222,3.4940860275,8.157899247977777,17.615030040777775,31.508273462222224,57.177070372,0.6647329156277778,1.6423598841111111,3.6432901465777774,6.652218543811111,11.81233340591111,228.19044392001612,214.92836914367072,199.99902747415524,183.98593609378338,163.5477093589857,382.34629457709264,506.4059893900494,29.591596389644955,4.155255510872523,0.05859231471659178,52.42070736137695,66.19928944522736,30.184152582249524,0.35905956588244736,6.872647048314836,5.184260305229963,3.8768286296307517,2.1742589928362834,1.0732585680700484,True
18,0.3174344553354303,0.5398956697732084,0.47711921405033747,0.05704377612662209,0.8548112467964141,0.38814267725085055,0.8912494657404082,0.6831512787530142,0.023739070952501103,0.4956485964518266,1394.288253422222,1331.4408367,1266.9809855555554,1196.9275426777776,1109.5014080111112,3.892048130611111,9.388885854900002,18.49462397011111,35.835216952666656,61.63095096633334,0.7376080004422223,1.8717683944666663,3.8117524227444446,7.422843258033334,12.63573879213333,225.04778730620555,211.27906422765818,196.58806042292915,179.06385237222824,158.61324463640366,377.3918193010632,505.96291893034345,25.56900176132536,0.7687892911166037,0.07888253608249679,10.275802650010302,10.123974064618492,35.24893162767391,0.3861749618173431,2.929641451387775,3.8716992716908796,1.695804641714082,0.8502763958908711,1.1598126723298552,True
19,0.32836870918834143,0.7793970255925455,0.5239664713384514,0.188783087853647,0.614337841059236,0.9783611178591121,0.7248224792056928,0.18048326940073628,0.22133435977602667,0.2393747360858247,1414.687401411111,1351.5396575444445,1290.898687633333,1217.038313611111,1137.1865617333333,3.900437544444444,8.622865651433331,18.117460559,32.48931372999999,57.82369591455556,0.7385024495466667,1.725867741111111,3.756660067811111,6.867017721155556,12.00268242648889,225.47089946562187,211.86563868594678,198.1702951103509,181.73917475584875,161.60869526826013,381.832062854455,511.2281587989834,315.61288084058697,2.271636069612657,0.011104526132164292,24.462502094035074,58.09584215726285,0.451370599383434,1.4135352743183305,3.0365560589233094,1.7446243865687858,2.6432644064711424,2.0368410396448544,0.13124461828806502,True
20,0.33433945279570504,0.9205359540990784,0.22734491717816135,0.7157705307208003,0.602013950043962,0.29960829187702887,0.39966772738662626,0.9719633393280134,0.1003059602689541,0.5008231895402594,1399.2615892666663,1336.1874570222224,1271.3136511333337,1199.2266413,1113.9585441444449,4.208284400611111,9.910213920511111,21.185308321444445,38.49640584155556,65.18613314733332,0.7967061668777778,1.971290825388889,4.332484472033333,7.914581169888888,13.212327969877778,221.15932246104464,207.34142838667793,192.3603637704506,175.05196328860296,155.2888982239339,376.1709681170437,511.96933508172435,2.3611541564199774,9.680826782720075,0.4586595807399855,0.5657768636284396,3.8453959560619366,0.004807353557725817,0.10241986509759665,11.428890205313973,11.769484978665538,0.35425580106039245,0.5240287851857796,0.013544653589446263,True
22,0.3724653847781801,0.14946989015018733,0.39038979097702403,0.2728877781819225,0.9383801366496735,0.72280913902048,0.7235199555985673,0.9396545811340657,0.07376048474319633,0.6179685383606003,1398.4966915222224,1334.5016115333333,1269.4987899222224,1193.9547748666669,1111.6957064555556,3.783136661155556,9.376485067755556,19.499464094777775,37.29356475266666,66.34121940255554,0.7184794689599999,1.8736923109777777,4.017689859600001,7.706064849533333,13.352938390855556,226.15284192954516,211.65257731217739,196.63274506578222,178.27151013872728,157.0591493634331,375.1136110706386,511.01982619094997,14.348666449578246,8.62188922836755,0.39277850215925286,10.32875456024873,0.8165129669807213,0.7747059341375976,0.2736412699147407,6.399619874320484,6.80506029009343,1.546158035819524,0.2414716524514702,0.17194252960539297,True
