,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,temperature,density
0,0.3001002507448008,0.32631380437100527,0.3010778480350689,0.2717686531214776,0.21519718821592873,0.5486832088521147,0.19658448396389244,0.16583944211762236,0.22086408719412642,0.029597518254214472,300,27.771140676240808
1,0.3001002507448008,0.32631380437100527,0.3010778480350689,0.2717686531214776,0.21519718821592873,0.5486832088521147,0.19658448396389244,0.16583944211762236,0.22086408719412642,0.029597518254214472,260,8.125650265103568
2,0.3001002507448008,0.32631380437100527,0.3010778480350689,0.2717686531214776,0.21519718821592873,0.5486832088521147,0.19658448396389244,0.16583944211762236,0.22086408719412642,0.029597518254214472,240,1144.4113662249263
3,0.3001002507448008,0.32631380437100527,0.3010778480350689,0.2717686531214776,0.21519718821592873,0.5486832088521147,0.19658448396389244,0.16583944211762236,0.22086408719412642,0.029597518254214472,280,13.42668129546981
4,0.3001002507448008,0.32631380437100527,0.3010778480350689,0.2717686531214776,0.21519718821592873,0.5486832088521147,0.19658448396389244,0.16583944211762236,0.22086408719412642,0.029597518254214472,320,48.90410257922767
5,0.300994118600328,0.3956269974460003,0.33617912018864965,0.3222215673101736,0.1641361988454442,0.2840124423752934,0.5521957129301479,0.13058237925009236,0.29475506612536706,0.034861568030852115,240,989.9275355990898
6,0.300994118600328,0.3956269974460003,0.33617912018864965,0.3222215673101736,0.1641361988454442,0.2840124423752934,0.5521957129301479,0.13058237925009236,0.29475506612536706,0.034861568030852115,280,11.557551112381175
7,0.300994118600328,0.3956269974460003,0.33617912018864965,0.3222215673101736,0.1641361988454442,0.2840124423752934,0.5521957129301479,0.13058237925009236,0.29475506612536706,0.034861568030852115,320,52.34205381006668
8,0.300994118600328,0.3956269974460003,0.33617912018864965,0.3222215673101736,0.1641361988454442,0.2840124423752934,0.5521957129301479,0.13058237925009236,0.29475506612536706,0.034861568030852115,300,25.975455337735873
9,0.300994118600328,0.3956269974460003,0.33617912018864965,0.3222215673101736,0.1641361988454442,0.2840124423752934,0.5521957129301479,0.13058237925009236,0.29475506612536706,0.034861568030852115,260,895.2468686963929
10,0.3013819449217446,0.33175831514956367,0.2615132099439748,0.33840793850863626,0.21590391669316927,0.5513445339317323,0.30239321454857065,0.1864236710523382,0.1903768567708077,0.05863562896270815,240,1367.4750408487826
11,0.3013819449217446,0.33175831514956367,0.2615132099439748,0.33840793850863626,0.21590391669316927,0.5513445339317323,0.30239321454857065,0.1864236710523382,0.1903768567708077,0.05863562896270815,280,1109.5284935896839
12,0.3013819449217446,0.33175831514956367,0.2615132099439748,0.33840793850863626,0.21590391669316927,0.5513445339317323,0.30239321454857065,0.1864236710523382,0.1903768567708077,0.05863562896270815,320,53.03979529787136
13,0.3013819449217446,0.33175831514956367,0.2615132099439748,0.33840793850863626,0.21590391669316927,0.5513445339317323,0.30239321454857065,0.1864236710523382,0.1903768567708077,0.05863562896270815,300,26.278367110377665
14,0.3013819449217446,0.33175831514956367,0.2615132099439748,0.33840793850863626,0.21590391669316927,0.5513445339317323,0.30239321454857065,0.1864236710523382,0.1903768567708077,0.05863562896270815,260,1252.6616308717971
15,0.30176036589464506,0.316370811476288,0.3212072271677695,0.3239382550758316,0.1529289161391313,0.5932024611612046,0.19451155664631578,0.32103726594183735,0.12987450117300808,0.026658039206240786,300,543.4856261646548
16,0.30176036589464506,0.316370811476288,0.3212072271677695,0.3239382550758316,0.1529289161391313,0.5932024611612046,0.19451155664631578,0.32103726594183735,0.12987450117300808,0.026658039206240786,260,1116.8132345766624
17,0.30176036589464506,0.316370811476288,0.3212072271677695,0.3239382550758316,0.1529289161391313,0.5932024611612046,0.19451155664631578,0.32103726594183735,0.12987450117300808,0.026658039206240786,280,1028.890048642725
18,0.30176036589464506,0.316370811476288,0.3212072271677695,0.3239382550758316,0.1529289161391313,0.5932024611612046,0.19451155664631578,0.32103726594183735,0.12987450117300808,0.026658039206240786,240,1203.0884328691925
19,0.30176036589464506,0.316370811476288,0.3212072271677695,0.3239382550758316,0.1529289161391313,0.5932024611612046,0.19451155664631578,0.32103726594183735,0.12987450117300808,0.026658039206240786,320,46.90794524197009
20,0.3021967238985095,0.3305216622858677,0.33318026911728094,0.3256753486859374,0.25120786161201347,0.5409089958804992,0.1832182322391363,0.19584776726832784,0.20685617782409554,0.07975192462225938,240,883.2878101803885
21,0.3021967238985095,0.3305216622858677,0.33318026911728094,0.3256753486859374,0.25120786161201347,0.5409089958804992,0.1832182322391363,0.19584776726832784,0.20685617782409554,0.07975192462225938,280,12.569130757696943
22,0.3021967238985095,0.3305216622858677,0.33318026911728094,0.3256753486859374,0.25120786161201347,0.5409089958804992,0.1832182322391363,0.19584776726832784,0.20685617782409554,0.07975192462225938,300,28.720322215370174
23,0.3021967238985095,0.3305216622858677,0.33318026911728094,0.3256753486859374,0.25120786161201347,0.5409089958804992,0.1832182322391363,0.19584776726832784,0.20685617782409554,0.07975192462225938,320,49.93822982009765
24,0.3021967238985095,0.3305216622858677,0.33318026911728094,0.3256753486859374,0.25120786161201347,0.5409089958804992,0.1832182322391363,0.19584776726832784,0.20685617782409554,0.07975192462225938,260,6.783542851370727
25,0.3027201102136904,0.3478243828545972,0.3414809157465419,0.34923837073562713,0.1512806559627098,0.5888387216153232,0.5851667108078482,0.32194966200375136,0.152925410575744,0.08168373249836328,300,1030.4007445795332
