,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,is_pareto
0,0.32740959057039537,0.9598419271228327,0.42135349311416914,0.3134458455561914,0.5615516386839384,0.8494505750416554,0.27688519260896366,0.2652630495211677,0.6077056528963537,0.9623450116575105,0.08264986523182717,35.318875451234206,0.9709242839039186,0.08598668636886733,True
1,0.5717041393579668,0.8108636685343453,0.4243256499856102,0.6449859107250158,0.1560548592622823,0.7152550094209646,0.23860151382032194,0.2458393721624045,0.49571353856702594,0.9071446242956839,0.18751557681546135,25.24948536174807,1.1216997094138677,5.003479715903522,True
2,0.8222141126299621,0.03679947223783842,0.4392289684236427,0.8485338325231261,0.43020950248472617,0.9142086434428981,0.4444582269088966,0.3715756513049665,0.11853567897975238,0.25574477130004,0.19201748116635592,3.695836984114229,0.05355697599085359,11.141754373804378,True
3,0.7386274179003113,0.7563812154950745,0.1414158517554713,0.34202614178130525,0.9899030479657155,0.115419926336972,0.19778293348220352,0.9785309976646734,0.8400499874175885,0.601340112002001,0.25748003713652706,6.885861119723908,0.5458373472064302,5.503624538964796,True
4,0.30576047659721683,0.7425311702586094,0.272269434879676,0.6644424535006955,0.7514838029179886,0.40280188741725736,0.4808593442043448,0.6376900786704013,0.7246431665461434,0.6315689079620146,0.2599882714230345,8.912833486287196,0.15671931659805444,18.357269620018798,False
5,0.007726562432597478,0.8642324729493026,0.4041667786313545,0.15038595340731992,0.7018817924846608,0.33994759369101735,0.9456798273732163,0.5184282014376212,0.46589595683004137,0.5081379526161587,0.3190776621656856,5.805076953829924,0.16956722936123472,9.83748034012573,True
6,0.7997398340936404,0.3362742004431217,0.5257118685029667,0.5007093973237314,0.5218976309683586,0.6905261013252455,0.402911340359856,0.1825217317125353,0.9307935461269903,0.29432631083863126,0.3394622817620548,6.146063156295625,0.09113975155309895,14.95827170704392,False
7,0.5861471298939118,0.5119573023365086,0.41240495053831,0.7629184871402555,0.0910643604991474,0.010489417513117424,0.5599207743249004,0.7963088841094615,0.9329597846810654,0.7066825420270305,0.3505336042013821,0.7058158733013263,0.043287826358441514,26.04818908242993,True
8,0.36333476021471867,0.3008432426453205,0.5879863809699714,0.5182492126750051,0.22015682746968465,0.21677687745791527,0.5624173767999703,0.9322794671572149,0.6226001417432582,0.9017545798082999,0.3778562667190831,4.136932383988592,0.20689290569369073,133.35009787652342,False
9,0.9340841185747785,0.3181414057605001,0.06748598264651555,0.9435516657042131,0.7346352689181096,0.14165543366628658,0.48979452194794443,0.8521078398396881,0.7004345643986266,0.7270243143103018,0.3879531450734145,11.977981538096639,0.1797254359111957,25.585456962306463,False
10,0.5074224850505997,0.6205860318954678,0.4263845014836892,0.8801771976173268,0.28635344752681346,0.8191333134305008,0.8165089722703436,0.1432771982338856,0.15476354128157851,0.04703936598957978,0.3926181541315968,2.8882007174976847,0.21890505944055408,0.639864460957322,True
11,0.5970003745124368,0.9149542328907163,0.3457474087490419,0.15970899246059214,0.9121553186705335,0.47354552123151095,0.7610274402970794,0.09103370286181078,0.5977217733550669,0.21888731076048548,0.40186277630112544,1.704013476836975,0.041462424720778386,2.1019538175502355,True
12,0.5963570967849227,0.10278518846677942,0.7207331960937541,0.49437287213278314,0.19732215968590605,0.9301858525534832,0.8610538270161148,0.14356009603274913,0.1436517649024406,0.7297020363512549,0.4481438568166993,10.202439960927599,0.14688317746324703,50.68747961304176,False
13,0.33579465403473646,0.9569259133136387,0.4732103602181078,0.17842461215280458,0.1269140286019786,0.3967886483813062,0.27878852598891213,0.7104253382262236,0.775576507010727,0.8464380045680795,0.551259560608241,15.309583680634498,0.414221298536933,0.502227692820359,True
