,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,sim_liq_density_240K,sim_liq_density_260K,sim_liq_density_280K,sim_liq_density_300K,sim_liq_density_320K,sim_vap_density_240K,sim_vap_density_260K,sim_vap_density_280K,sim_vap_density_300K,sim_vap_density_320K,sim_Pvap_240K,sim_Pvap_260K,sim_Pvap_280K,sim_Pvap_300K,sim_Pvap_320K,sim_Hvap_240K,sim_Hvap_260K,sim_Hvap_280K,sim_Hvap_300K,sim_Hvap_320K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
1,0.05195927923575207,0.8871877288485172,0.30206495696881636,0.5470411536282773,0.6278410182504607,0.10623433647269577,0.8797433341338453,0.8161971815410232,0.12010705059772205,0.6589628925996464,1393.4382858111112,1334.8499001555554,1268.9484007,1198.2192869222222,1116.7216924333331,3.9209525406,9.305284178944444,18.236556806111118,34.47389152377779,59.144296124444445,0.7440835958133334,1.8580783858222223,3.776731781244445,7.2072586184444445,12.214437696877779,222.68749369084478,209.61983692049853,195.1945517762298,178.33551768968485,159.34443143304165,379.8022569483054,505.3878241992194,6.7110837998410515,0.542649954517102,0.009057039481361618,5.399305526109736,31.27333777587024,42.4084336602724,0.16556883042854656,2.0288218926932973,2.4015572029338426,1.190477715621091,1.4944167575172815,1.2721578044111344,True
4,0.16337806631659127,0.44557165039135715,0.2628817012766274,0.7156462427027451,0.9382515310351375,0.9975317448908856,0.7551124623637131,0.5560576479045594,0.7514907681328937,0.40438252479721776,1399.628995188889,1339.8356332333335,1276.7869414666668,1208.0473740555558,1129.194167422222,3.624788699,8.00251222612222,16.541152099111113,33.392245698222226,58.69340406555556,0.6891162357677778,1.6077026075333332,3.4539296265,6.992700903911112,12.112688227122222,229.70376190651635,216.36846639643667,202.11309468079904,184.0954095516801,164.2914890119861,382.5386807375476,509.6829737950178,51.87366730629501,1.6866530062622231,0.021164416131856163,70.62407340546973,69.36692282799714,4.915205193577669,0.5080609596187086,6.117115814205976,4.456866100541452,4.47864512315437,2.225670275392866,0.43309752001996016,True
5,0.3724653847781801,0.14946989015018733,0.39038979097702403,0.2728877781819225,0.9383801366496735,0.72280913902048,0.7235199555985673,0.9396545811340657,0.07376048474319633,0.6179685383606003,1398.4966915222224,1334.5016115333333,1269.4987899222224,1193.9547748666669,1111.6957064555556,3.783136661155556,9.376485067755556,19.499464094777775,37.29356475266666,66.34121940255554,0.7184794689599999,1.8736923109777777,4.017689859600001,7.706064849533333,13.352938390855556,226.15284192954516,211.65257731217739,196.63274506578222,178.27151013872728,157.0591493634331,375.1136110706386,511.01982619094997,14.348666449578246,8.62188922836755,0.39277850215925286,10.32875456024873,0.8165129669807213,0.7747059341375976,0.2736412699147407,6.399619874320484,6.80506029009343,1.546158035819524,0.2414716524514702,0.17194252960539297,True
8,0.6330002818323373,0.8256625290648314,0.01772469341966315,0.9354549355192512,0.7883846156014875,0.2046328515905908,0.463596440923861,0.9547563671304625,0.017888631243238837,0.4365417937397022,1408.1597084444447,1344.6607598666667,1278.0525744333331,1204.3064077,1115.659716488889,4.190868655277778,10.155027765188889,20.45762261377778,39.14426550899999,64.69799228911113,0.7935460669466666,2.0226231072111114,4.197061947733333,8.060157078933335,13.182206690411112,219.64681153373564,206.02676251482598,191.50034589140384,174.03116232386668,153.96290351279572,374.9010818540175,512.444948847015,45.636903186577555,9.407595918923834,0.477565943570721,3.6023147651922707,0.477594128952281,0.29696924586298573,0.4583017953056351,11.307646545240935,11.900891545876,0.9925907676329772,0.1846775484400501,0.1064561138923632,True
9,0.6656890788750803,0.07367114028548007,0.596620344262391,0.1180661910779654,0.48130951599808736,0.04281826519111454,0.5954774056105325,0.9211465743427529,0.8136807164398289,0.9859303438364145,1406.6423235555555,1344.7132546444443,1274.9206482555553,1202.5722122555558,1117.3974530888886,3.662930925711111,8.8144076132,17.42573727211111,33.45700066166668,60.70098965833333,0.6949022437611111,1.7568287238666664,3.600560861844444,6.974022990677778,12.372268426011107,231.53867413725578,217.1561419115546,201.44010655675083,183.85558260679989,161.9707415480018,376.6530762398432,506.4217159479866,31.254359164536947,0.24479114978809552,0.012504466741590009,69.83256773916824,5.968621513686428,30.011596154543813,0.3494908745842224,2.4250997616848,2.1284073054120896,4.324547402637253,0.6528623606646556,1.0701863746851634,True
12,0.7451477784843481,0.7543952195006611,0.48177316194519343,0.10684795024652721,0.4915375123568387,0.01323375415780286,0.9566347105430354,0.3252156949398557,0.9993188070929662,0.06885910530134956,1400.734915277778,1341.2311413888888,1275.1251022777776,1204.2900318666666,1121.472815988889,3.755844737233333,8.741677202533332,18.39876677855556,34.93003229,60.01733855688889,0.7121412689988889,1.7458302595444444,3.8009835118444446,7.263295830222221,12.318215424866667,221.19452432712882,208.52577573448295,194.04240029698346,177.20803709951574,157.6059316390466,379.31325799403197,508.6371411307432,16.047389375798797,0.2184773314346355,0.01691364964141861,1.3211600055609611,26.04324215365143,10.646248000687597,0.3177114340036563,1.6370197571646297,1.9205344646655496,0.5438698294345489,1.3637417476903324,0.6374016154047225,True
13,0.7549773320949063,0.4050992787823072,0.28412839143647534,0.5697673160429964,0.846575965211248,0.6553386715703781,0.593241220890898,0.3149682436439255,0.4094366776060235,0.1380501330266223,1418.1181982222224,1355.9008500555556,1283.955432877778,1207.438639922222,1124.0906015777778,4.7025337077666665,10.05303955221111,19.70379885411111,36.332868079,65.14365668433334,0.8883662689666666,2.000404398633333,4.051421238044446,7.594156412733333,13.276097916988888,220.33243731779882,206.9785689962781,192.02160659532302,174.92758533471596,154.42999756404848,374.5571018786286,513.2246322495233,206.23374982226483,5.68744426562685,0.3476770011934494,1.3976942438284756,0.12047971414751785,1.754650596477283,1.0241119939079046,11.421079100541972,12.312759947214843,0.6234227771716961,0.09275590674450733,0.2587677768164382,True
14,0.7672551186161466,0.9738465392532571,0.178087346221866,0.271894606420566,0.8649115228931161,0.011952152001173482,0.9615848144975145,0.17512511588861146,0.0171575820901756,0.7449208599637981,1406.8471650111112,1345.555152911111,1278.429664244445,1204.454298333333,1125.7425128111108,4.047431658633333,9.955822135877776,19.352913604999998,34.919991421111106,63.29595219822223,0.7666530175122223,1.9811935649777777,3.9940901715888883,7.307527556111111,12.997542830633332,215.83745338976757,203.00672056848828,189.14721859496757,172.87959415508485,153.58130672545838,377.9892241897333,512.1121800878411,60.33691490081078,1.920695219787617,0.1775606107832492,18.106171178515858,14.282535476265522,0.04502038967627717,0.6010186365497232,5.967758897256746,7.155782983688873,2.0499639250087376,1.0099206835021317,0.04144951901565691,True
16,0.8106028797678846,0.6010699771338491,0.49341982965025927,0.051618333683609297,0.7139124093177701,0.41142978533740465,0.533661674823453,0.061199410921295466,0.9960461314390042,0.8029144726977498,1403.475784211111,1343.3301701000005,1276.0198883111111,1203.0766523222223,1121.304416288889,4.011223332344445,9.393960273911112,19.776117215777774,35.869990610222224,61.614153742999996,0.76020639555,1.8718960241,4.0552741615,7.444282156088889,12.71909411512222,222.3533749701052,209.0605824159196,193.61232650800946,176.84635333049278,157.48198294361197,377.8946523381862,510.0214711167497,24.33474141905787,1.2573573745996387,0.11974001457941559,1.2183374957555893,13.57666285330101,3.528870765205555,0.3791552436170218,4.983153680642355,6.001510885736566,0.5341489693352652,0.9846482825649228,0.36697184669862926,True
18,0.8198474493880344,0.25495239721216095,0.5664331259673302,0.5769361753313964,0.07794968201617403,0.410683008133065,0.6335256205304617,0.238122553336124,0.5787861903554435,0.9893575184837924,1414.795985711111,1352.5021053777778,1286.7831826111114,1217.1848434777778,1130.2795992,3.855267434366666,8.726099346811113,18.75535946755556,34.84855676555555,59.32871004022222,0.7298887603044445,1.7374848477555556,3.850539878933333,7.229085849422223,12.176106791444443,226.84232983221025,213.2207760781219,198.15855317542585,181.17105942455365,160.80980981273512,379.3808018883474,511.76394570389743,248.28253693912407,0.5324168654116994,0.011335243177398441,26.2685974538531,26.73719216853702,0.01851077148795846,1.2435164580954368,1.9177524943964008,1.7404427183525708,2.7287361417542852,1.3817914776054618,0.02657829578092265,True
