,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,sim_liq_density_130K,sim_liq_density_140K,sim_liq_density_150K,sim_liq_density_160K,sim_liq_density_170K,sim_vap_density_130K,sim_vap_density_140K,sim_vap_density_150K,sim_vap_density_160K,sim_vap_density_170K,sim_Pvap_130K,sim_Pvap_140K,sim_Pvap_150K,sim_Pvap_160K,sim_Pvap_170K,sim_Hvap_130K,sim_Hvap_140K,sim_Hvap_150K,sim_Hvap_160K,sim_Hvap_170K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
2,0.24298756572823604,0.8841039847287782,0.9884988123550127,0.8347678817825553,389.1999071955555,371.1359581388888,352.6535592255556,331.95360502777777,305.28005769333333,4.6261786431,8.25799536861111,13.790843591777778,22.352582701777777,34.06791750488889,2.896964608455556,5.3624845247333335,9.097593593900001,14.59331140792222,21.48565841734445,536.7505080854463,504.80328015334675,468.1589225626451,423.1916656953839,367.3430469460316,190.50222893568204,156.18645925258886,26.01137001185906,9.021069256518679,1.678612111729364,3128.1993786498815,0.0038156643869725745,41.90672980839232,1.4384406949509188,16.272573708945274,13.21593889703502,13.78918055484307,0.03241486551392293,3.9797988118843817,True
16,0.4740689119426251,0.7876697107011993,0.6461224690105499,0.8386669390632285,397.67117170333336,379.46339221444447,358.75778163222225,336.06130510666674,307.6251149344444,5.775220458333333,10.313173160666668,16.51562080422222,25.811027419111117,39.55421736655556,3.579768178677777,6.5630860896000005,10.696126901555555,16.521570098044446,24.203380697455557,512.2226013308504,479.369566559439,442.3877927110478,396.7711317898523,339.1368760723394,187.66353635420037,161.30777749215346,5.794738747146478,0.12479874340332808,0.26541863977616653,925.853224391484,8.412689360605215,1.8285057107267697,0.5698342275981656,1.8693104216327825,3.0951362869356003,7.17732413334916,1.5220417527967605,0.8313183990203701,True
31,0.5975159428923084,0.7519563398749254,0.5657847777493814,0.8216658820340745,390.8662199366667,372.7010300966666,352.0236960777778,328.2596909644444,299.5637674077778,6.135700207566667,10.633355309844443,17.37168688688889,26.913037309666667,41.415127653666666,3.795303549911112,6.758998032833333,11.152522514211112,17.07492500793333,25.213727270944453,497.34723529415976,466.1702046407653,428.3499247659436,382.9883375784101,324.3516779299736,186.1351170650512,159.25622160192236,49.27855932215333,1.929656574347399,1.1521993208002788,292.46982702340824,19.61500405148072,11.585707383219944,1.8938784798287256,5.205153421079847,6.303040668105908,3.609865776805977,2.3240921343741747,2.0925724812969593,True
38,0.6554709027973195,0.4122956740265127,0.9057832575811618,0.48388030106572777,441.79234499222224,422.39924684777776,399.44825012,374.32735534777777,342.7970053722222,7.142053611944444,12.432103841300004,19.87015926955556,30.34739055344444,45.48197874644444,4.419667555255555,7.890523402266667,12.762359314655557,19.29854420544444,27.841213584444443,478.9139338467898,450.22886121985573,415.5515783609225,373.61308797859334,320.5744564167166,187.611202106425,181.1194275520396,1713.5743444937464,17.220819128912176,8.101938836829069,16.756777241620835,8.71901540030093,340.7504655489992,11.502862818223344,19.96773467026761,21.37827014882676,0.7526961221754916,1.5495045725189416,11.348473842394943,True
40,0.6598050355158165,0.684290543564796,0.8017071598112577,0.46524325412827,397.7664549933333,378.0067516966666,357.15818508555554,332.8803178388889,303.89815362222225,7.046321697733333,11.790734925988888,18.675795370444444,29.443331988,45.29743122088888,4.318611152711111,7.439211175444444,11.921955288633333,18.42028135731111,26.902467692833334,481.66121577488093,450.3166033653597,414.6993704943514,368.1245488390649,310.0525674846323,185.14453498276282,163.82216830663953,14.21521118530517,13.162796849379841,4.627086172507622,49.19797126493512,29.370601073057504,1.3506351729573907,0.920119907885689,16.114021353763963,15.894462284706613,1.6050109456845751,2.8439080924189106,0.7144770113362408,True
43,0.6707244119156853,0.712417921339244,0.9835133725516287,0.27681004576009804,389.7916807522222,371.6752771555556,351.7065355766667,328.6356042977777,301.1554053655555,6.4931618858222215,11.189691776822222,18.062192739222223,28.421724288222222,43.65241296055555,3.9962157111666663,7.070916797622222,11.527598368622222,17.749224575855557,26.04689545545555,480.5173614220217,450.5454258843426,415.2589009232717,369.53416236267975,313.2575248358176,186.22186172716061,161.75842821166287,45.922032340220824,7.094925001981956,2.558355074387571,33.05432562040063,18.854164780456536,0.812831689525397,1.8957007341613756,10.679280683184498,10.653972771732507,1.3180975774404862,2.278572171469626,0.5542676677346136,True
45,0.680403350305331,0.6849791743065209,0.5854780384366082,0.7720505764415458,395.8956178777778,379.3032580966666,357.8796526855556,334.7779675111112,307.98203150555554,5.9474355102,10.719739480233336,17.07848078211111,26.245877614666668,41.095708043,3.685631989188889,6.807590433355555,11.027811639088888,16.741043706299997,24.941954581233333,495.37381527472905,465.8646594372892,429.66634750659676,385.7736709444715,328.8158293599929,187.5910760082556,162.40698095949034,3.6103531145105356,1.2269131464349161,0.7951108117007485,304.0803800534775,8.838277060689341,0.06401863486042704,0.4777474543468845,3.9174583157956278,4.964765209174422,4.004726765653248,1.5600659052834642,0.15555086715213093,True
47,0.6867501610812955,0.7786035076764907,0.9900911265595151,0.2874026886262576,377.7239268244445,360.53716525444446,340.9536601444444,319.41714075666664,294.33835785,5.772099137266666,10.14985417952222,16.007293553555556,25.064829102666668,39.08738244399999,3.580639821322222,6.472757078,10.398054174622224,15.977422655511113,23.77468121081111,491.39301684847175,461.6706384671037,427.0238616884463,383.4640397371558,328.62789728099165,187.82238099311462,155.01170987034237,273.34430791908574,0.05193988709492823,0.05144417347823299,210.1518652469186,7.516474778915135,58.49634190741824,4.68750069144452,1.401770838012277,1.191088370834183,3.383716485061324,1.4386867440258246,4.702010408002966,True
48,0.690888017367204,0.45177614077585065,0.9613826469161489,0.3904985763884313,426.1574247955556,406.7228414544445,385.96617458,361.7193569611111,333.68274467666663,6.639613980555556,11.615721233277776,19.11916261677778,29.262324472666663,44.003742261333336,4.122137783722222,7.405371328566666,12.275213113733331,18.556050258666662,27.021068274111116,479.62862204604073,450.6570227252285,415.75550818547464,375.04429194133115,323.6249213565766,188.25673250370846,176.17248986387577,778.701269175617,10.144571380564864,5.124359525627179,23.35635758794248,5.323483299443386,182.58738232134547,7.787112912201617,14.145675730928204,15.670913198073535,1.0794655314100223,1.2107572764486105,8.307198981849115,True
50,0.7096769362610151,0.6514187940602273,0.7272638280711587,0.5506298988400424,394.8821196077777,376.4748157677778,355.8561027,332.86765056,304.66128871555554,6.689969703622222,11.334743709744444,18.594974387222223,29.43015492488889,44.197276231,4.114913570088889,7.183409130844444,11.833005111322224,18.307238847522225,26.204383362222224,481.97826665967864,451.6122487773298,414.80636006717987,369.91931336186076,313.5549104341317,186.02564176783235,163.9131376288426,10.196634262863034,10.142343520158374,3.4145223528743656,39.31469715418181,20.596695443483775,1.5703539168212761,0.7587282150747924,13.350022318441344,13.074736687815266,1.3667291771309849,2.381540181864171,0.7704030670371381,True
