,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,temperature,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,0.3615845117880096,0.2623679409811723,0.41967537567651214,0.07270329971387642,150,352.51528454,16.495001170555557,6.968846028154667,10.6658421625,-1705.9104317133333,820.2501998455556
1,0.3615845117880096,0.2623679409811723,0.41967537567651214,0.07270329971387642,170,304.3324057544444,42.613982365444436,5.265275523523139,25.226903059666665,-711.9616750156,1074.0941051544446
2,0.3615845117880096,0.2623679409811723,0.41967537567651214,0.07270329971387642,140,372.2672673133333,10.108968715422222,7.562588214699189,6.444359160055556,-2166.060527866667,743.0412138555555
3,0.3615845117880096,0.2623679409811723,0.41967537567651214,0.07270329971387642,160,329.7284261533333,25.786156512777776,6.255887758071072,16.405781837899998,-1245.494189738889,900.7923078655555
4,0.3615845117880096,0.2623679409811723,0.41967537567651214,0.07270329971387642,130,391.00279106333335,5.71835270638889,8.078045077387744,3.558514879888889,-2613.2907635222227,661.8580166144443
5,0.3630408205430115,0.20357966451375362,0.6081259827044851,0.04729596716716802,140,434.3476011488889,12.507656577944445,7.249745703874832,7.965645893844444,-1828.35015812,923.7042724255555
6,0.3630408205430115,0.20357966451375362,0.6081259827044851,0.04729596716716802,130,455.1226356577778,7.217059055366667,7.715586603500293,4.471914303233333,-2218.220275466667,836.5525926522223
7,0.3630408205430115,0.20357966451375362,0.6081259827044851,0.04729596716716802,160,384.8258101277778,30.051326037777777,6.0451252615678115,19.267016889222223,-1024.9078431366665,1066.483073338889
8,0.3630408205430115,0.20357966451375362,0.6081259827044851,0.04729596716716802,150,410.98619682111115,19.64455477222222,6.702951712036825,12.679494342433333,-1432.7188081544446,991.8537888244445
9,0.3630408205430115,0.20357966451375362,0.6081259827044851,0.04729596716716802,170,356.5090300655556,47.23059347677778,5.189753548107349,28.81521355466667,-568.5891312068355,1231.7408267711112
10,0.36442556304057944,0.2578454672914514,0.44598401055512715,0.06744160428977472,130,396.8256176344444,5.694639869033334,8.12885567081994,3.5409279613666667,-2648.5810263555554,658.8442249799999
11,0.36442556304057944,0.2578454672914514,0.44598401055512715,0.06744160428977472,160,336.20469778666666,24.682717137555553,6.3792977711579795,15.957185758644444,-1308.8115065599998,873.8326791833333
12,0.36442556304057944,0.2578454672914514,0.44598401055512715,0.06744160428977472,140,378.39728991333334,9.462785914866668,7.6486263409700594,6.085391852811111,-2242.6049136444444,698.5313041444444
13,0.36442556304057944,0.2578454672914514,0.44598401055512715,0.06744160428977472,170,309.6272424422222,37.94547809544444,5.503964006812842,23.606314057766667,-801.5896421972224,972.0833888255556
14,0.36442556304057944,0.2578454672914514,0.44598401055512715,0.06744160428977472,150,358.83749663555557,16.03718954611111,7.058791148813601,10.424811053922221,-1762.0272790155555,804.293486768889
15,0.3655470902797319,0.21184435110397695,0.580499776314329,0.04881455986107717,150,399.44825011999995,19.870159269555558,6.6664861958551,12.762359314655557,-1416.1538840266667,997.7804091377777
16,0.3655470902797319,0.21184435110397695,0.580499776314329,0.04881455986107717,140,422.39924684777776,12.432103841300004,7.222796506119535,7.890523402266667,-1821.4468460555554,918.6073381600002
17,0.3655470902797319,0.21184435110397695,0.580499776314329,0.04881455986107717,160,374.32735534777777,30.34739055344444,5.993687963896583,19.29854420544444,-1001.455037938889,1085.0396031888888
18,0.3655470902797319,0.21184435110397695,0.580499776314329,0.04881455986107717,170,342.7970053722222,45.48197874644444,5.142815717065177,27.841213584444443,-556.0978266990445,1175.3252296033334
19,0.3655470902797319,0.21184435110397695,0.580499776314329,0.04881455986107717,130,441.79234499222224,7.142053611944444,7.682976783737126,4.419667555255555,-2208.7021666,827.7780300188889
20,0.3669137712390748,0.2597012110456113,0.5800854075836452,0.042441885766429197,130,390.54477464111113,5.460583596311111,8.00282117954262,3.4075459912999997,-2588.428611911111,633.2103246533333
21,0.3669137712390748,0.2597012110456113,0.5800854075836452,0.042441885766429197,140,373.2639687844445,9.628455897633332,7.532477687906297,6.175028728822222,-2165.4604990333332,710.3445570122221
22,0.3669137712390748,0.2597012110456113,0.5800854075836452,0.042441885766429197,160,332.6159080133333,25.03587062422222,6.287695426878773,16.0581290934,-1256.5288089055555,884.3395638644445
23,0.3669137712390748,0.2597012110456113,0.5800854075836452,0.042441885766429197,150,353.6864317966666,15.543393230555553,6.979439615885664,10.136318891299998,-1722.5068074522223,779.0410511544444
24,0.3669137712390748,0.2597012110456113,0.5800854075836452,0.042441885766429197,170,306.40832701666665,37.824725199777774,5.4498459401252415,23.477759634499996,-768.6777324838889,976.0427480733332
25,0.3686750161081295,0.2667905261514736,0.6190533785002885,0.03574571449234303,150,340.9536601444444,16.007293553555556,6.8505303011369,10.398054174622223,-1641.9174316366666,797.861633768889
26,0.3686750161081295,0.2667905261514736,0.6190533785002885,0.03574571449234303,170,294.33835784999997,39.08738244399999,5.272013042130308,23.77468121081111,-689.9196510359656,1004.0874336
27,0.3686750161081295,0.2667905261514736,0.6190533785002885,0.03574571449234303,160,319.41714075666664,25.064829102666668,6.151721857483322,15.977422655511111,-1186.2388103344445,882.54422073
28,0.3686750161081295,0.2667905261514736,0.6190533785002885,0.03574571449234303,140,360.53716525444446,10.14985417952222,7.4063512176085124,6.472757078,-2062.0131110999996,747.5404439077778
29,0.3686750161081295,0.2667905261514736,0.6190533785002885,0.03574571449234303,130,377.72392682444445,5.772099137266666,7.883172472791609,3.580639821322222,-2485.6524047999997,667.9174304311111
