temperature,liq_density,vap_density,Pvap,Hvap
130,393.468,5.873,3.669,482.793
140,376.584,9.986,6.43,455.985
150,357.599,16.03,10.457,423.4414
160,336.721,24.727,16.018,384.3516
170,312.322,37.427,23.402,334.9751
