temperature,liq_density,vap_density,Pvap,Hvap
120,414.25,3.51,2.06,493.79
135,388.1,7.92,5.01,456.33
150,361.1,18.2,11.61,404.66
165,323.2,32.1,20.4,338.8
175,296.3,48.2,28.9,287.01
