,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
6756,0.7791014532334201,0.83983854697055,0.8284758920011606,0.9250668262908268
5110,0.8675835044171981,0.7431456622251114,0.8919027087409264,0.7903862200203025
7149,0.6197005618990111,0.8872646795742717,0.8357436969029585,0.9920846838697692
4439,0.4490131595579915,0.9216179733171574,0.9924443145728448,0.6660434962578209
9344,0.8413889211192109,0.9038595956710684,0.8595410611726664,0.8114098555016486
2745,0.6810253112254191,0.8392289943810658,0.8088445847894177,0.6930392703111175
4440,0.8764254920383916,0.5165016287863781,0.9616879121758628,0.8119134964633993
9649,0.819411153780257,0.4387902985661862,0.8287704575558086,0.9896608320912244
4867,0.7288957370748887,0.7853761247253847,0.6519675620889943,0.9926159021865087
3964,0.8209386535936917,0.4416467277735929,0.953936792244651,0.6299783862287122
3863,0.4172014869999421,0.9139987504763424,0.8256858440633262,0.8886866415024032
98,0.3684020971647859,0.8272962307871246,0.7338653896895304,0.86605599742064
10929,0.8769825658453094,0.7585407283181057,0.7097289316752917,0.7657829337923301
7666,0.816801526072354,0.677571280804335,0.5747595680407164,0.8900668514777411
7936,0.7539017879609743,0.7723180286893859,0.5016295120427191,0.97249026584791
10482,0.43724689075565,0.7701890191984266,0.7887117923732315,0.7859867824562177
6791,0.2961389047691363,0.8673783877809471,0.9427895200602336,0.953183081991459
8120,0.7044731237358948,0.6737326882079617,0.8600653326699698,0.6445401240681953
7894,0.6509366205212181,0.7890527050569407,0.810940660671627,0.5348976468129286
9216,0.7678188126088195,0.4453854790342318,0.847671854565715,0.8320703906605771
7382,0.8841117229616862,0.6694483031524764,0.8360798161123647,0.9182520261372584
5366,0.7712957893989408,0.8107104837246295,0.9974857681930216,0.6483402994182728
1156,0.6680412355116313,0.7984612977835155,0.6888343432146653,0.7911518498875266
10721,0.6646915025967464,0.8212724435016714,0.938605900631532,0.7588622300364879
7117,0.5989353088324402,0.9144145999215436,0.8812595724224276,0.6920555869419365
4454,0.556760923272665,0.9656129498635938,0.9464886120864796,0.9502973499533376
795,0.535423051784221,0.8392562521049005,0.777199768048417,0.7364221046429738
10436,0.9030862363193533,0.3655818030603049,0.8678968291078234,0.9447273336636688
5595,0.9295202912149416,0.6727129886620993,0.8560388235809172,0.7635517856420168
1363,0.4774106577492572,0.8975031649194568,0.9015849399047914,0.7844097712061752
444,0.2429875657282363,0.8841039847287782,0.9884988123550126,0.8347678817825571
3746,0.5039918800476404,0.8923840740134251,0.9979599780176972,0.5505817039177013
2056,0.8702056951271229,0.5935171992056371,0.9379996425411984,0.6294406613226918
8532,0.8782206014716744,0.8255613754836795,0.6812196014468566,0.917719819113448
