temperature,liq_density,vap_density,Pvap,Hvap,liq_enthalpy,vap_enthalpy,nmols_liq,nmols_vap,Pvap_unc,Hvap_unc,liq_enthalpy_unc,vap_enthalpy_unc
130.0,1553.10314082,0.12778940184,0.015718986204000005,14.757139375670173,-6472.31633046,0.6559096742000001,799.9016,0.0984,0.008427363726351065,,50.4941513872777,0.3443941415174006
150.0,1492.9231263,2.9348833836,0.40691096115539993,13.9676755254536,-5436.414022,15.53203695464,797.8288,2.1712,0.11150492948266993,,19.853001992626982,4.323036022233701
170.0,1405.76949884,7.5508800065,1.1667762528288,13.05546262045511,-4276.15077386,40.95203185702,794.6638,5.3362,0.11489915063292643,,15.036417888331753,4.577011530104459
190.0,1317.8423215,21.57289302682,3.5762744820259997,12.032476511317476,-3128.16755914,117.8348943254,785.361,14.639,0.30855453643058267,0.03226954828709584,25.440267574923222,10.501036656930646
210.0,1219.01587828,47.4509057316,8.116565897797999,10.751438768228883,-1946.7763553099996,252.1123583782,769.333,30.667,0.5118402240114234,0.05381608467336409,24.327005645973692,17.677041680097293
