sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,temperature
0.711219615176734,0.15428673578848306,0.8216793325280268,0.8533134019861944,0.7749001083983516,0.8505751728952163,0.25
0.7126093267638866,0.297038267202074,0.7638745998860762,0.951179308588914,0.9014213894132331,0.5832334654548667,0.0
0.6309277484807426,0.6125923815104192,0.4967987553331201,0.8743758490864741,0.9684163956349937,0.8850549964475716,0.0
0.7140398721476087,0.407515125787641,0.7333566393028426,0.8402196407687172,0.9925562567033109,0.8566360680312487,0.75
0.7172810548691296,0.45286640624651364,0.6557622384024594,0.8350606150874067,0.661330401553421,0.9165633162185848,1.0
0.7784241846275096,0.453039646972062,0.5553993513223621,0.7820446587694039,0.6309544794592029,0.7601971535984238,0.75
0.6950570130337806,0.4942904592392182,0.5747179720462761,0.9394449796976587,0.34357767863248734,0.9586764438983264,0.5
0.7784241846275096,0.453039646972062,0.5553993513223621,0.7820446587694039,0.6309544794592029,0.7601971535984238,0.25
0.6720613251385812,0.4965940948758162,0.6812256772673988,0.9624181149824991,0.7878252258165052,0.9625011522480739,0.25
0.7494746201118806,0.3071366302975516,0.7002861766637627,0.9138846300718516,0.540064035423931,0.6437564772441007,0.0
0.7494746201118806,0.3071366302975516,0.7002861766637627,0.9138846300718516,0.540064035423931,0.6437564772441007,0.25
0.7784241846275096,0.453039646972062,0.5553993513223621,0.7820446587694039,0.6309544794592029,0.7601971535984238,1.0
0.6309277484807426,0.6125923815104192,0.4967987553331201,0.8743758490864741,0.9684163956349937,0.8850549964475716,0.75
0.8256114459355987,0.12173608185979555,0.7549225894458039,0.7192429511100292,0.6884590601520626,0.8116960344252271,0.25
0.7786513009382272,0.3537290567842426,0.6485538259554567,0.8540998365863741,0.5053644945173676,0.6593678923944986,1.0
0.659850613907456,0.5979204926204686,0.487504650665754,0.9471499025453819,0.7098821142542536,0.6715611041630773,0.75
0.8331010360575452,0.17539687325891717,0.6528456225554446,0.802699344112293,0.17384523009891004,0.8791876829402221,0.75
0.8168406209619946,0.009845502661995076,0.8204016907704187,0.795649759970495,0.9667992817496517,0.7704658925047353,0.0
0.7394373064119116,0.11676816024765656,0.8543108052029685,0.8011824593392318,0.9988510079911779,0.8809232604570894,0.25
0.7297690047983351,0.5426134294303427,0.49777569477631345,0.7838732803682906,0.9665130903883522,0.6915769079113455,1.0
0.711219615176734,0.15428673578848306,0.8216793325280268,0.8533134019861944,0.7749001083983516,0.8505751728952163,0.75
0.7394373064119116,0.11676816024765656,0.8543108052029685,0.8011824593392318,0.9988510079911779,0.8809232604570894,1.0
0.7856799202395081,0.38186969130808257,0.6459316981706841,0.7274038274508932,0.7578926611965369,0.850113301788305,1.0
0.7856799202395081,0.38186969130808257,0.6459316981706841,0.7274038274508932,0.7578926611965369,0.850113301788305,0.5
0.711219615176734,0.15428673578848306,0.8216793325280268,0.8533134019861944,0.7749001083983516,0.8505751728952163,1.0
0.7094063051407931,0.12398317355342207,0.8827463889519765,0.9861212570916745,0.6136514542957708,0.9424624115084768,0.0
0.7786513009382272,0.3537290567842426,0.6485538259554567,0.8540998365863741,0.5053644945173676,0.6593678923944986,0.75
0.6901243561196195,0.4472456840251797,0.6617392202517601,0.753234733721202,0.8254764562385306,0.9990576561511086,0.5
0.6800214884783866,0.5207759233972941,0.589038042622382,0.9815572125276222,0.44670140065974523,0.9283851263740828,0.75
0.6901243561196195,0.4472456840251797,0.6617392202517601,0.753234733721202,0.8254764562385306,0.9990576561511086,0.25
0.7314251975493743,0.24368869802447807,0.8259726071144049,0.8141223376465379,0.9551211879679188,0.9682513129721686,0.25
0.7397737415887137,0.4335548416968281,0.5823797493779986,0.8721439841690218,0.3412585100311241,0.8683516199487917,1.0
0.691687924006935,0.5096784621591551,0.5994051838189395,0.949003599574094,0.6812393477329628,0.6940992880470436,0.5
0.6800214884783866,0.5207759233972941,0.589038042622382,0.9815572125276222,0.44670140065974523,0.9283851263740828,0.0
0.8331010360575452,0.17539687325891717,0.6528456225554446,0.802699344112293,0.17384523009891004,0.8791876829402221,0.0
0.80480680600703,0.11744775706070161,0.7641236265081007,0.7914140873322021,0.40986266833075213,0.9227868380236643,0.75
0.7534237970277288,0.13468371108938254,0.819012709140964,0.9560775777640783,0.6401794901403504,0.6398557186509642,1.0
0.6950570130337806,0.4942904592392182,0.5747179720462761,0.9394449796976587,0.34357767863248734,0.9586764438983264,0.25
0.7856799202395081,0.38186969130808257,0.6459316981706841,0.7274038274508932,0.7578926611965369,0.850113301788305,0.75
0.8293316568334976,0.21461725836999307,0.7334533122690933,0.8305957850130261,0.5314491361628435,0.6081917164787304,0.5
0.8168406209619946,0.009845502661995076,0.8204016907704187,0.795649759970495,0.9667992817496517,0.7704658925047353,0.5
0.659850613907456,0.5979204926204686,0.487504650665754,0.9471499025453819,0.7098821142542536,0.6715611041630773,0.25
0.7140398721476087,0.407515125787641,0.7333566393028426,0.8402196407687172,0.9925562567033109,0.8566360680312487,0.0
0.7394373064119116,0.11676816024765656,0.8543108052029685,0.8011824593392318,0.9988510079911779,0.8809232604570894,0.0
0.7786513009382272,0.3537290567842426,0.6485538259554567,0.8540998365863741,0.5053644945173676,0.6593678923944986,0.0
0.8256114459355987,0.12173608185979555,0.7549225894458039,0.7192429511100292,0.6884590601520626,0.8116960344252271,1.0
0.8168406209619946,0.009845502661995076,0.8204016907704187,0.795649759970495,0.9667992817496517,0.7704658925047353,0.25
0.8475751377800421,0.20452752995302612,0.6850030287726874,0.970515051063531,0.238109331830733,0.4684831212222747,0.75
0.7940335796973085,0.461879061385601,0.443075607854088,0.8327687967675096,0.7365335949121492,0.4709752799389757,1.0
0.6309277484807426,0.6125923815104192,0.4967987553331201,0.8743758490864741,0.9684163956349937,0.8850549964475716,0.25
0.7172810548691296,0.45286640624651364,0.6557622384024594,0.8350606150874067,0.661330401553421,0.9165633162185848,0.75
0.7808220202244391,0.25145842603219715,0.7924025629135947,0.912810439607913,0.5729006697710285,0.8185411391934546,1.0
0.8256114459355987,0.12173608185979555,0.7549225894458039,0.7192429511100292,0.6884590601520626,0.8116960344252271,0.0
0.7856799202395081,0.38186969130808257,0.6459316981706841,0.7274038274508932,0.7578926611965369,0.850113301788305,0.0
0.8293316568334976,0.21461725836999307,0.7334533122690933,0.8305957850130261,0.5314491361628435,0.6081917164787304,0.75
0.7534237970277288,0.13468371108938254,0.819012709140964,0.9560775777640783,0.6401794901403504,0.6398557186509642,0.75
0.6901243561196195,0.4472456840251797,0.6617392202517601,0.753234733721202,0.8254764562385306,0.9990576561511086,1.0
0.7140398721476087,0.407515125787641,0.7333566393028426,0.8402196407687172,0.9925562567033109,0.8566360680312487,1.0
0.6566285796860046,0.12071704155415754,0.8631917376550508,0.8929583171038998,0.8941791034449581,0.955685308170711,0.0
0.7297690047983351,0.5426134294303427,0.49777569477631345,0.7838732803682906,0.9665130903883522,0.6915769079113455,0.25
0.6950570130337806,0.4942904592392182,0.5747179720462761,0.9394449796976587,0.34357767863248734,0.9586764438983264,0.75
0.6901243561196195,0.4472456840251797,0.6617392202517601,0.753234733721202,0.8254764562385306,0.9990576561511086,0.0
0.8201389516410487,0.00967490025346962,0.7966722767588107,0.6704513812012165,0.8316830244205111,0.9033214745801313,0.25
0.8256114459355987,0.12173608185979555,0.7549225894458039,0.7192429511100292,0.6884590601520626,0.8116960344252271,0.75
0.691687924006935,0.5096784621591551,0.5994051838189395,0.949003599574094,0.6812393477329628,0.6940992880470436,0.0
0.6566285796860046,0.12071704155415754,0.8631917376550508,0.8929583171038998,0.8941791034449581,0.955685308170711,0.75
0.6720613251385812,0.4965940948758162,0.6812256772673988,0.9624181149824991,0.7878252258165052,0.9625011522480739,0.5
0.781242770847823,0.02221450796501712,0.8661008270625653,0.8187214500612776,0.8371288557716007,0.9042350739030794,0.25
0.8085826213714727,0.18975859335212414,0.681922185952142,0.7934940894048873,0.2914424326118476,0.8540449605445685,0.0
0.7685654717013726,0.4032392069714251,0.5971029805743221,0.9434359166601232,0.6827220822700056,0.40641638547531045,0.75
0.675876599834747,0.15579028153645452,0.8545735479461379,0.9963433791227149,0.43451667706229785,0.9308815914771287,0.5
0.659850613907456,0.5979204926204686,0.487504650665754,0.9471499025453819,0.7098821142542536,0.6715611041630773,0.5
0.8201389516410487,0.00967490025346962,0.7966722767588107,0.6704513812012165,0.8316830244205111,0.9033214745801313,0.75
