,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
25386,0.796107424037947,0.199853775905821,0.250122860515364,0.905518911067908,0.736189228620408,0.657988888317642
17655,0.64203545665672,0.351327150294281,0.256843510363009,0.756624693483145,0.916510844113153,0.759213317728936
23498,0.650891231401568,0.119030705220211,0.93176900722597,0.965894686798893,0.786069588902629,0.704131217945926
23040,0.806935223670656,0.204797076290319,0.0372825558504538,0.990567569217933,0.728669403460241,0.620186359289033
9305,0.67639905585794,0.348991511341355,0.0384773772407606,0.948274878868887,0.865362685250827,0.463715707672635
25159,0.836216667376123,0.125165582138852,0.427452336396673,0.909254131333069,0.671161255596369,0.726494066174954
10616,0.909808885762688,0.047306424397581,0.149896100953391,0.93999465853786,0.741436514697642,0.807713701991367
31035,0.693874198364488,0.195024230182276,0.741312035840513,0.85391380367714,0.755764849198951,0.838206419306526
15774,0.890559095023189,0.0846015590804716,0.0772301983608064,0.954234343090575,0.937630099732468,0.499850200408376
3366,0.745598077252658,0.107885135943601,0.752158326470855,0.737137981820204,0.929914978765668,0.704403152632243
18158,0.812183194741339,0.18040823740949,0.0430822622711098,0.983166302327644,0.593317081873703,0.917616438493245
26845,0.748619128944972,0.191403070034116,0.430278085359956,0.906589301401047,0.862261444822207,0.325065913951034
780,0.900629546434042,0.0757238000043113,0.0587363431037889,0.880603982765612,0.835697045278815,0.817036210823076
11213,0.546360541647914,0.440799689733604,0.147154578738882,0.846420329378297,0.881769813903609,0.832469929397326
32245,0.805334883198119,0.163840230714114,0.438544428821272,0.857107972031066,0.876933115743102,0.47452836792842
5057,0.646822847669346,0.34647620825009,0.258174986595855,0.714045335550494,0.977167065918867,0.715342588547435
34859,0.719299454795655,0.125823229171845,0.767967669683815,0.727389578303874,0.991042521129609,0.652292341859471
28733,0.924001480122707,0.0205851048073901,0.232162052898898,0.926720876771355,0.838909495713212,0.642786197592677
11629,0.796390156668366,0.0407943154079857,0.786471407248536,0.862175772082671,0.816429360734035,0.567140888570251
36677,0.659454911551048,0.222859613261544,0.753557558626798,0.817205893281871,0.815400749221233,0.923484247164
13959,0.547429735827145,0.370916111654293,0.511522997699431,0.995685115248197,0.938481810549964,0.31806461310719
38924,0.487088829207267,0.378913322291267,0.509636501401201,0.851529395719175,0.835924076076603,0.950772297076552
8308,0.773713400243174,0.197574708364085,0.410891505032105,0.949003227313483,0.742201571194867,0.528297135005063
38598,0.826844485162177,0.179189340981003,0.233547601283303,0.88200493239153,0.738941591686262,0.837143551793747
34591,0.841815921455607,0.13085267000099,0.119844274107102,0.779828783165794,0.940918363657278,0.667129781129606
5099,0.735425428901813,0.268125540601521,0.213117303941914,0.802673920527347,0.907248351740441,0.566580598018929
17758,0.836559638120009,0.139469164542276,0.144084174646354,0.911035417886937,0.702554990196521,0.75079639498753
24775,0.779239222397699,0.0817221518270282,0.766077730819305,0.916870418993677,0.881279672162329,0.38883643452189
11321,0.797800347093826,0.0455341698725837,0.867304141482995,0.963744178073823,0.936449431689611,0.424000291430026
25106,0.748817555471016,0.211516413284964,0.59280550612362,0.884717738048028,0.677595166499426,0.867542374949399
36495,0.683144491486864,0.285771198086415,0.446808537088757,0.667316836192834,0.93629847331853,0.983175775592653
17238,0.848991855564257,0.0275015624861181,0.535880780671717,0.973982324199675,0.742129122981077,0.413380276220445
5790,0.658607112945169,0.387034020780708,0.103075690419872,0.950090302733412,0.972388611839236,0.341653080623912
39570,0.627225667815049,0.268720496488885,0.66084217022314,0.921391936284306,0.70089658293749,0.897656083942058
27536,0.756101448027321,0.230131755857814,0.495191008185218,0.966099451554941,0.950604936267128,0.256999201024165
32533,0.607784087965367,0.417692574182669,0.0860628226901879,0.876893045960515,0.971679656728952,0.468062668870214
29379,0.618233659964751,0.338331344757523,0.496067887622188,0.927873710539309,0.84970278738445,0.55036676173503
20354,0.751076232001479,0.173048874750838,0.625997620222692,0.91315305867797,0.760571613034155,0.534121622287795
19811,0.671609284168269,0.195266145883999,0.758960845105922,0.961074032915028,0.679732793779134,0.767893866369754
6343,0.611158023378748,0.247885690637347,0.71731174281408,0.941264368749857,0.766182792404871,0.703686644890714
21247,0.696968977804633,0.36079552065004,0.129721302989525,0.995748678110052,0.760862690669067,0.660820169945627
4975,0.572866618662368,0.320795885905652,0.510150115939574,0.672857016713269,0.963829872404567,0.951586515321967
11598,0.637103820609618,0.359764082963889,0.124690036329039,0.81471868042902,0.885865842135556,0.652538312735973
4578,0.725704356299146,0.110997640312237,0.795070980154263,0.937606535550996,0.825760417969781,0.416339950870536
35165,0.524944499103101,0.467010395760609,0.0825024756962938,0.906004617405179,0.981474433873172,0.498073166001816
2934,0.5005968470662,0.264832789219493,0.866694283326002,0.98882848068567,0.857474510683361,0.943077135585978
9954,0.543318919483415,0.362151950899439,0.475483220678194,0.753432467543992,0.93857649323611,0.892757458813802
34180,0.571965172458471,0.161285888962319,0.914757265603268,0.837114246959196,0.910184155532779,0.9211032484458
35479,0.755975849717928,0.195332944099576,0.619331528063919,0.679180401198145,0.943185765438518,0.889190414451359
818,0.609086860807133,0.145499717986753,0.926583804687701,0.840377976455107,0.887856390315682,0.933923838729629
19204,0.831830496071729,0.165211396429605,0.224219388753147,0.880626037420095,0.937524204378378,0.42505776969032
15479,0.666558604832903,0.120005311851063,0.946988376699526,0.95519201884904,0.701110496285133,0.947850961678131
10141,0.853402939168839,0.0239890255950478,0.775503014257883,0.937473971281767,0.895933981706183,0.481965793022003
26529,0.887431100794561,0.0908064591511681,0.343305651770917,0.959807026097688,0.881176984445212,0.482235393868935
15830,0.789981891009505,0.0793466143336083,0.805050423963079,0.813619533669055,0.86801859123498,0.716582567050252
14245,0.842808945430533,0.0484512670169219,0.694535579059084,0.826676213329755,0.738445685911545,0.836171818010153
6829,0.759559920592317,0.135356571217297,0.604076661110801,0.850008707399316,0.809452156424901,0.559787071789754
24731,0.847288231921039,0.0017135887345239,0.750709105552739,0.780072436314287,0.73252114902801,0.962135269882753
28352,0.529828623201731,0.448397001484792,0.0801771882610537,0.77945166197837,0.918353068943608,0.866119186203488
28986,0.597237930196923,0.364266523356426,0.301609612980645,0.829951255904539,0.997690928313887,0.341660194644319
15058,0.713054211738681,0.247793957137943,0.419583741327268,0.940046235563175,0.98561273963692,0.155177903233316
35417,0.62310376629645,0.378353446881002,0.236132570084437,0.92434723211125,0.882216889599987,0.404742961544982
568798,0.676376690758787,0.256515830114085,0.0188291683491439,0.930168968249099,0.956905073423291,0.0321346292263492
158761,0.775375032355498,0.122663788713392,0.179469039116923,0.980477418221415,0.772716328008959,0.211950469623898
787104,0.745136790502632,0.163498773705117,0.10201459196201,0.984243040876413,0.88537733239743,0.0549373922732397
544059,0.82500375282894,0.0404936750864382,0.0554756364204022,0.929315671265092,0.943145603291797,0.170292402371365
130030,0.694517165379711,0.230111438871125,0.0818824334301415,0.849071169246908,0.911319958384554,0.210020052469155
247760,0.796242143373719,0.111042886778438,0.0163400843373213,0.831607436543208,0.939423695302367,0.311651988245234
328017,0.642920908791256,0.285612662589941,0.007418782121821,0.78818225178947,0.972952183630194,0.235640852469554
259195,0.789790760079514,0.0733341815724347,0.256007538293084,0.937928678460687,0.643637190571182,0.436604973975117
212347,0.752762916141578,0.133621349426377,0.207350934718877,0.852677819638162,0.965977330543853,0.0951528345828232
363579,0.63163312330586,0.25786106770045,0.343161528160784,0.997629230429446,0.825878851369471,0.0325659503655416
756536,0.695685455677104,0.26702962648755,0.0039974990648821,0.941605862508751,0.718060046560031,0.427809635755811
665068,0.797986662432794,0.107692280298772,0.217594522130994,0.949907531487015,0.875519346241939,0.109085816628546
667241,0.841487182483129,0.0371797820208312,0.00435225801157231,0.845904393209635,0.671405398782561,0.950118403290326
959565,0.754625236509991,0.119650196283646,0.234733995474128,0.996140105320486,0.532958258649633,0.55619674184444
308146,0.478293794156818,0.436308948291871,0.00538886727355739,0.991180871153638,0.925869390238645,0.0473049030203168
35387,0.804049937518541,0.105089198970733,0.232618569667478,0.977781380090463,0.592325431173994,0.470394404267999
398414,0.807870837826703,0.0271516967980259,0.404954740759862,0.921697031358891,0.658168500069836,0.393859486894554
149841,0.599706981163923,0.299178082243926,0.205354057104038,0.932706964928482,0.860786288676073,0.0839205386971011
762996,0.772105617407258,0.179429148494017,0.0261833373281043,0.905149532154296,0.943069310342904,0.143824206442177
59207,0.77567708909459,0.151416300330299,0.144837665422275,0.939469152438856,0.543337425203446,0.731195459952439
614656,0.837791563717217,0.10944613364464,0.00395721325018852,0.956551446655991,0.693131208152685,0.555762771243292
114222,0.616595250953521,0.286443577234424,0.117913828170614,0.963271818369356,0.846732466367284,0.0357756092363216
47802,0.769400875829268,0.122635654811679,0.113231233179895,0.986781594882286,0.433790875894872,0.926964611115912
231839,0.751448399545735,0.1519724217307,0.171244992956323,0.961741670087918,0.529195885136497,0.646596518533654
306435,0.771454050996831,0.15335639597084,0.07494118070825,0.837372306357821,0.988106499793727,0.143659676170654
308669,0.849795272453487,0.076351117614724,0.0489762684535086,0.922046300521218,0.931228902998814,0.256680099337557
424187,0.675973491543076,0.27145370138051,0.0236735767342934,0.930625617641694,0.560461492947171,0.853123832576761
249017,0.622874413651592,0.269183552872254,0.204670647303,0.993373242016043,0.813325745244859,0.0280107614439039
736544,0.70918926662667,0.137344113914907,0.445075672287719,0.92864552983328,0.771277320962128,0.181562781834135
270429,0.774170635693515,0.0913321247338568,0.155084991055321,0.999994983642603,0.475287476563703,0.620633852939797
633532,0.658508791355458,0.212823270104352,0.270436391065005,0.942836284647754,0.860833834557066,0.031249625432887
720018,0.832435265271555,0.0559920550953671,0.153940162774195,0.902895501582438,0.531582007628613,0.834528866865779
846921,0.662621482364466,0.212373702782987,0.290200599596912,0.852762765435818,0.90277758317602,0.136661523158676
170756,0.771518997138329,0.198509626433287,0.0760350703587224,0.989849320188416,0.753024667229008,0.26948340915895
309551,0.70223664927319,0.223806476263311,0.0908258086965369,0.89851658862379,0.80581286664726,0.2446060363747
573751,0.6857491319333,0.278886237792031,0.0857245717928483,0.964773102822306,0.658525665498708,0.464020468672036
474860,0.750834959740391,0.152196689111602,0.00175026818501909,0.945870198844622,0.575454668786374,0.64051213034209
367609,0.763642414586834,0.100985629533866,0.0392452478913671,0.848965722841686,0.965446158664058,0.199111508095651
945007,0.630142864726298,0.294754902688345,0.00526437175348949,0.952120241750153,0.527054775417105,0.961289102257887
261336,0.821800161414555,0.0316239347094505,0.00341779433135891,0.976452777106361,0.51460481633757,0.861799732371229
624807,0.656289972533549,0.267943390189989,0.0553949113418781,0.907341889179765,0.654140703919044,0.592200595684201
639690,0.864316967152621,0.00576925439555636,0.224395005627329,0.935539234082182,0.412205391995266,0.993131697221033
653315,0.697094987714347,0.255234033278293,0.103498835609181,0.765411885952102,0.986459430387677,0.245035672197797
423887,0.831291368560959,0.0436089885248192,0.0608779584437433,0.988184905224222,0.973162128880254,0.0359958830812821
842240,0.583791919711202,0.346153573819841,0.0182714262294669,0.910190394055508,0.671506925410169,0.625965233285471
156964,0.496282048278047,0.3588180713293,0.105440041452319,0.884857224114043,0.988548832773111,0.0474047840638841
176106,0.672731105050459,0.247105998623741,0.120629044493459,0.987348642748948,0.669687542722808,0.271960320814611
933294,0.73497241525637,0.240571727993388,0.0857650626212756,0.988546984216785,0.851101114853842,0.0898493424419105
120826,0.81196222128682,0.117112784189221,0.0770013571501861,0.830341517730041,0.819591017286427,0.491167631019719
319585,0.798378463705512,0.0181012303314606,0.445866898020035,0.946007944238885,0.667055144400644,0.281600608177906
429352,0.677292721863789,0.20607087783218,0.0916578021869533,0.862809983801078,0.879010930363664,0.146251662805946
