,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,sim_liq_density_229K,sim_liq_density_249K,sim_liq_density_269K,sim_liq_density_289K,sim_liq_density_309K,sim_vap_density_229K,sim_vap_density_249K,sim_vap_density_269K,sim_vap_density_289K,sim_vap_density_309K,sim_Pvap_229K,sim_Pvap_249K,sim_Pvap_269K,sim_Pvap_289K,sim_Pvap_309K,sim_Hvap_229K,sim_Hvap_249K,sim_Hvap_269K,sim_Hvap_289K,sim_Hvap_309K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
1,0.028060089236586212,0.8998644770381694,0.7547155299274146,0.1213148229918351,0.590105259317583,0.8422334892006811,0.9613512097953633,0.20657709569666294,0.2963400610644701,0.9820534800298388,1523.7583642222219,1442.791681655555,1354.8836613888886,1258.6381947333332,1125.5897148222225,9.734524745944444,19.891150853888885,39.060026019777766,75.80467062711114,125.22180009899999,1.4656305139555554,3.1375883118444445,6.287342101333332,11.8745513607,18.8447788044,161.50397864056328,149.497989873964,135.9696356475982,118.87714479684378,98.40835329032122,339.68958155357154,574.9611646544424,273.58908132777896,9.31075546625717,0.3374773908118991,0.7287582502892167,0.0838574761689215,9.370729041607765,1.1703067617445555,8.15222187254023,9.104272879419199,0.5853614986762375,0.08532161271996629,0.5352622231932944,True
5,0.08565728178503153,0.9344841993249899,0.6288515829620602,0.2943067970796312,0.5116892584363967,0.5991170248702691,0.9215825649219651,0.22955262678909225,0.2961958963412752,0.941107534790053,1506.6300498444446,1427.4646470666669,1343.1453759222222,1245.709809111111,1127.097111008889,8.420972070833333,18.75846641344445,38.184057914666674,72.19036883355555,131.35473919922225,1.2768570193222224,2.9757800830777783,6.1717656359,11.493794372944446,19.23770975658888,161.58868139482476,149.74582438205644,136.152622737028,119.72755150079766,98.19331994302802,340.5098062958428,577.2079037576057,28.70325581192667,6.273797166325595,0.2976028844379118,0.8613321484828017,1.2316700142923518,28.173842300004562,0.37062462372080857,2.7969754756419403,4.27500529533442,0.6678655819559053,0.32699065876335176,0.9281174606759375,True
7,0.11020460801770496,0.9294257527001228,0.20687376691411935,0.6018309421818054,0.783982110519213,0.5768735074366531,0.8124481837387102,0.214292407744999,0.334908370936509,0.973846714224356,1497.234126277778,1421.592575111111,1335.8107212666666,1245.7678932666668,1125.7928712366663,8.177804503955555,18.824044668111114,35.19995621855555,70.89885115511112,122.41475266411112,1.2422839343755556,2.9844594477888893,5.734380997733333,11.300147781922224,18.513042596944445,163.82524609167308,151.87152751504453,138.5243521889647,121.89484561378015,101.05310480176882,342.49353962590214,570.9200441176253,27.790829851080098,4.446210396072588,0.06670220048350464,9.258806840821524,9.56998741702692,0.9603135314008254,0.398003147452892,2.46647081208498,2.4185156263103256,2.3940563994989126,0.9114730777555001,0.17135091491077545,True
8,0.12024327764232903,0.9126203197893992,0.4822085008811802,0.29480776152192995,0.7998177510138469,0.24974235382266385,0.37158531748852514,0.8822743205006742,0.6115182569387881,0.43480431912182393,1507.9127726555555,1429.2637201555558,1342.5767840444444,1244.3569045333334,1114.8398991677775,8.832107605455557,20.344898968444443,39.51500608855555,77.07190315444444,132.98429170000003,1.3395072142711109,3.2123694655444446,6.3771022729555575,12.149542335622225,19.784444115188887,162.4255946411077,150.15931765748675,136.24733267225656,118.86134894263782,97.19392749364448,338.6759214702489,575.7557284386621,16.445964821721848,21.25120547863772,0.8824121728719462,0.20573961303880467,0.5242897172464688,14.866641792707988,0.2764572282045943,7.886764474891242,9.419474310129395,0.3467656841073856,0.21334075714527648,0.6741962648473755,True
13,0.17977744835643297,0.366612656612117,0.844564905329512,0.20732597940602143,0.23853589738953204,0.671150918681135,0.8639817770532303,0.4357117957359989,0.803719964186993,0.8582276202129138,1497.4577630333333,1420.032652833333,1334.638682088889,1238.0496624555556,1123.2400238555554,7.140465750266667,16.868560075555557,36.07143442522222,67.08951876788888,120.07705227877778,1.0856913831333332,2.687558806977778,5.826885923888888,10.707486584855554,18.08643393012223,168.13814272429263,155.47028647150884,140.73349406963413,124.08056285786303,102.88845774997878,341.9135332215856,566.7938333505044,23.99827465494321,10.507249650707537,0.024297422681646096,32.88075374494118,6.317849256014719,26.0729378524206,0.3626540335974002,6.751713154199327,4.6782063326637635,4.480986322474587,0.7405813852638912,0.8928425685426733,True
17,0.23216275355955557,0.8715313098532753,0.5757185422115421,0.3283037656260404,0.10414461525478894,0.799133560208199,0.05552614567723,0.8845518510541251,0.441847201298718,0.6488003759370049,1504.018155477778,1420.5083117000001,1331.0740855444442,1232.2598836555553,1104.1710231555558,8.947763372366666,19.876240235,39.05060442888888,75.63400036433335,135.5003127922222,1.3502051694222224,3.1332852910999995,6.2933137006777775,11.879157847688887,19.752690984877773,161.83290966750118,149.42610571128543,135.5204331914873,118.00178573395756,95.62912776597258,337.15230041129394,571.4019059952985,79.54344757577992,24.616928043034285,0.7130987478387689,0.32248997167273663,5.052153441069306,0.24809763751952094,0.6464634053277187,7.3992921463983095,8.231389367990785,0.4001786163652714,0.6622568028008371,0.08709459777958435,True
18,0.2356242239417889,0.10626566480376134,0.5825490357443188,0.38877886996501104,0.3687221097038489,0.9801204705780412,0.7133756640026361,0.9116013977819268,0.551275249991668,0.8408671443548559,1513.3663815777775,1433.744812622222,1346.8153345888886,1245.3325202111114,1128.7102862477775,8.1406705213,18.150545717111108,36.293017186777774,67.28706380622222,123.94815296799999,1.2336230201944447,2.8772024782222223,5.897790838255554,10.794830122688888,18.554873333533333,168.28768853334344,155.42494567316604,141.5518903085894,124.17245437608678,102.1653327387153,340.7960044547419,570.668987219466,76.65200899760991,2.6082414552177076,0.01921095030223976,33.47982041017582,1.9488284376592262,1.5153924658380542,0.6259929116257767,2.1372317386001085,0.7366297028010083,4.480039895533518,0.41131539621152,0.21524965562755757,True
22,0.2508433215590123,0.7659093966263183,0.6086268210660492,0.3351109687041595,0.4577655053820696,0.9268962651649364,0.6358099165389132,0.04715318246217814,0.5832364505366541,0.25778989802988295,1523.4180327,1443.7528645888888,1356.4032395,1261.0476952,1139.6377638333333,8.696419589088888,19.330899912333336,39.35424613466667,79.08997710955556,141.00477040222222,1.3153129874066665,3.0619960031555555,6.349184672288889,12.293256219377776,20.342456830707782,162.4059882809361,150.39500531498555,136.87340253578918,118.73065507613771,97.09824502851774,339.3920001321881,591.0294811081596,386.53302076420744,61.18296522255666,1.347809609972025,0.456203007594559,6.39978850072553e-05,365.9370474674376,1.4920594711666042,8.222349929921089,8.776502449976608,0.42630671920490354,0.0023570618184623896,3.3448996517152767,True
23,0.2616550070124752,0.3707978529938411,0.7015535411129444,0.29429824046010605,0.3891749868288376,0.35932449280660594,0.6868577926310842,0.6874301324189002,0.8305796821348205,0.9088968899425919,1498.5003854333331,1422.7139775444446,1334.9892020555556,1241.7917997555558,1127.6618427777776,7.981039874055555,19.03747481855556,34.68540785455556,66.49746957777776,125.696555338,1.2121469110244445,2.9979388919,5.644631032,10.649150885233333,18.502079216844443,168.4429465660432,155.90316984209147,141.85765859208195,124.70872178346184,102.64213736012594,342.16640079550825,570.9426422761122,28.443916264038176,3.540804310143943,0.03642082338201582,38.099433381437805,7.652973361388818,0.9165338114875397,0.3470195045908503,3.4905559350912068,2.562397016018916,4.797267143684084,0.8150856792894153,0.16739949709525326,True
24,0.26280586254407495,0.8658825116136151,0.66917564799262,0.20235122423777813,0.628620731903691,0.363304862106451,0.6847918777294969,0.9875657126082098,0.05839536555817898,0.455701433339146,1498.2092479444445,1422.560561933333,1337.6043553222225,1234.5037986555556,1117.39124508,7.502853171799999,20.251219345,41.146594438,70.56242206533335,130.34605430255556,1.1441908436733337,3.201861410033333,6.5786263561555565,11.327309673522224,19.386985899677782,160.7422330680201,148.29169139154777,134.52916079768977,118.49376877169897,97.39775787671454,339.8097275435375,572.2878940730102,14.472527162474425,6.866654027510418,0.41371804222714914,1.1504254759673804,0.16787665993330858,0.15046181187645466,0.24723206269754947,6.484631377391019,7.900423965753564,0.6722049592484298,0.12072113834341257,0.06782550673373244,True
