,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H,temperature,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,0.34448647969065216,0.29713264558025887,0.215884654626411,0.4878189077505715,0.28783755154983964,0.0800890642587017,241,1150.3936332444443,6.542522931233333,18.973880570464377,2.346873501044444,-9880.988125144446,1325.2668599644444
1,0.34448647969065216,0.29713264558025887,0.215884654626411,0.4878189077505715,0.28783755154983964,0.0800890642587017,261,1088.5952349555555,14.926028018666663,17.5534796813372,5.4743700240777775,-8323.598926588887,1549.8208311
2,0.34448647969065216,0.29713264558025887,0.215884654626411,0.4878189077505715,0.28783755154983964,0.0800890642587017,281,1019.0945590144444,28.782978101111116,15.92073045423336,10.539468812,-6912.119303122222,1670.6767281333332
3,0.34448647969065216,0.29713264558025887,0.215884654626411,0.4878189077505715,0.28783755154983964,0.0800890642587017,301,938.9442816888889,51.98399592566667,13.914504192839866,18.38887503934445,-5440.129052122222,1768.0507746444446
4,0.34448647969065216,0.29713264558025887,0.215884654626411,0.4878189077505715,0.28783755154983964,0.0800890642587017,321,836.8164816077777,93.95443840533333,11.2819809621409,30.54413469451111,-3699.2205803111115,1901.791851777778
5,0.35488553384468174,0.2809119774966517,0.24663681139873328,0.4587453165710866,0.300976960755993,0.07745434440639574,241,1154.3625491111113,6.3879084907,19.08882800613347,2.2955799866555555,-10002.556947555557,1300.8086781055556
6,0.35488553384468174,0.2809119774966517,0.24663681139873328,0.4587453165710866,0.300976960755993,0.07745434440639574,261,1095.1383644555556,14.468661752444444,17.720634441798946,5.328401058911111,-8510.309082822221,1507.3179868888888
7,0.35488553384468174,0.2809119774966517,0.24663681139873328,0.4587453165710866,0.300976960755993,0.07745434440639574,281,1027.597339041111,28.011414166777776,16.12540014178219,10.316925146755555,-7081.927774533333,1640.9721593111112
8,0.35488553384468174,0.2809119774966517,0.24663681139873328,0.4587453165710866,0.300976960755993,0.07745434440639574,301,943.5974505944445,48.20535432722222,14.204500949505766,17.411735774344443,-5684.343952411112,1673.7209199555555
9,0.35488553384468174,0.2809119774966517,0.24663681139873328,0.4587453165710866,0.300976960755993,0.07745434440639574,321,851.7280843844445,90.25025472555555,11.628849159098674,29.86019718396667,-3905.9385037333336,1881.7128897666666
10,0.35990445508539465,0.2957368125417831,0.1816694298436267,0.47001151099508776,0.3110888402274325,0.04268778538453527,241,1144.9454994666664,7.1771295823,18.6489792161291,2.5589619731,-9378.841839933335,1456.5675693444443
11,0.35990445508539465,0.2957368125417831,0.1816694298436267,0.47001151099508776,0.3110888402274325,0.04268778538453527,261,1083.3720358777778,14.915234844666667,17.290096943473966,5.485970758955555,-8125.5800303,1547.1217830333333
12,0.35990445508539465,0.2957368125417831,0.1816694298436267,0.47001151099508776,0.3110888402274325,0.04268778538453527,281,1015.733493148889,29.069347343555556,15.734059813646327,10.653071631011112,-6751.458536633332,1690.6512150555554
13,0.35990445508539465,0.2957368125417831,0.1816694298436267,0.47001151099508776,0.3110888402274325,0.04268778538453527,301,939.0466877844445,52.995251087666674,13.766327444106043,18.636281376599996,-5254.034446033334,1819.2766016444443
14,0.35990445508539465,0.2957368125417831,0.1816694298436267,0.47001151099508776,0.3110888402274325,0.04268778538453527,321,839.5260272188888,93.47666733622222,11.228286151877036,30.378029437044443,-3627.5240849444444,1920.9618510777777
15,0.36013132956123667,0.29493108276956215,0.18199488631927938,0.4961111876681537,0.2650314914560753,0.07155444769871673,241,1154.6602404444443,7.418713505444443,18.66960565831778,2.6358798066111113,-9320.6343167,1501.1270780333332
16,0.36013132956123667,0.29493108276956215,0.18199488631927938,0.4961111876681537,0.2650314914560753,0.07155444769871673,261,1091.6663361222222,15.214476310888887,17.339790702765104,5.568270265344444,-8134.352448922222,1571.6943610666667
17,0.36013132956123667,0.29493108276956215,0.18199488631927938,0.4961111876681537,0.2650314914560753,0.07155444769871673,281,1022.1926469544445,28.590214221444445,15.751737998575011,10.454697692955556,-6783.516397544445,1665.6180514333332
18,0.36013132956123667,0.29493108276956215,0.18199488631927938,0.4961111876681537,0.2650314914560753,0.07155444769871673,301,944.3317600966667,53.130891730222224,13.756786831145531,18.66670333952222,-5274.453367655556,1814.453763188889
19,0.36013132956123667,0.29493108276956215,0.18199488631927938,0.4961111876681537,0.2650314914560753,0.07155444769871673,321,846.1404749866666,94.73783354077779,11.223263885307718,30.552767100222226,-3673.4080523777784,1896.9094860444445
20,0.36105389895761064,0.28139186712754716,0.23479370938759858,0.47000716748707805,0.31059524700959307,0.04858018322497939,241,1157.9423623777777,6.841974853588889,18.872818253293683,2.4539106710111116,-9672.787222811112,1390.0602908111111
21,0.36105389895761064,0.28139186712754716,0.23479370938759858,0.47000716748707805,0.31059524700959307,0.04858018322497939,261,1095.1516404666668,14.589779777666664,17.52441757776247,5.377763598522223,-8331.145544322222,1521.0315878111112
22,0.36105389895761064,0.28139186712754716,0.23479370938759858,0.47000716748707805,0.31059524700959307,0.04858018322497939,281,1026.9216790455557,28.202806831777778,15.908590708543786,10.355199781477777,-6918.184057488889,1647.1011494888887
23,0.36105389895761064,0.28139186712754716,0.23479370938759858,0.47000716748707805,0.31059524700959307,0.04858018322497939,301,953.1567004366668,52.82580823855555,13.956680143081156,18.64198879251111,-5445.85949938889,1795.866358311111
24,0.36105389895761064,0.28139186712754716,0.23479370938759858,0.47000716748707805,0.31059524700959307,0.04858018322497939,321,851.5553463233334,92.21005602388888,11.431327042965878,30.237133201066662,-3760.6946124222222,1912.6189915444445
