,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,sim_Tc,sim_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc
7,0.1102046080177049,0.9294257527001228,0.2068737669141193,0.6018309421818054,0.783982110519213,0.5768735074366531,0.8124481837387102,0.214292407744999,0.334908370936509,0.973846714224356,342.49353962590214,570.9200441176253,0.398003147452892,2.46647081208498,2.4185156263103256,2.3940563994989126,0.9114730777555,0.1713509149107754
74,0.6614223082660965,0.4575732683481721,0.9845145160028986,0.0062004532183615,0.8832828125214139,0.9883041423656952,0.7140163373651783,0.3780481402750981,0.105057094259014,0.5726246071524311,341.5462903695265,562.910280780767,1.7376673799634503,0.999372963918869,1.9924057563414028,0.9255109001920508,0.6323778342741678,1.5719040425306765
80,0.6946425092993881,0.1002919925646839,0.0191790140767608,0.6586515129464312,0.6889161914343489,0.6261579754621351,0.7614754076126822,0.6673620675054219,0.5575180815955942,0.5660409601970328,341.80575621530494,567.5040475670362,0.6931669061795858,1.5965196567334292,1.7584433128881922,2.47320868103724,0.7088262272554395,0.7686575333036862
100,0.804896844721987,0.6167036407703614,0.7009135906473071,0.1440696602471111,0.7877035443455108,0.9845179591771952,0.187360774817457,0.53258023065176,0.10530187994827,0.5617761639740518,343.0813961829334,576.6272014010818,1.0305835806386578,2.214510198879132,2.199585145003834,1.422608600941833,1.0846777203693108,0.8265783180769115
