,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,temperature,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,0.3028060089236586,0.38998644770381685,0.32547155299274144,0.2621314822991835,0.22901052593175827,0.44639798146224435,0.4860139726125737,0.16765636824255487,0.1863146376833084,0.0819508961687997,229,1523.758364222222,9.734524745944444,19.383707516440406,1.4656305139555554,38956.08303255555,16856.83587766667
1,0.3028060089236586,0.38998644770381685,0.32547155299274144,0.2621314822991835,0.22901052593175827,0.44639798146224435,0.4860139726125737,0.16765636824255487,0.1863146376833084,0.0819508961687997,249,1442.7916816555553,19.891150853888888,17.94274874467316,3.1375883118444445,41037.17950177778,16126.681803666668
2,0.3028060089236586,0.38998644770381685,0.32547155299274144,0.2621314822991835,0.22901052593175827,0.44639798146224435,0.4860139726125737,0.16765636824255487,0.1863146376833084,0.0819508961687997,269,1354.8836613888889,39.06002601977777,16.319075670424734,6.287342101333333,41845.25008255556,16949.888963777776
3,0.3028060089236586,0.38998644770381685,0.32547155299274144,0.2621314822991835,0.22901052593175827,0.44639798146224435,0.4860139726125737,0.16765636824255487,0.1863146376833084,0.0819508961687997,289,1258.6381947333332,75.80467062711112,14.26763491851719,11.8745513607,41029.06402822222,19688.447462333334
4,0.3028060089236586,0.38998644770381685,0.32547155299274144,0.2621314822991835,0.22901052593175827,0.44639798146224435,0.4860139726125737,0.16765636824255487,0.1863146376833084,0.0819508961687997,309,1125.5897148222223,125.22180009899999,11.810970561904352,18.8447788044,41069.268935,21486.466591111115
5,0.30390568954389596,0.35377587218714895,0.2585630838293611,0.31799094221615115,0.23416890306842786,0.3995671338973685,0.3296409195792775,0.16800218236118503,0.3179714687794781,0.03182814511389391,229,1490.4260996444445,8.266335180433332,19.55554625601508,1.2559844547422223,40857.75530422223,14311.486380777778
6,0.30390568954389596,0.35377587218714895,0.2585630838293611,0.31799094221615115,0.23416890306842786,0.3995671338973685,0.3296409195792775,0.16800218236118503,0.3179714687794781,0.03182814511389391,249,1412.9381698333336,20.36622663411111,18.01523270620476,3.2154990209000003,40648.22308155555,16493.621762666666
7,0.30390568954389596,0.35377587218714895,0.2585630838293611,0.31799094221615115,0.23416890306842786,0.3995671338973685,0.3296409195792775,0.16800218236118503,0.3179714687794781,0.03182814511389391,269,1323.6846212333332,43.535540304444446,16.20351183176484,6.9263483324,40242.94160488889,18911.057326666665
8,0.30390568954389596,0.35377587218714895,0.2585630838293611,0.31799094221615115,0.23416890306842786,0.3995671338973685,0.3296409195792775,0.16800218236118503,0.3179714687794781,0.03182814511389391,289,1215.8303056333334,79.93914650455555,14.008322983405641,12.470462030533334,40274.95417977778,20730.659923555555
9,0.30390568954389596,0.35377587218714895,0.2585630838293611,0.31799094221615115,0.23416890306842786,0.3995671338973685,0.3296409195792775,0.16800218236118503,0.3179714687794781,0.03182814511389391,309,1075.0847581822222,135.2800135857778,11.320953832382429,19.982651205722224,40003.17022466667,22879.02046211111
10,0.3098672326223683,0.33525438242229016,0.30034399315587457,0.29369073019060066,0.2199238141017488,0.3656459924961482,0.34136378014804863,0.310860910088376,0.29543272775979923,0.04783317244988654,229,1500.282446588889,7.765590876877777,20.191000976108175,1.1822806920977778,41589.37323633333,13555.833435111112
11,0.3098672326223683,0.33525438242229016,0.30034399315587457,0.29369073019060066,0.2199238141017488,0.3656459924961482,0.34136378014804863,0.310860910088376,0.29543272775979923,0.04783317244988654,249,1421.4608465555557,17.067956897222224,18.714353698725176,2.7296205156111113,42843.71438711111,13922.17744177778
12,0.3098672326223683,0.33525438242229016,0.30034399315587457,0.29369073019060066,0.2199238141017488,0.3656459924961482,0.34136378014804863,0.310860910088376,0.29543272775979923,0.04783317244988654,269,1333.1402114777777,34.11514919855556,16.967789526192096,5.591507626655556,43724.97868466667,14882.405101666665
13,0.3098672326223683,0.33525438242229016,0.30034399315587457,0.29369073019060066,0.2199238141017488,0.3656459924961482,0.34136378014804863,0.310860910088376,0.29543272775979923,0.04783317244988654,289,1234.5801024555558,65.10339576933333,14.921353516731832,10.567799188599999,43755.673132111115,16810.355781000002
14,0.3098672326223683,0.33525438242229016,0.30034399315587457,0.29369073019060066,0.2199238141017488,0.3656459924961482,0.34136378014804863,0.310860910088376,0.29543272775979923,0.04783317244988654,309,1127.4034073444443,128.37994319444445,12.212323815958356,19.02413405825333,40578.23129844444,22281.11339222222
15,0.31797774483564334,0.3366612656612117,0.3344564905329512,0.2707325979406021,0.19385358973895317,0.38949959920776994,0.45363099410553587,0.2152846629857392,0.2917794126324509,0.07371453277601629,229,1497.4577630333335,7.140465750266667,20.179939889769596,1.0856913831333332,42692.40673011111,12517.393371111111
16,0.31797774483564334,0.3366612656612117,0.3344564905329512,0.2707325979406021,0.19385358973895317,0.38949959920776994,0.45363099410553587,0.2152846629857392,0.2917794126324509,0.07371453277601629,249,1420.0326528333333,16.868560075555557,18.65954378231049,2.687558806977778,43221.352165111115,13824.444163333334
17,0.31797774483564334,0.3366612656612117,0.3344564905329512,0.2707325979406021,0.19385358973895317,0.38949959920776994,0.45363099410553587,0.2152846629857392,0.2917794126324509,0.07371453277601629,269,1334.638682088889,36.07143442522222,16.89083395823749,5.826885923888889,43249.70327311112,15822.973320888887
