,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
39917,0.487362797367345,0.835051064891442,0.324357299113541,0.485901504629335,0.36055547187808,0.742976455216459,0.144020093803362,0.620454452920643,0.427335687269632,0.602988665647427
216052,0.228879492365055,0.630308454632251,0.504390243401464,0.260642794415305,0.961362903425654,0.542116435597858,0.411259968936538,0.93386902192418,0.568461198743817,0.128755039385166
149858,0.239899063663232,0.824962100454707,0.405237970351031,0.491803251154531,0.288815701149169,0.159199487435263,0.850041622158367,0.164054123154479,0.695175378831822,0.0728672672017976
200293,0.556429871412559,0.82718570304477,0.744803975123984,0.0773773830359559,0.843394390453688,0.694567888779871,0.204548654417232,0.81432078200503,0.201391861580266,0.799127728725916
126438,0.648849301342835,0.800172831085613,0.839066478249551,0.040420670381121,0.425298950983629,0.811986102143483,0.435644174328259,0.383569053344204,0.103530623277064,0.454036754202869
213711,0.742897270037304,0.636661018135564,0.544033994228793,0.267266160134753,0.670564484978708,0.615668948709951,0.122277431545756,0.795578352729835,0.357070985953497,0.467932300694507
51092,0.866465426466614,0.738938429335205,0.772355236865152,0.0889150275423814,0.376720911639777,0.128313393718774,0.792050957994259,0.164172857948518,0.626655636285216,0.510815442388405
117821,0.761133307048762,0.710077909601951,0.276878191281896,0.470701218302459,0.681560253974581,0.823157807536518,0.579392423234474,0.102054920468802,0.103630882359673,0.990433491374809
220881,0.168553675478216,0.885037054438083,0.213195963461452,0.582370777645686,0.274662096724996,0.584198950192749,0.0197298328852157,0.621804640766337,0.883175233198047,0.243601312123119
162576,0.32476301924776,0.924237750395693,0.15405142056609,0.626082436149345,0.0446690973681797,0.0463234334131748,0.699834288162074,0.090779837873069,0.613101120118444,0.364864834109206
39273,0.158061723037438,0.693073061066789,0.657015727786551,0.155422715313391,0.968054221294203,0.0356632971265944,0.75691208137637,0.855494209299638,0.716013546740651,0.744415604786558
88255,0.45277358342848,0.356730682585925,0.0715976334720018,0.641129538589495,0.688790862144076,0.714333743529029,0.646898836161678,0.00380880143175328,0.752616724954865,0.869524842819173
212358,0.681536644301944,0.477084403953203,0.814865255846065,0.0869358048799162,0.59203219145237,0.584136925468386,0.185144238678496,0.751615665111779,0.518970341151616,0.704356454218222
145189,0.173567987643403,0.434568218437518,0.726790668325808,0.274809328217166,0.147952833182102,0.247653368267009,0.761529258339898,0.876899631441169,0.716563353080957,0.661484975153597
221637,0.311742426418927,0.410289986758175,0.553394497819708,0.338518265194278,0.930801394220896,0.569170240068054,0.835642258672023,0.471637628489442,0.759841338866498,0.585709341872779
139275,0.73531677543426,0.281772626068418,0.713302910681397,0.204908281200403,0.646076083545838,0.37301448011112,0.688361208464426,0.611381070064471,0.594686744133344,0.979898779407068
225575,0.247917182929618,0.253597338635341,0.487489576305942,0.42631088912969,0.635390825819102,0.746328767377055,0.702674133116746,0.420349954837894,0.945800374997975,0.291206004757527
32466,0.196683041882204,0.437763955848075,0.825464216013135,0.0223143119940784,0.564989018533524,0.409635997594733,0.428587413189041,0.907606227625023,0.858121339559819,0.244697787912607
36503,0.101217449995602,0.754006235425149,0.325580955963976,0.478896721552637,0.709407182716163,0.169568763334514,0.827296301049842,0.509498975194035,0.627172742512152,0.706093583622775
174365,0.108485168417808,0.686847715324331,0.697913359872745,0.337527594145723,0.189024172295746,0.871151129432556,0.611390489201228,0.474326397282759,0.529657825504008,0.751380088806189
91404,0.346668094452997,0.898448843405238,0.610785018183453,0.338760183556923,0.180400619201849,0.448555674224759,0.947120700607603,0.521265806446202,0.0304007341664013,0.137351794272413
33714,0.614441906406765,0.266878421895566,0.914684715602699,0.00943553519355396,0.851823312329926,0.106946042183449,0.809379714360311,0.956084066367535,0.778227771439651,0.367464683949994
147245,0.0341755914419906,0.780627895103748,0.181160865604301,0.582454007699463,0.905851626310696,0.846842300964699,0.409098545878729,0.497943156060616,0.649790564569568,0.763780456668471
61772,0.272057580546861,0.530027486880879,0.790489592462146,0.18516608433495,0.423420548018246,0.919806841443958,0.511044310056438,0.974176983897112,0.218542922379782,0.0607705786278643
101597,0.111524068455786,0.678498537602435,0.298870449489751,0.610441220067344,0.28035863810092,0.529719723094363,0.849490798798428,0.509487979038092,0.455949845896306,0.234498814581466
87138,0.0586246852972738,0.21132465236129,0.723288823536844,0.327861980378043,0.64845059935838,0.889093667603783,0.963582688986847,0.978465895084056,0.630437210383178,0.547981131464744
