,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
27144,0.85631220238101,0.0552091355158621,0.638942404794638,0.731194105395903,0.87053416534314,0.882574374164154
4253,0.791487486213081,0.209711498746319,0.291067450014852,0.861565053966874,0.697121466107165,0.882800317155243
32408,0.577114090239231,0.371974414703218,0.411498910688908,0.989416995975798,0.755239426590711,0.581861695825925
10092,0.866868789293579,0.000865138727121273,0.660322498105533,0.944777312544705,0.667212195829666,0.635442904541192
40433,0.855742333006638,0.111401418358356,0.424158143528899,0.731315853015213,0.932149524738076,0.764505621046083
4072,0.84105433647361,0.0634715744452623,0.6234010208117,0.879339282527663,0.72847217436485,0.701300889457077
18295,0.627031286808737,0.258815820588922,0.680651529977021,0.864177674288372,0.782647025447258,0.784672256230088
31617,0.855332099120383,0.09500026780133,0.387188855086976,0.751101275725171,0.818138368086853,0.881339968839886
2416,0.879471420360637,0.0910443945620244,0.254614438996055,0.849416448082098,0.830557177997104,0.740082421499447
42218,0.52359192217627,0.365087362290432,0.551252801630566,0.881823118759427,0.978185091225268,0.461689708449705
20349,0.645545336964512,0.160378192243077,0.817601946717447,0.845134687971024,0.889292400405471,0.607106655106028
34910,0.50071206701534,0.414733079163722,0.415324238838368,0.920596322268364,0.953561372407387,0.422338572959646
27585,0.892878688407158,0.0509988448546994,0.337003853055334,0.807702987050057,0.828831742518854,0.78019933005009
34072,0.690461313658061,0.296136877680858,0.246612429132647,0.672744559129007,0.99950755832114,0.671224217811081
29223,0.627092361454315,0.304662761187699,0.560541871975182,0.753550081782056,0.899453245311798,0.849044711513001
8769,0.624536136896022,0.356777397578069,0.373597175491563,0.978492915207167,0.690266742095445,0.726613618467178
16921,0.75038255825537,0.239601797953464,0.410249005797523,0.988007333469994,0.512776726175204,0.935998471800393
21207,0.757965163784185,0.0739549074102996,0.866064862286292,0.891430047672853,0.668914519935951,0.931931587619474
1904,0.722284005066129,0.0519964791422536,0.921778628182616,0.81151188604149,0.859563688831996,0.776174440556295
6961,0.807274711528123,0.187315992343137,0.0167554404483913,0.702166715106303,0.917404539140984,0.852016100903682
7901,0.745111878228249,0.267304114466682,0.10269329467212,0.725019316232913,0.856154959862705,0.866580896743403
3425,0.649694723080457,0.301827955949403,0.567857279897137,0.858552774998545,0.722315386343524,0.97651657086512
2091,0.708690194452714,0.318670518048178,0.0806429427628259,0.957441319809495,0.632558851712369,0.894946139213764
26225,0.855882284808012,0.125217372160848,0.113176009514759,0.841192853085442,0.781010098678022,0.8662876526161
