,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H,temperature,density
0,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,241,939.5382873218316
1,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,261,654.6117355356531
2,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,281,25.316696781842857
3,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,301,45.70430899873399
4,0.30021,0.30407999999999996,0.19901,0.2918708791602001,0.2843753915359145,0.04626166737828605,321,77.3299250238495
5,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,241,5.2182781393615105
6,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,261,13.649497797816032
7,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,281,25.65778143207656
8,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,301,46.14458989622152
9,0.30054,0.32999999999999996,0.21169000000000002,0.3036108997098298,0.21694510353485416,0.034514995258939786,321,70.4756728795738
10,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,241,4.898826364136135
11,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,261,12.583674329619488
12,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,281,26.924458046053587
13,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,301,46.20940778315826
14,0.30144,0.27970999999999996,0.18139,0.1696815434680197,0.15907644700126847,0.058859740421344814,321,71.47196861060317
15,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,241,5.058765048587384
16,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,261,13.338895417935287
17,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,281,26.187317693799258
18,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,301,43.02662245985919
19,0.30171,0.26588999999999996,0.26289,0.2612404006156987,0.17343968035784452,0.07556183197948663,321,70.0544761030566
20,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,241,5.324785862819798
21,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,261,13.77890470407007
22,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,281,25.843457510491017
23,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,301,43.748998302448015
24,0.30249,0.34045999999999993,0.21785,0.3649716303445802,0.1883433537538865,0.03378332259012435,321,69.98739924877903
25,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,241,4.989077872592461
26,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,261,12.757119497463098
27,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,281,25.5834265674089
28,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,301,43.63098279118417
29,0.30279999999999996,0.28376,0.25510999999999995,0.1936937101445995,0.2449024824995355,0.08187417164044902,321,67.7058416439176
30,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,241,5.243791528150627
31,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,261,12.31601258710526
32,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,281,24.291429267827368
33,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,301,43.2609539736614
34,0.30337,0.30921,0.19065,0.20569979348288944,0.21166542007237904,0.0742381696059023,321,71.37595220503506
35,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,241,1088.4247044816525
36,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,261,927.6151353973064
37,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,281,45.631087390485725
38,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,301,44.205086920978516
39,0.30390999999999996,0.26907,0.25792,0.4399680788981639,0.32704936849836114,0.03118255883097124,321,77.79803216589885
40,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,241,1059.8597760050834
41,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,261,877.6369228361648
42,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,281,24.196114390262526
43,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,301,48.42560807978716
44,0.30445,0.26041,0.26043,0.39666636004372224,0.3097760733908146,0.02296787023108867,321,76.93237652532598
45,0.30461999999999995,0.30227,0.24218,0.1736059696007571,0.13752120388872235,0.0286815686175657,241,5.436425640707661
46,0.30461999999999995,0.30227,0.24218,0.1736059696007571,0.13752120388872235,0.0286815686175657,261,13.396422617128742
47,0.30461999999999995,0.30227,0.24218,0.1736059696007571,0.13752120388872235,0.0286815686175657,281,25.417400139162694
48,0.30461999999999995,0.30227,0.24218,0.1736059696007571,0.13752120388872235,0.0286815686175657,301,42.45561735179859
49,0.30461999999999995,0.30227,0.24218,0.1736059696007571,0.13752120388872235,0.0286815686175657,321,65.61385450651441
50,0.30523999999999996,0.33671999999999996,0.17427999999999996,0.2209318881336838,0.12488322142736455,0.03673661954425217,241,5.474318880164605
51,0.30523999999999996,0.33671999999999996,0.17427999999999996,0.2209318881336838,0.12488322142736455,0.03673661954425217,261,13.877993955197782
52,0.30523999999999996,0.33671999999999996,0.17427999999999996,0.2209318881336838,0.12488322142736455,0.03673661954425217,281,26.034240735023857
53,0.30523999999999996,0.33671999999999996,0.17427999999999996,0.2209318881336838,0.12488322142736455,0.03673661954425217,301,44.1005014168692
54,0.30523999999999996,0.33671999999999996,0.17427999999999996,0.2209318881336838,0.12488322142736455,0.03673661954425217,321,64.04794185541199
55,0.30591999999999997,0.25192,0.18638999999999997,0.25857977272909705,0.1394335301822173,0.025588588699391287,241,1216.889047196866
56,0.30591999999999997,0.25192,0.18638999999999997,0.25857977272909705,0.1394335301822173,0.025588588699391287,261,10.538331708227535
57,0.30591999999999997,0.25192,0.18638999999999997,0.25857977272909705,0.1394335301822173,0.025588588699391287,281,25.51689179630323
58,0.30591999999999997,0.25192,0.18638999999999997,0.25857977272909705,0.1394335301822173,0.025588588699391287,301,49.588297616289225
59,0.30591999999999997,0.25192,0.18638999999999997,0.25857977272909705,0.1394335301822173,0.025588588699391287,321,77.04274819442351
60,0.3061,0.28739,0.21325000000000002,0.26952160491274624,0.2535703092863549,0.02240248680518582,241,916.698425389955
61,0.3061,0.28739,0.21325000000000002,0.26952160491274624,0.2535703092863549,0.02240248680518582,261,11.348996485306564
62,0.3061,0.28739,0.21325000000000002,0.26952160491274624,0.2535703092863549,0.02240248680518582,281,27.337561008375687
63,0.3061,0.28739,0.21325000000000002,0.26952160491274624,0.2535703092863549,0.02240248680518582,301,48.67561841024246
64,0.3061,0.28739,0.21325000000000002,0.26952160491274624,0.2535703092863549,0.02240248680518582,321,74.28025877685192
65,0.30674,0.30899,0.25594,0.4280617691056216,0.18258558871803768,0.049387905145042967,241,4.986062973381359
66,0.30674,0.30899,0.25594,0.4280617691056216,0.18258558871803768,0.049387905145042967,261,12.844478694681245
67,0.30674,0.30899,0.25594,0.4280617691056216,0.18258558871803768,0.049387905145042967,281,25.832833134713038
68,0.30674,0.30899,0.25594,0.4280617691056216,0.18258558871803768,0.049387905145042967,301,43.222005011616716
69,0.30674,0.30899,0.25594,0.4280617691056216,0.18258558871803768,0.049387905145042967,321,70.33554916148569
70,0.30733,0.32939999999999997,0.23486,0.49231593256705125,0.2629240792001888,0.07473703733464013,241,826.1073084944935
71,0.30733,0.32939999999999997,0.23486,0.49231593256705125,0.2629240792001888,0.07473703733464013,261,735.5934414859908
72,0.30733,0.32939999999999997,0.23486,0.49231593256705125,0.2629240792001888,0.07473703733464013,281,22.598840603447783
73,0.30733,0.32939999999999997,0.23486,0.49231593256705125,0.2629240792001888,0.07473703733464013,301,46.60493673090545
74,0.30733,0.32939999999999997,0.23486,0.49231593256705125,0.2629240792001888,0.07473703733464013,321,77.29589232700425
75,0.30765,0.32464,0.2226,0.43757351380022247,0.16639317368942297,0.04439257628794839,241,5.047035665402474
76,0.30765,0.32464,0.2226,0.43757351380022247,0.16639317368942297,0.04439257628794839,261,12.557642245178263
77,0.30765,0.32464,0.2226,0.43757351380022247,0.16639317368942297,0.04439257628794839,281,25.32961112505348
78,0.30765,0.32464,0.2226,0.43757351380022247,0.16639317368942297,0.04439257628794839,301,46.40597355709486
79,0.30765,0.32464,0.2226,0.43757351380022247,0.16639317368942297,0.04439257628794839,321,70.7296475688663
80,0.30806,0.30849,0.17125999999999997,0.3545619237382513,0.17021782627641283,0.059145757919154496,241,841.6709714836419
81,0.30806,0.30849,0.17125999999999997,0.3545619237382513,0.17021782627641283,0.059145757919154496,261,12.354030836244725
82,0.30806,0.30849,0.17125999999999997,0.3545619237382513,0.17021782627641283,0.059145757919154496,281,26.1984951235338
83,0.30806,0.30849,0.17125999999999997,0.3545619237382513,0.17021782627641283,0.059145757919154496,301,45.82167417897944
84,0.30806,0.30849,0.17125999999999997,0.3545619237382513,0.17021782627641283,0.059145757919154496,321,71.49168593387331
85,0.30889999999999995,0.33515,0.22995,0.37441685934201596,0.3324745550483848,0.0384128151128112,241,796.3582480497565
86,0.30889999999999995,0.33515,0.22995,0.37441685934201596,0.3324745550483848,0.0384128151128112,261,665.0577638693018
87,0.30889999999999995,0.33515,0.22995,0.37441685934201596,0.3324745550483848,0.0384128151128112,281,24.229672050151812
88,0.30889999999999995,0.33515,0.22995,0.37441685934201596,0.3324745550483848,0.0384128151128112,301,46.539811921698586
89,0.30889999999999995,0.33515,0.22995,0.37441685934201596,0.3324745550483848,0.0384128151128112,321,73.37450143044279
90,0.30939,0.3164,0.23797,0.18398241835850354,0.14758170308493482,0.08104937699560252,241,5.538692044184502
91,0.30939,0.3164,0.23797,0.18398241835850354,0.14758170308493482,0.08104937699560252,261,13.378062585056812
92,0.30939,0.3164,0.23797,0.18398241835850354,0.14758170308493482,0.08104937699560252,281,25.693014050526777
93,0.30939,0.3164,0.23797,0.18398241835850354,0.14758170308493482,0.08104937699560252,301,42.793618431885015
94,0.30939,0.3164,0.23797,0.18398241835850354,0.14758170308493482,0.08104937699560252,321,67.51164203230118
95,0.30966999999999995,0.32396,0.21589,0.1926627168385414,0.21070925692563158,0.04680044452532287,241,5.094936347832545
96,0.30966999999999995,0.32396,0.21589,0.1926627168385414,0.21070925692563158,0.04680044452532287,261,13.562864254296207
