,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
6873,0.858792442557379,0.15133040920934,0.165497986237664,0.707062830666368,0.951109794147614,0.87074950957927
13816,0.742311779337934,0.0777632724974887,0.906362040917973,0.778179079804925,0.916402941953514,0.68792798831717
4166,0.772743582099058,0.0577565597572963,0.758356906038259,0.753623116072341,0.906915053544649,0.433750739906344
9341,0.630928844718819,0.177130911689512,0.948360686404769,0.892118449912814,0.914202829691408,0.821371398692346
9439,0.732186542522812,0.0868897959994555,0.786233640738904,0.7429592515479,0.984883081004253,0.429313436205356
1610,0.818353842469997,0.0682789558615603,0.79659001053069,0.7523431489716,0.886172888218515,0.708913779439064
89,0.797404791678356,0.146241209781978,0.642046641755095,0.721733211839386,0.905976019956512,0.755268367986315
19542,0.7792939087859,0.111176301541055,0.65702428387735,0.814083425854417,0.777657626980285,0.600733493574415
3047,0.828218045914048,0.0489559682131541,0.549090332291568,0.826731722772536,0.777975821293174,0.420164639875552
16898,0.726429740734998,0.24855369786125,0.207650010343539,0.777365761774439,0.926386761965316,0.510765949678745
20566,0.826210878485687,0.205710254626746,0.374181721890429,0.94462566216462,0.647294815583311,0.981262989032442
3644,0.722016873318179,0.181580001186012,0.632131907119037,0.951845263783707,0.683311337170502,0.536683527603055
19967,0.886532678825252,0.103193714694496,0.392574549188083,0.629861425234106,0.994910937007623,0.870157950416714
11342,0.757546185336737,0.214577521870692,0.0982030529411012,0.92698163408397,0.731836463428028,0.566822767902826
17243,0.773935562290749,0.0640390564739886,0.982860989504756,0.80391148374673,0.898226527106132,0.821370909289963
16404,0.806308123314143,0.206985204573303,0.550733536685514,0.761913477567734,0.849968958447756,0.902970277154156
19070,0.83290937257404,0.115897486369024,0.654226661542053,0.842224299672776,0.711946664071558,0.885835537273423
13466,0.748271273812522,0.192091092549167,0.684178522514483,0.761832247432619,0.902229916561383,0.735878799874326
9105,0.594923852804778,0.395195396570757,0.0127241751034734,0.931229057479777,0.987305521394782,0.367397236308475
11003,0.823414942772763,0.160348464732542,0.382473491478633,0.924203133379476,0.664573376678179,0.813409665109794
11302,0.90534478772523,0.0284640129007958,0.666070954275505,0.83485725005203,0.745467651577874,0.820353978776392
18040,0.784491120397055,0.14725738242762,0.436588287653721,0.97691493044708,0.630278692192213,0.553145379522227
10726,0.882964492850286,0.0826791746573539,0.496958638826573,0.753649053578736,0.848213127540354,0.811427159500653
1200,0.717462532363668,0.161754689048335,0.834817760348705,0.82664129920928,0.876085147885953,0.709307060115522
14325,0.803271820090109,0.144557238634718,0.824751794304549,0.917807209297994,0.710560765298092,0.885718275878229
17880,0.684864398827014,0.197714901894859,0.72251008676897,0.936953211184839,0.722029219486012,0.612277179551581
6681,0.790110978376259,0.221206280038843,0.193551791506743,0.753322024686686,0.991371504924563,0.599325891175043
15466,0.778775214908187,0.256777257329993,0.249754669582299,0.849103848351351,0.742492083259521,0.974652049613538
15718,0.81452387697582,0.140085133909428,0.512899789202869,0.867243322974711,0.709780278479348,0.764414952056086
9235,0.875718171095696,0.05143753647713,0.398248576759678,0.985070993277763,0.601788436205818,0.703469555375643
15788,0.614097751668584,0.214538744820661,0.868567782157451,0.91664407830359,0.90769763366375,0.705176950454145
3749,0.788757643396304,0.120981491724237,0.80579307906872,0.956229987879962,0.685004510028375,0.724751590945661
20596,0.854368553871695,0.0151112890315834,0.584572210778205,0.787664690690088,0.83272562955477,0.432968405839469
18776,0.904470879040185,0.0235135591149401,0.408654854113038,0.981339265142172,0.584326263612468,0.805247827923597
20516,0.785443000036739,0.171721252866503,0.295894996632448,0.815281643718806,0.844014407073981,0.4964812976065
10996,0.696309958968018,0.283431621448821,0.191284031937113,0.846298280640019,0.847415416854788,0.547099793934552
15936,0.874581135160651,0.0930254337619806,0.42009975614576,0.706270471549718,0.841102255935803,0.941035673452484
17911,0.785029140947807,0.248922128060466,0.168442011233022,0.791743634477354,0.811226429277144,0.976843297775847
20488,0.704616811861957,0.150618113947473,0.922662724408371,0.85106567363442,0.846807828468372,0.847507794552283
7918,0.691861610349754,0.285326488873599,0.307901635441486,0.796242898800187,0.893338767909256,0.565438773734292
6386,0.720197640348544,0.231443439080188,0.664308481157694,0.859662791565022,0.778379278510862,0.79989748081885
6214,0.645702589270383,0.324554125031106,0.273303733969906,0.834286116033042,0.991739290156252,0.353801616367419
5729,0.753164397798271,0.135420796269354,0.60795268490475,0.899893720584175,0.695581579390516,0.546258031177847
8736,0.63753216854231,0.194349377235238,0.745788488267821,0.804218315774055,0.964572742909251,0.465630633438304
6109,0.831586098678821,0.0449564338490417,0.660982010532625,0.750569249015246,0.84104209652983,0.554129507478033
9950,0.762936556986991,0.202644948512804,0.503713008824214,0.924865239293531,0.709213290776132,0.61165793563281
14964,0.729079322936319,0.190356955646034,0.489301697984838,0.805786987755232,0.802376607457645,0.525678676025775
9810,0.664484879952909,0.392237257389658,0.137720107839061,0.873484088489633,0.979276215404632,0.664822350912697
11854,0.739419831709185,0.168690905092021,0.688434567078267,0.739890714519764,0.905373556920084,0.65915187451041
19556,0.863908348011498,0.11061234706297,0.48408509792361,0.847093037619704,0.747720923167442,0.764859120478212
12719,0.613140933689533,0.346451305902124,0.295913249056348,0.861459205827899,0.961773981999944,0.382374798127103
9352,0.860710726032907,0.092413749605274,0.40936226261096,0.664274299459865,0.943571685725346,0.710440175509293
1756,0.796451102391833,0.0887414570708145,0.598752036744267,0.809946336759581,0.76291675120036,0.537556982813654
293,0.872147203616069,0.0158627727856593,0.453478551241449,0.70475123736205,0.859387487798259,0.623434428755164
16994,0.730541992522887,0.10968214635346,0.88447341257949,0.765203130470851,0.907748823619271,0.752092510171587
19852,0.748571701196588,0.300075220414329,0.352441898423575,0.729505067197415,0.925017245106342,0.943557830384087
18975,0.757676523000299,0.267191440439265,0.175218847263369,0.977128469725394,0.680823253709087,0.779906351510005
15625,0.636329586177933,0.412612285538561,0.010569418184925,0.925375905542079,0.92218611036665,0.713253665444158
18994,0.713261616740402,0.26323498558282,0.424108098163269,0.997073613716468,0.648343704091204,0.659930921366463
12590,0.668456644811714,0.29316236920368,0.329000064377269,0.780118250534509,0.986397703747864,0.447865957188652
13773,0.756777161419369,0.323094816180187,0.253687768924301,0.864008241741713,0.806165878727366,0.991514159772754
19320,0.818815272320915,0.0958646038589425,0.404380344098429,0.865333027591013,0.717359285956849,0.590726912986394
3680,0.633083077377817,0.221401358116035,0.770669118150727,0.830826322636404,0.990782670699927,0.520578458638334
20299,0.600195150396314,0.334246346797999,0.654841873522558,0.872004306933777,0.969587560273523,0.699358742644832
18899,0.697452716075846,0.322351385387992,0.343683548832226,0.834749931687967,0.823109278170747,0.807317068840252
15681,0.840811496013401,0.0676009419027078,0.244968038481998,0.832258083248591,0.728086341681654,0.645309751457602
83,0.705781896544488,0.264358166576004,0.795116165534627,0.857522507112522,0.850062068865427,0.986018549030079
3395,0.780510587720829,0.0326904016548972,0.952754749398912,0.964748927291891,0.724477859531579,0.563000400043177
4581,0.749894278681468,0.259414624676846,0.155433261103793,0.971582837451406,0.670911186125437,0.778289529056043
4143,0.657926068731905,0.265002605691652,0.818642786948666,0.850508348442319,0.964202925851305,0.862978157100829
6754,0.771788175411224,0.122474790380042,0.796711070257943,0.952805894478702,0.644853331232315,0.810289753763959
12883,0.73533348648991,0.169122111145453,0.729342575569358,0.779464102597321,0.917328613619212,0.65145334171015
1744,0.752201539583363,0.0962957275748141,0.860375383760919,0.859132770678193,0.745076623244059,0.767723903805834
16684,0.632643528070342,0.396881301616455,0.191000200523747,0.890462869634383,0.963632475544932,0.59624372383047
127,0.748627034039946,0.200871025538761,0.734050253388735,0.682601865286265,0.957665124789433,0.971045719475597
19823,0.87126188949148,0.0583437647136268,0.10751057785185,0.847845579866864,0.765240967907918,0.66406907215751
11336,0.850892773779489,0.144998886169056,0.218173231393304,0.887561267493841,0.708760086780766,0.837724245049131
3645,0.782254455883132,0.214711842257968,0.100912546473085,0.803870872057712,0.981769474624583,0.489042729588348
1723,0.59542737877342,0.285739309305456,0.773186178977346,0.947713868608644,0.894908833839949,0.679967278276593
17668,0.744056608170164,0.121063129884931,0.88397910268251,0.787129142342634,0.950978106835347,0.67471315660158
12671,0.754039009057588,0.24102415530301,0.154723614916251,0.880627218181981,0.797059069869522,0.644881351306964
17925,0.774490964284428,0.129146344366795,0.843433530161204,0.796546168682982,0.900158105310056,0.742852899852383
480,0.728324950304709,0.306747044603393,0.353286298736207,0.876155665087071,0.793335738777446,0.798658701004554
8672,0.893730384061089,0.0570248514549143,0.573666774478363,0.704586813106759,0.91130943336251,0.752140448723483
