,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
0,0.627415879738266,0.351559957153431,0.680771099782188,0.743409625886448,0.987736072727134,0.688070440225341
1646,0.676884973385751,0.290526938575929,0.526019662865725,0.953629560953957,0.865619552781472,0.268104564636512
2075,0.740072850326245,0.200322849955406,0.529452595137573,0.797217679319529,0.88119839397028,0.510504676989216
1678,0.809721437800264,0.205460512263331,0.273522760746379,0.716396196103695,0.952422605203818,0.706930667254041
531,0.80243713734384,0.236041282368396,0.419591627566774,0.725021308517575,0.778487591674216,0.895919951911366
582,0.767713889910857,0.100070063501064,0.803040615083606,0.926459525918766,0.57714325096752,0.826857673096975
1110,0.589843277650625,0.393548338154648,0.353020404584185,0.93951153110173,0.796446524299619,0.389722734078299
1189,0.881325428926323,0.0786999827540787,0.529045433780434,0.657979539945042,0.909814899542032,0.907457216677264
12,0.731806734224313,0.205833844347917,0.768240359623358,0.649433927452474,0.982495201692015,0.77857170365984
45,0.551403317551933,0.38145815655678,0.697272920712193,0.990635258174083,0.725204744492529,0.722108504116993
256,0.616295449124901,0.316381931883552,0.559554984362111,0.64372086732801,0.981214166276271,0.944698553474674
1697,0.734770354270657,0.191184584275055,0.72116426619097,0.918867078780333,0.767767578867155,0.394825561249287
2042,0.55556675289847,0.434807916359934,0.158027072810364,0.865017172546019,0.910597207401822,0.461588887748377
1241,0.664814140493502,0.287806031078867,0.463678536904513,0.724280722495578,0.952551029667863,0.704287750858103
1096,0.849251761289974,0.103589216152367,0.600429129683412,0.805290911015328,0.70396103578469,0.820254901781678
2289,0.754129832159165,0.253345746618621,0.209022648679308,0.74506038450462,0.93199745507987,0.597093424756755
3153,0.831624620696198,0.129681032290887,0.369491193001846,0.895776791364593,0.869362469541833,0.347424090410352
881,0.600847125190038,0.147383516137706,0.924723424002805,0.860198095686414,0.820471632595931,0.892486942326694
2205,0.74643067770962,0.0657236227428474,0.832895850658075,0.824428812181154,0.895597344717318,0.585875988526539
1302,0.666652720261288,0.313424316299307,0.433781666646698,0.840842612789064,0.944977345598249,0.270625584600377
1012,0.799839395352548,0.212063874509549,0.274438155943054,0.598410023465663,0.996200924542474,0.946244188233685
2944,0.872088182080557,0.081860180946914,0.433656626713294,0.771244137958182,0.963052235870908,0.519996898038612
942,0.712166660874399,0.255478831478566,0.566393035654932,0.98021616855115,0.602588351869275,0.720238404374548
1601,0.741669329631773,0.240775235365823,0.435293807013355,0.859428373211666,0.732995863782667,0.60863565332074
32,0.573338974097288,0.346724190715635,0.769857761688269,0.877333532857959,0.930608808383579,0.591929049991505
