,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H,sim_liq_density_241K,sim_liq_density_261K,sim_liq_density_281K,sim_liq_density_301K,sim_liq_density_321K,sim_vap_density_241K,sim_vap_density_261K,sim_vap_density_281K,sim_vap_density_301K,sim_vap_density_321K,sim_Pvap_241K,sim_Pvap_261K,sim_Pvap_281K,sim_Pvap_301K,sim_Pvap_321K,sim_Hvap_241K,sim_Hvap_261K,sim_Hvap_281K,sim_Hvap_301K,sim_Hvap_321K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
37,0.7121666608743994,0.25547883147856637,0.5663930356549319,0.98021616855115,0.6025883518692752,0.7202384043745479,1160.8515921888886,1100.3749032444446,1032.0591157688891,953.3603236577777,855.7907573722222,7.025938856588888,15.054847826555555,28.85861798211111,52.33146361388889,91.01655751211109,2.5122364040888887,5.5335560377999995,10.591231078111113,18.552056934722227,30.12180660807778,359.4356219514324,333.898057769506,303.5612332265041,265.9282505156566,219.7747474003334,351.90237952155326,431.8486830734444,23.740626083740608,0.7609400408251793,0.024240506861477332,4.349981342189238,0.30512313583138034,4.3793224458809,0.4858778276862841,1.3435032231742652,1.0869592487988122,0.6255885312404385,0.15721631465866928,0.4869467961923622,True
44,0.7504098301956715,0.09417631020961964,0.8589282780769061,0.8160833172810542,0.8870715613765249,0.6033390146519739,1158.1799898555555,1096.396895388889,1026.5657160188887,949.966274701111,846.22430861,7.237504445255556,15.524699293,29.559448712444446,54.783426838000004,94.08135934933331,2.5795602541111107,5.678919445744443,10.8010327951,19.339600460644444,30.72414304051111,358.1649288303009,331.9185107706269,301.3882390815261,263.6477103702447,215.58864162633677,350.27897204952376,431.3124862217727,5.333218255435876,2.6302480256422536,0.36739033064144166,0.9239373715686797,1.1471008707013863,2.422649358568347,0.1942340910140103,3.748524887953958,3.764143727445142,0.27940430479977596,0.30483220449018467,0.36217905550422325,True
49,0.7677138899108573,0.10007006350106401,0.8030406150836059,0.926459525918766,0.57714325096752,0.8268576730969749,1158.8628613888886,1099.3600907555553,1030.7346570222223,950.6120133122223,854.9946231277777,7.0902354960555565,15.261634029333337,29.48727845477778,52.826293075999985,94.56063806622221,2.5321386020444447,5.596706426777779,10.747767917444444,18.759725614122218,30.888275283600006,357.9265041117877,332.7098901971704,301.48749720720787,264.85004818191146,216.69096714638553,351.3712211101944,433.67785045758296,11.650709772296793,1.1593660475648515,0.23107246500648942,0.8155655461924068,0.00045033551788301767,15.380911011643917,0.33049482057652346,2.271083817207214,2.457876601006301,0.2742213532475225,0.006039877670244353,0.9125760798180808,True
51,0.7880306173686366,0.11650739105593805,0.7296913406927469,0.7279700660785341,0.9576646085207341,0.6336202200806018,1160.8472732555556,1098.737593877778,1028.6633251833334,949.1047868744446,855.0233039100002,7.439850764388888,15.52890987188889,29.127533147333324,51.41001472522222,97.31475910255556,2.6493995103444443,5.684760971066668,10.643423930199999,18.316507200211106,31.450028737000007,357.50974850328004,331.7793010717849,301.8106571606005,265.887257453495,214.97969705901528,350.7783876459819,434.1333226974208,9.916893518047868,4.34510411758309,0.45273950956432935,1.3818459830831136,0.3267406832661139,19.16095399735551,0.2819818436492094,3.621132973156465,3.4041547469968916,0.3536213284261546,0.1626902957216736,1.0185599962352643,True
52,0.7992316898268061,0.24269848314222991,0.2688617600847056,0.8912043299198998,0.9656215952454064,0.20805275573134202,1152.0711240444443,1091.7264884888891,1025.2442414755556,949.9490991744444,854.1340687022223,7.090793019222223,14.906026102888891,28.91568705377778,52.12363245722222,90.63796932866664,2.533234531966666,5.472341400388888,10.615887107,18.572331741122227,29.868828431966662,355.89896222771,330.84954840483704,301.14617682308517,264.8808381550879,219.39199162730884,352.8505153433138,430.8781107955818,10.493923509012058,1.0126368214346289,0.025856628085120292,6.5785857873545,2.2515462955201113,1.2591326375612613,0.29475487283399476,1.199071831305167,1.0313143953870088,0.774330658257677,0.42707139414082634,0.2611041604030702,True
55,0.8097214378002645,0.205460512263331,0.27352276074637877,0.716396196103695,0.9524226052038182,0.706930667254041,1169.7559991666667,1109.1049394111112,1039.5977565222224,963.2402849622223,865.7582881611112,6.994354963266666,14.769463999666666,28.940166103444447,51.53749930533332,92.05383944799999,2.504421082077778,5.4273169476888885,10.596127307511109,18.47783897632221,30.37987265777778,358.08561856541456,333.03278656947896,302.7336978700229,267.0452622890973,219.57303433003912,352.56936826257123,436.30896612203276,192.97794300937434,0.16514545102390651,0.0430631138861296,4.703917051439257,1.4868589597659279,42.9413649965094,1.3887337715174748,0.8125755373293273,0.8979762156122183,0.6515813475404952,0.3470523018560434,1.524810851281375,True
58,0.8181937185561419,0.1563583795193571,0.5475981793896807,0.6621759927066577,0.997027436778925,0.6717724530165877,1157.9159171333329,1094.5702987666664,1025.933925933333,948.2304165555556,848.84242741,7.2278501489555556,15.312982711888887,29.817062823,54.39151052877778,96.60021405777779,2.5755272833,5.602486913944446,10.891539289944443,19.018595252177782,31.235767961011113,355.9855060085807,330.18150780558386,299.6451665163089,261.49096677318244,213.47947102296507,350.2218016205283,433.28166138366976,1.2573989590059145,4.826385129367941,0.46542605542410537,8.206098813122548,1.2728315834425972,12.430288192300344,0.09681500284867608,4.007911833024278,3.6146083748990407,0.9681288257572427,0.3211038507106054,0.8203867738134628,True
60,0.8245172903613093,0.12307208177803813,0.4601147052962735,0.666116514992824,0.8863135505034287,0.9667923028039079,1180.9155872777776,1119.3254951777776,1049.7478378355554,972.0045988955555,875.9336725633333,6.805875293522223,14.881232486555556,28.290036176999998,51.53565884411111,92.77682297955558,2.4330360133777784,5.46270951608889,10.431286678166668,18.37182638223333,30.453771532155557,360.48336416580804,335.0346247981661,304.866531471576,268.4748690642955,220.99112190615665,352.83907804627603,440.6785090612925,574.1793019516324,0.020935350045589815,0.045941966082027864,11.160159997080987,2.217353427901168,119.30120419401773,2.390008251586637,0.9454510273135196,1.1732886548869914,1.1438009389264272,0.4238161509252899,2.541560574207817,True
63,0.8316246206961982,0.1296810322908873,0.36949119300184563,0.8957767913645931,0.8693624695418329,0.34742409041035205,1173.700305888889,1110.7747697222223,1043.8366621033333,967.995930637778,873.1052733177777,7.279278925111111,14.506921750777778,28.966481672777782,52.53449797344445,93.52423215011112,2.5932316505555555,5.366870172122222,10.620198770688887,18.62076719045556,30.39454260922222,356.2230499279268,332.4219050973795,301.90788847400205,265.8595597690051,218.86864801673795,353.1664742657876,440.3791647001607,338.93944397950986,0.3441766258735165,0.06372319664504264,4.510054396870675,3.2995787582685145,112.85162824674067,1.8429752407964746,1.9252797192255706,1.8562058520656555,0.6368805140887388,0.516998510256888,2.4719060816278806,True
64,0.8321224136788721,0.20288952319167525,0.29230300361623596,0.9404719404747081,0.9862840952650108,0.0912004766249555,1148.8419718666667,1089.4592952000003,1021.8570131222225,945.8349315066665,855.7286545966667,7.1977187838444445,15.328552311666664,28.537732013222225,50.23890395766666,91.99929051311109,2.573771498633333,5.629510759744444,10.483955404122222,18.055972848666663,30.293091422955563,354.033360528624,329.6460913811437,300.2017946807617,265.5066772955086,218.4622784228562,353.15903063121687,430.7327939371781,31.01040849581225,0.5954947784685394,0.03900959739237851,10.662751121607057,3.2725918246808066,0.954126395707924,0.5130614366622778,1.896044510138982,1.7598673290268005,0.9739298606670577,0.5148799291922135,0.22729035480089063,True
68,0.8674926142586872,0.06579283753631565,0.6979519493219175,0.8768085565870289,0.8844300868190078,0.4203393962471859,1149.9859876444443,1088.5892870777775,1020.5077140444445,944.062232961111,856.4291241333334,7.527687513977777,14.464637683222222,28.490637718000002,50.97457279077778,91.52511741166668,2.682030192988889,5.345461054677778,10.485784260288886,18.307470748866667,30.15247641988889,355.7274011219855,331.99199932390576,301.8541963006291,265.84961732344755,219.70751365038683,352.8559849977277,430.56101110104254,36.7448159789339,0.486728041251426,0.013132818363746562,6.586616397242167,2.2679908133808824,0.6480428728017655,0.5893015439615812,2.4035585528474868,1.8791448851936758,0.7709262683078785,0.4286281479230664,0.18731817613775414,True
70,0.8720881820805573,0.08186018094691411,0.43365662671329336,0.7712441379581823,0.963052235870908,0.5199968980386119,1170.0020965333333,1106.4251019777778,1038.995815637778,957.5480443111113,866.6742887277777,7.372179324855557,15.046614178666664,28.54720690888889,50.437547932333345,91.47936047288891,2.6228019502888893,5.5116568328,10.519842482511109,18.10453484855556,30.017829521,355.7405987694633,330.81356586243265,301.5880423003006,266.28719477945486,218.81855048677443,352.4202879332314,434.7057951008907,155.97106068528484,0.6816370196455536,0.012715347028213383,6.345477540500035,1.1455162600207078,24.500471540802103,1.2338112594136665,2.0518901387112756,1.5479418632609292,0.8091270826580949,0.30462158338733003,1.15176870151685,True
71,0.881325428926323,0.0786999827540788,0.5290454337804336,0.6579795399450421,0.909814899542032,0.9074572166772638,1158.830156388889,1099.1183190333334,1031.8414931744444,953.0139534977777,852.9055498800002,6.9827637895444425,15.317490591000002,29.806647661888892,53.57377632377777,93.20254986288887,2.496284692911111,5.6117527454111125,10.881612725622222,18.90338208975556,30.618868820911107,355.40027142799806,330.09043559174125,299.78950624593995,262.67840666268324,216.01326781233914,351.4859025243918,433.02438413250695,13.841307137993443,1.1872134541873245,0.2013782200703292,6.974184092764785,0.01846949613605871,10.682334837623408,0.34861616160952713,2.6765868441975083,2.7742375145071008,0.7614691732798738,0.03868009801957629,0.7605208845267968,True
