temperature,liq_density,vap_density,Pvap,Hvap
215,498.1,8.33,4.47,405.0429
230,475.1,12.26,6.88,382.7911
245,452.2,20.1,11.4,353.9239
260,428.2,31.3,17.5,318.742
275,395.5,52.4,26.5,270.63
