,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,is_pareto
3437,0.47575921773734026,0.6639357495868071,0.5122764336088961,0.967677945361781,149.55643838501794,239.52323118454052,45.76146664677002,1391.132904162787,False
3438,0.6132244624076634,0.7263144345475883,0.5607124192065683,0.9221640103582007,149.56022776128734,162.04104280394077,20.169606430615012,5493.008587812005,False
3439,0.6307741882202221,0.7337114056639173,0.7564699463542705,0.5048452580739272,149.561440618557,163.5613218421132,19.529849598382462,4807.982074287909,False
3440,0.4352059617860663,0.7932540088292549,0.7756800383520893,0.7365714908893366,149.6047973447051,7.958393301518131,0.05001830328202471,828.6079694982536,False
3441,0.500278030164081,0.6221208692723503,0.5395978927366883,0.8449004862648513,149.61056556365332,260.83795852438936,51.36301995249389,1478.211786699468,False
3442,0.622397461551133,0.5924638838067052,0.7431048193580632,0.3311617311635851,149.67118043865773,26.119890105739,10.2332203232359,100.41476712766428,False
3443,0.4853423929127504,0.7117183280251795,0.9127156582657626,0.22803889028862045,149.7127059225848,180.59051395400007,41.21452782973559,1729.0910786857537,False
3444,0.7611431342911901,0.40436108313406816,0.813676401129941,0.16443929060489423,149.73057028573135,13.432309963192656,1.9156518119826345,210.75296434098664,False
3445,0.5237153642483868,0.6662989653178213,0.9977622084831742,0.06367107331468484,149.73677296568695,117.95380244085159,29.92158242259301,937.4904407397513,False
3446,0.8666566714681903,0.528435440716538,0.6795569093711247,0.4235789445579644,149.78069424067075,162.9936313241804,18.27928449321966,2402.455805937546,False
3447,0.7935444116252854,0.6196924692380695,0.6085379174526636,0.5172990708003614,149.80301178989754,57.24120183587231,4.38863973033817,882.0945076457035,False
3448,0.5512955332796443,0.7606538617702243,0.6838125438215277,0.7856393460628562,149.87214861698894,181.859420153904,22.47515593431383,6061.03436626598,False
3449,0.33400017418688516,0.8119221506107769,0.8672614680279219,0.8271040699950882,149.90773478983903,9.197575279775814,0.08935750740208911,1034.1440727530635,False
3450,0.5419724716141282,0.6275196388022093,0.8981633541579666,0.10776380139684136,150.29112974419007,227.03852381063524,54.25001919799631,2954.34137691808,False
3451,0.74152442649211,0.5744409890377532,0.461208467025963,0.7736200213923228,150.304293113139,31.791370748431223,11.528497468555567,506.6691025357959,False
3452,0.5374448157381967,0.644413568857706,0.9737189492511431,0.04869509526994511,150.4297534501823,153.09752096101073,38.355424644330135,1655.7472253894007,False
3453,0.8178398501246633,0.5367585547009668,0.8082445516993599,0.14975275192267185,150.46720648178524,55.53033226877774,1.907205195904318,162.01925911912468,False
3454,0.876993489023695,0.5626811418588615,0.4431710006654395,0.9716343508454286,150.50347407233343,203.64121078415383,24.53402583665651,3695.9094066050193,False
3455,0.7748623823771237,0.639083918028797,0.5121172145496733,0.8262687935937317,150.51510328052507,176.0456498687544,22.036076349438986,4399.365293752839,False
3456,0.8472392597904984,0.5562950925251426,0.6558102976884197,0.48348010856072354,150.56086657964073,184.61429921547946,23.02925835877452,3435.8622541271084,False
3457,0.9321912608469979,0.29960206503352205,0.6172742259127049,0.696071572510399,150.57345884474202,92.97267217405155,4.0634076745347745,459.93421287339095,False
3458,0.8169045077153211,0.6253764065470645,0.6415648610748299,0.5002945988821739,150.66559420399494,168.02909331837486,21.349596929186866,3228.8463285563626,False
3459,0.8943682432805872,0.4179535489600065,0.48803394288932256,0.8115840774185641,150.67289256884422,21.770490856358567,0.4976459796865654,68.43018384340152,False
3460,0.48674778156701776,0.6927080226084693,0.5693762251081752,0.854610701952489,150.67561639996703,127.11623209066786,27.45812247842204,714.0409517703929,False
3461,0.3452168095607986,0.8435272054519412,0.8597984500783218,0.9920727453624776,150.7799808158132,305.0110947324041,34.897217014435526,7753.538421719476,False
3462,0.7035373057364835,0.4033032149956341,0.5225325709845587,0.6744134852697026,150.78170852227157,191.9404724802589,52.47466967010273,3085.870785235796,False
3463,0.7608699851848962,0.5792881651281926,0.7040482869655837,0.2870734028874609,150.8090549423515,11.62252071448258,2.1796922053423256,137.74655477678294,False
3464,0.6025952526745847,0.5516962264461185,0.62357076738663,0.48300724655140687,150.81697152597536,222.08993092624368,52.85281198303014,2520.426400946582,False
3465,0.7683241003600035,0.5732825231031412,0.5072805233348223,0.8132055396994731,150.8184601330588,65.25923209389582,5.591536672628926,1995.0965715996003,False
3466,0.6724959257637515,0.5143438975749526,0.6839783458693276,0.36584091497464377,151.01647353452572,46.76681803676769,16.292849298892968,519.5400442038924,False
3467,0.7891439944020924,0.5480986852255804,0.717014216582346,0.26297791941206006,151.17388812781957,15.256056013759798,1.0605075312304284,104.39101256949039,False
3468,0.5945741402768177,0.6638018360983468,0.4867871643552477,0.8720517787575806,151.19026802209683,62.61715633234887,16.700047512960076,421.4663590847352,False
3469,0.8711390631186714,0.4933485218188676,0.7197527320914299,0.3660880643706324,151.2264395216828,172.52762235410688,18.315932956085046,2310.031206126474,False
3470,0.7554309115508318,0.6896667918531695,0.6293404375424796,0.5897699056872291,151.31074562405428,207.927269409262,27.814806273060334,4753.581758706772,False
3471,0.7168268272452002,0.7159990126530739,0.5709347507439922,0.7393060324049994,151.33926327300028,179.47907460480974,22.55448554704723,4258.1726347730055,False
3472,0.5793544751571335,0.8046348239464199,0.8537319803011885,0.43391213241528265,151.36752527665837,129.51086446002446,13.170835167484972,3126.2193361350446,False
3473,0.6921290097515689,0.6627945586867233,0.7869833378779063,0.21873118036997105,151.3800965882245,9.866747618621925,2.0742603124608694,52.33525705604349,False
3474,0.8273317302098756,0.586592193141705,0.5247331059619773,0.7688010200364626,151.40162813414,176.69862002588067,21.693029049405773,3864.518182213347,False
3475,0.8618034810421271,0.50280046767999,0.5846647287155299,0.6391822665669374,151.45478993977122,146.70855164011996,15.959483006395953,2704.355337174983,False
3476,0.7575834975716575,0.471555377903413,0.9061929981694915,0.04340206588904789,151.48037510117302,34.10201874849837,0.5112969723622847,145.47302237989683,False
3477,0.30293306578009976,0.7872341011314586,0.8957235707023796,0.7636570480823367,151.4840400291818,24.913663955539818,8.57160770442669,270.86336764550276,False
3478,0.6449192521638895,0.6182531853129213,0.8824508512609004,0.14074204385048383,151.59223081601903,2.7759746902758105,1.179881946908227,51.364214802391814,True
