,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
388359,0.7227087570955607,0.13514091160773942,0.9979446327003756,0.12909502340611897
343893,0.7210965749578425,0.16838579750210836,0.9774321722964362,0.12554115525326576
52600,0.7008128236060223,0.06036135710178145,0.9855779559248723,0.22216304155779926
104827,0.7652682156245537,0.3863184133641494,0.8593203314334746,0.18139015134486672
190755,0.7407024882610568,0.005465671187471092,0.7465900079587445,0.7883508270127698
29611,0.7868739816820762,0.4469088131390888,0.42676917366138656,0.9667949181377359
248532,0.7449864814801938,0.21925232114080973,0.9238273740914019,0.1762756460298114
90068,0.7871687894464887,0.5030182075153556,0.46797556892656905,0.8297838342902729
27931,0.6830017251021844,0.6072557993525397,0.44094713518233425,0.9666435947528885
293413,0.6933453562650576,0.5163826095272209,0.43514017195471444,0.9082167239644253
17728,0.7737105339050897,0.49776787937556827,0.4237777961141259,0.947429974198766
122851,0.7096870635205065,0.5376467884747046,0.5420938440456113,0.6498385008296269
113057,0.7105391597817041,0.05186531874958442,0.9697525015583273,0.2561808459552485
359125,0.45731059576821737,0.7026452333459652,0.5748895149129889,0.9565026286889033
319909,0.8024264806429076,0.25722789702429366,0.8325969977660336,0.3365124604532142
43809,0.8039998483864274,0.48133246599050156,0.43538841484474183,0.9497159200507584
149944,0.7846618028913053,0.30676148713447754,0.6650217284989159,0.5435468975056139
225236,0.7794865879629239,0.279316792696169,0.5315897317091055,0.8525021270709474
11247,0.7467451312072404,0.2738603659443476,0.9371461465425027,0.11842535105183137
8348,0.748366588816359,0.21941151112471843,0.98799294207208,0.09396974174864665
230538,0.7616417235446136,0.48863461842703826,0.7920781332241391,0.24457872383256912
156588,0.7147706819642278,0.5450132967199789,0.5938401440487294,0.5554738004225218
416488,0.7638137743714568,0.42331775644618064,0.8221729872073553,0.22068054899305842
126942,0.7175950594937319,0.11687775249044008,0.9404186311678712,0.23066955604929693
366807,0.4451102921312472,0.7221262740610642,0.5899833850444576,0.9834615185292273
349000,0.670450735162153,0.6019151135053429,0.5796225694796735,0.6215584175585508
310780,0.7141657524053683,0.5505855041975938,0.5951842942478798,0.5589050165184156
39231,0.7851724804783743,0.2603782016275059,0.5095028602319671,0.9701569227720467
6440,0.7551578865796411,0.510831667509974,0.5665894560815536,0.5924994967702577
400661,0.7724422284112621,0.5451857626771625,0.43102838571237007,0.9508161091681525
59658,0.6979737114497381,0.5944258282338821,0.6377539341784666,0.4886313024156441
268245,0.7824550960447951,0.20985311848413904,0.5295405348638283,0.972952860272004
136490,0.5076276403042381,0.7103509142519795,0.5627275608156777,0.9179463062394935
152585,0.8198795403989876,0.4621460693945064,0.43812377378720097,0.9761537656089624
267769,0.7740365662183335,0.399868500103227,0.4500207553648623,0.9147750146937922
130843,0.6496946733250418,0.6078704470420034,0.4860022604620023,0.8495179766522042
88663,0.7326400958202008,0.18587893313408216,0.9946046392517393,0.10761464134625842
45687,0.5863630321987504,0.6573816604463864,0.5705219265333846,0.74025500269597
165304,0.5520542199219342,0.7036955322053126,0.5474217486689699,0.9001199053579045
132931,0.7627457374039506,0.16294636597107084,0.8474802719130432,0.36067503770129367
4842,0.7319261955151044,0.4938020957884224,0.5349780856089026,0.6649285527054397
177063,0.711022438809969,0.5430622332680257,0.46333413246512545,0.8166789154099316
320681,0.6822201149866536,0.5216838179146193,0.4226111466270803,0.9421852421163043
347513,0.7557015674149806,0.46985802040810776,0.4468357443197829,0.8698967548786257
52473,0.7807709888603144,0.28604285221182607,0.5773620498093275,0.7335720021688821
233234,0.759951481662168,0.25789342435076384,0.9272568979587519,0.16739830584301338
264982,0.7739691574233879,0.5341994683769781,0.5286344456477626,0.6770187657632989
76536,0.777349625083505,0.3501527763982811,0.514239511831347,0.8191238824512155
52749,0.7296637204265358,0.5396388512410137,0.4826170639584391,0.8097579959156356
372180,0.7003874903067877,0.08948376267689608,0.9787006989774879,0.18563096134228285
4603,0.5465858363034761,0.6770051017807983,0.6287608741146311,0.6721667793815548
336407,0.8084336504124461,0.49118660955599447,0.44475433751261734,0.9312243132962573
378846,0.7868990060785466,0.2305091018188575,0.5307212384051243,0.9295229067272542
124016,0.7893925103046651,0.2514349102769075,0.8360192338436513,0.33493488249065423
57936,0.7540344274772528,0.15881053497264022,0.8971928417381764,0.30440791896951813
181759,0.4953233310957079,0.6956065664111889,0.6117851379083304,0.8029681932523863
360251,0.6901346808348331,0.5773972902212868,0.47968103105017007,0.7920172903990749
409371,0.7733274861552751,0.4158561580699631,0.6169347522830788,0.532821190937946
315711,0.6240487250881575,0.5994913293319659,0.47300354701456593,0.8595002584401105
168347,0.7082498791035474,0.4943847181516847,0.44437950361473655,0.883963215679473
258990,0.7457805784734921,0.1912864055885355,0.8674646217624865,0.2849203538795631
343102,0.7341742089445,0.10964154565530675,0.9739543616660786,0.20589660275457272
33049,0.7683393978309755,0.32784189253046286,0.472860157608721,0.942627957232072
31167,0.543329081346368,0.6748941590864185,0.5575657916121495,0.8383209295275112
283762,0.7943350609257935,0.3667668890123882,0.651051541841183,0.5089183958428861
64525,0.6636078881748191,0.6020262797704038,0.49449438574389004,0.8191511505588297
328212,0.8050985210972048,0.2247192079337785,0.7137659051833734,0.551538757455852
394879,0.7175820712859088,0.48330089204116633,0.46061109904239556,0.8319719327649924
235380,0.7784894804421247,0.2274157841234223,0.7326033042906442,0.5083875014939406
123292,0.7750044815153085,0.27267010613881265,0.5060993104319881,0.9197068748109634
309700,0.589005757914801,0.6289198199479027,0.48847759860649576,0.897105135080862
405445,0.6478112277781773,0.6154692480715497,0.5160331638922577,0.7837312628709853
144498,0.6589384354069033,0.6085396315604401,0.6172027736044228,0.546375524517279
197035,0.7847652312277024,0.42895712355303317,0.8530492903922492,0.18642986458375177
54650,0.7757806597602603,0.45782138020940055,0.4366763778087187,0.9768007621756636
229313,0.7829587968619414,0.33817209478167426,0.7574464460298574,0.3727890758604128
38094,0.7421973408707454,0.5554272062531089,0.4736953883211827,0.796255659324038
170709,0.5660445045928485,0.67179948650994,0.5142029215548674,0.8837480585502457
341501,0.7896317271801769,0.45698707014138723,0.4634659950114173,0.8489019682948717
337065,0.4525290471808744,0.7070510901324126,0.6443831831096932,0.812047887626019
177626,0.6935511775485643,0.022026714130710476,0.9411799819087855,0.3259468739658652
343179,0.788928979708592,0.38725622582564867,0.871701879593703,0.18121649961926545
247815,0.5618561912711517,0.649319786200422,0.4780827867833768,0.9891357950879484
1716,0.7443077452213687,0.5862286158235972,0.4311702026110958,0.9549417437641672
73608,0.7931900915984162,0.32138454969548985,0.5685435711441672,0.7048109208466576
324585,0.7637094172319295,0.4218561384458702,0.7677570194669309,0.29995279299288174
9417,0.7396282656384582,0.22744892752379237,0.9047950097325316,0.19759936999053448
42149,0.7075807993847298,0.47763675209596856,0.4231327316230665,0.9391411877443823
356045,0.4323571414160867,0.7176557822916575,0.6639098121853775,0.8275630934782765
39992,0.7307733359090476,0.5350237318220202,0.8574719251013762,0.1502117152731445
32632,0.7749665279921665,0.21553611332022624,0.605557616479019,0.7546441833691769
347669,0.76190927086531,0.405882996062573,0.830040133006674,0.2182718540802277
181639,0.5129842775142512,0.6647865536974721,0.5285018585442519,0.9153642953189662
155946,0.7022055228108983,0.10323410508469504,0.9810104539414328,0.16344210802108278
35552,0.6097067375474581,0.6805231103818105,0.4773441531145854,0.996775759868985
405106,0.7785223289710188,0.32475986707041526,0.5870842422341659,0.6558408605601939
393053,0.7516225653425525,0.19068586195225704,0.8850599411635064,0.2595608735482774
394710,0.7652502764816074,0.4467432775237832,0.8658564338544781,0.16240377828828684
414331,0.6765900055417181,0.6239395190789098,0.4968214661431698,0.8303358410881445
23453,0.44805361858910114,0.71057575982754,0.6814807601889611,0.7469995899003166
55810,0.7874585321080808,0.3628382327447273,0.8876110439133255,0.165958516835277
293564,0.7273932772061155,0.08474387023464627,0.9824359268031904,0.23955946351452478
341650,0.5772947338446283,0.7003726137022905,0.5305110969700024,0.9106806601542098
315633,0.5041693181172672,0.6964464492312458,0.6737820974297379,0.6501035774754844
5858,0.7524234691965277,0.5607044461283779,0.45385662960447404,0.8965025284470689
405153,0.6754986127025265,0.6085781291423438,0.5942745965076188,0.5739373205846885
321124,0.5440805024505082,0.6464383219574537,0.5083423726218932,0.9025915235436216
163767,0.7711883588102569,0.5413652827897749,0.5197160207523457,0.6935144387614045
141668,0.40874397225863407,0.7135791668407021,0.649027924078509,0.8891476831133873
63104,0.7369160360250271,0.1032248544314261,0.9361029278170155,0.29770483896339983
170850,0.7026177891631159,0.5442435150884236,0.4574745820210021,0.8767716114641422
162737,0.7481117312429776,0.0025874542166413154,0.9106715316865708,0.5273453486801299
46035,0.6414568446420319,0.5585551285962452,0.4206170781564775,0.9860072065941874
307955,0.6062220570422356,0.6228099953543859,0.525400243390192,0.784254762438744
98646,0.7949409788531122,0.4012343172876636,0.8594403682291312,0.19700869131976737
133994,0.565617770062035,0.6613359975150988,0.5995068343923663,0.6998321530129963
236168,0.762290741987005,0.06390214281349993,0.8821056075046422,0.48588905008119554
3125,0.7386882911290694,0.4697359938454484,0.968566178579886,0.003485200959148592
118452,0.7475555538769358,0.27975834397560895,0.929555986353,0.13760826856579567
402946,0.7713175589795255,0.27238498198146177,0.47873792736461246,0.9954628897271391
270646,0.7478035382971224,0.2051985132066018,0.8526094626137762,0.29168922360832855
411055,0.8018998787305361,0.20000042288640338,0.8505239656142607,0.379556751276359
2295,0.7171404654646033,0.17227490938753107,0.9533243273877093,0.15562769008777533
184743,0.7674929454072243,0.5194145298911813,0.5778511990396231,0.5709797840605245
259577,0.7094377669123898,0.537658054357419,0.5797417817181924,0.5719197983211664
263152,0.4724688467185781,0.6999940035830896,0.6101967079073966,0.8244727589949679
225570,0.6498604063123622,0.6057568211337394,0.5826725713985909,0.6243735869321146
289603,0.7489258815547333,0.4460439847716887,0.5577843226359538,0.6300594325077405
130993,0.786221613956906,0.516295514609235,0.4352708816870936,0.9650664297498142
301032,0.738573893351705,0.03717368022031492,0.8616707784231746,0.5268855087354972
98660,0.7823447075512965,0.41899015161207365,0.5209019597996828,0.7181003026531162
151150,0.7208170662498639,0.22162123845111753,0.9634160942551933,0.10231536298018927
162526,0.6216195161249136,0.6456082388860463,0.4971237863442676,0.8861751108053886
256655,0.8053242954751063,0.23489107762420833,0.8340899927631026,0.35401262060108957
150610,0.7738307960946853,0.19223151921574058,0.5560654980870663,0.9102430723555284
241993,0.747337006073418,0.03975632731085742,0.8401747931634467,0.57754770887715
234222,0.7291838557599134,0.11819663702900542,0.9590113622420983,0.20577413802850106
119016,0.6189107152293304,0.6439122856186503,0.49706509201375604,0.8859222883776687
206462,0.6953436230122835,0.5720115701437456,0.6711034483740559,0.42705158491761597
364688,0.7403234032160109,0.08464054586680383,0.7994627192249625,0.5195107785275167
193990,0.7727442521360421,0.2682092772007318,0.7195752065057097,0.46043050090337784
327941,0.4980794139144443,0.6851918907206124,0.5866110253886326,0.8419988724393296
237550,0.6280264325590756,0.5688467504250955,0.42053175695899886,0.98105540158673
130105,0.6081542700428,0.6213662457786803,0.4936539837642123,0.8294119797567348
342682,0.7581878672895677,0.3780727026101343,0.8009929838012692,0.25612917447830186
391214,0.7587610024201358,0.18294199137501152,0.7764985073140953,0.46233543917698094
314894,0.7723315341404234,0.541712969932152,0.5077967309576192,0.7191392889350906
343569,0.790023117190592,0.17197388094052998,0.6649086773888969,0.6999982598232912
397417,0.6552211944491488,0.6685817085808443,0.507554862625678,0.8394201905464823
348140,0.7541968901902327,0.31190624728174504,0.8316662613295481,0.2472837887572989
12118,0.6992829983438494,0.5731225946378055,0.8295116117399752,0.19681042331402968
10134,0.5973857240305851,0.664558136869301,0.6576542260231512,0.5462446115219393
103563,0.7007998085952712,0.5652377195828052,0.40800776921568027,0.9808788323872241
321067,0.7773973042866879,0.2763469118938531,0.5460214537168593,0.827345516632862
204439,0.734855765705169,0.4675963640509797,0.4603004016538287,0.8661887097877369
17768,0.7421430918442067,0.5279720187447425,0.4678344133024133,0.7993092843125903
285346,0.494207147457391,0.7166509651703119,0.791970564710638,0.4793002230171026
381705,0.7461197262222828,0.541582153156383,0.8902542013188792,0.11530504600142809
16462,0.49806419939727203,0.6908310602833323,0.6705986940384265,0.666767454698845
27081,0.7626086116762256,0.5601450175611812,0.5396482257342913,0.651526706150773
79221,0.4027027210967875,0.7383117774214558,0.7418824190343993,0.7618758312607499
300316,0.7445934774967716,0.06476090093451993,0.722429041093048,0.7116622100534401
276827,0.7719961113563646,0.257399322786844,0.6602730833677227,0.581692829162829
187233,0.8081396870037643,0.38224011982941275,0.5132254010450922,0.7835156296003744
401879,0.6478521132226621,0.6485513030631331,0.5188229460428909,0.7729084069719812
317412,0.5830522661149138,0.6343809524342646,0.46467074052685126,0.9904790062091037
347736,0.7454059698530915,0.062078343685209064,0.8604650252789336,0.4574610212241001
98015,0.747637157213599,0.13673552351402884,0.7713337678485509,0.5121191027259795
313433,0.7747082068796004,0.11487204817926079,0.6724603907028092,0.7649890141151071
135675,0.7261312914530336,0.2595076128050468,0.9959097241328255,0.024198573134993726
334576,0.7291190219682235,0.2389477881561448,0.9403266398384814,0.1197005649966809
327013,0.6893565503989385,0.5789133208341453,0.5970179224363372,0.5761010607751983
166997,0.6719051095336463,0.5249962232250376,0.4255687925306793,0.9487935667085846
279589,0.7466245330581741,0.4428570731264701,0.9360769336946975,0.06080845187939846
69065,0.7020452560337601,0.6032130386391024,0.9172766656685278,0.08372858809727575
400111,0.6314155587318163,0.6551897321102955,0.8548827262809122,0.2107864212272016
130589,0.6552784848310439,0.661286885897426,0.47091480362298266,0.9174509842386195
185069,0.7089612302874488,0.5858706403807984,0.8400637530945655,0.17734140510568894
88422,0.4930997513990466,0.7301447687965021,0.5910765454209878,0.9150145893894254
324939,0.775243484741886,0.461097041435186,0.8988885684587627,0.11123769248699213
182140,0.7853299924132018,0.35101446789733853,0.7817605169772022,0.3356223810365754
46543,0.527022161617985,0.7069833175783757,0.5923572588794305,0.8428939060214329
347509,0.7447812562967321,0.4612945301783752,0.7750740434735208,0.2715859753941565
116120,0.7734742955080675,0.3950386265285528,0.8992164295691721,0.12055979065668808
142773,0.7718990146813561,0.3773372549329046,0.6356121200905488,0.5355558000822376
320178,0.3732091866247722,0.722442357371874,0.7748339995738153,0.6997203935812523
17408,0.6022221714039628,0.6680239411083847,0.5327862223263324,0.8423893047207738
57772,0.3552694513889765,0.733023743929554,0.6674763243059788,0.989565128362933
262825,0.43717483988766415,0.6890687475249313,0.5725814552688244,0.95488585977337
83575,0.700882880915483,0.5447372674198027,0.5285909226122146,0.6665749542179434
368284,0.7397337379969382,0.5521345619994626,0.428735360963389,0.9129716228211908
281919,0.773445502801299,0.29496301269680886,0.6329847466238644,0.5897374926222205
403559,0.40097009325771965,0.7489491359768937,0.6662836790171331,0.9668320167090454
79753,0.43177849101352883,0.7113222842298532,0.6360909147607323,0.8859026255361554
400187,0.7652136495259472,0.4976876575388165,0.5221233597675566,0.678443637618465
392215,0.759648655563899,0.3029569256219773,0.996036195906568,0.02834859316414283
383000,0.7222399116993907,0.6006394044517203,0.5054971211480506,0.7386448789665254
220738,0.7554857941492947,0.45299797434026123,0.6189776937231134,0.5271128038415921
118770,0.7619310128946057,0.34500575716716536,0.7690468449217401,0.3290671447380147
292830,0.7835742765957985,0.41498857461214544,0.46828114662932135,0.9160971000173215
130181,0.7860497381628588,0.20366516857266967,0.8528657889040819,0.36323591431783625
308574,0.6526790248793257,0.5629096642692981,0.4671343752931495,0.8287850744876384
225252,0.6915227013382821,0.4954629601315724,0.4347454073949536,0.9107514177180448
183859,0.7994983056873968,0.2882540258989472,0.618637575460804,0.6381626663636747
366232,0.5822146821395904,0.6907623480958008,0.8849519865241436,0.22478907250424518
217821,0.5628120021573889,0.6677811822917723,0.6499004976921021,0.6139056855285232
379903,0.7727173087178401,0.3580965786053988,0.975350489475159,0.04725889265601784
298967,0.7257950071327338,0.43686924506882574,0.41833433794502833,0.9952060138804814
314536,0.7728387110826541,0.28546449279669345,0.6906395102576838,0.5092647175076112
131648,0.5586696457360062,0.7180333511126681,0.5644241659512232,0.8718533780274694
320617,0.41728923575916016,0.7317534751108972,0.8431185176703466,0.5257514262111087
34648,0.4213545140971963,0.7059242160521917,0.6300790985337961,0.9016451720991221
84712,0.39886716169271014,0.7072815490403653,0.6584759704967356,0.8523202787738368
278984,0.4992566360975386,0.6769873641855644,0.5610819698143417,0.8531703130263436
155827,0.7402767360212419,0.5195110437504797,0.9454648307930206,0.04074431040640684
265547,0.7634617599818514,0.43975014786054567,0.7989374267962663,0.2339763934567444
308689,0.7546431028009793,0.17153526581358977,0.8743976214401806,0.3287792586499562
308681,0.7746332801341664,0.2247758989290881,0.9340255877056045,0.18341208726044478
148105,0.6713511569987153,0.6466178922169528,0.9323891316462583,0.08639704065424125
189154,0.7281935317668916,0.261429389286217,0.9464197576881835,0.10834717460366175
276392,0.5519317129932712,0.6920063813508779,0.5193530599474904,0.974638776572996
289270,0.61800144179925,0.6556659265609998,0.5874876787067762,0.6490012835411832
68143,0.7618091034777787,0.39415029122861683,0.8404318601806919,0.1894666903402091
282363,0.7743097040839075,0.2677770839591585,0.8193631195200707,0.3005763839548779
330426,0.7333975130790225,0.537702223571688,0.4556160077596415,0.8927048934452757
217912,0.6413799770530094,0.611514945015062,0.6077260355641707,0.586650759148023
164455,0.6647584375111779,0.6442594973489603,0.4693409990122961,0.9372234959686002
396766,0.7585030089946445,0.49110360204141856,0.47776617702889157,0.776852004932193
90327,0.8062277760964728,0.29943625013630115,0.4923439864015748,0.9404498734546863
231987,0.7902078066099475,0.35619023076181494,0.4518581418227603,0.9623138308935015
264230,0.808135061689226,0.4022320110188838,0.48304157215643023,0.8419519816814552
8767,0.7248828280216231,0.1195738956477211,0.8783415069480335,0.3391525895668495
4078,0.7412957186409771,0.48185570096277325,0.6574738658478458,0.4338213890736933
220985,0.5726926424479619,0.6755453279250383,0.49492358552275006,0.9903329990131317
334999,0.7416834248069454,0.40310773281902773,0.419474697230926,0.9797119916182939
89266,0.6732233061746636,0.6173684998818698,0.9254451460418069,0.07102942012587052
16803,0.7570705858026963,0.39163556290781065,0.5424072934264682,0.6973256119284537
329207,0.3702670022856142,0.7146469585262138,0.6880676454354714,0.8790401644048957
233529,0.34405780497049315,0.7391119927066319,0.8673835051016805,0.6185228316429687
222912,0.6343446695194355,0.6679246826027756,0.9747840121288038,0.044546216576781844
75404,0.7201149395330166,0.5566319178766324,0.5085883372963291,0.7053804834309042
235419,0.7291358788752745,0.5003696333793687,0.8026761282339685,0.215075082124459
403447,0.37015722799880424,0.732046991704952,0.8479114971015788,0.5764902653818009
122854,0.26649872117073303,0.7375370476770737,0.7848202862528394,0.9584944578150217
153545,0.6508675221429837,0.6646460328441656,0.963875364051965,0.055456588914169255
294332,0.5067180892671673,0.7139221923252483,0.8699820507936229,0.3392006300009879
399051,0.7601313902019249,0.4127221830232059,0.7140581882131333,0.38406218483202126
183180,0.7689819573012553,0.5493539298068352,0.4578842652658406,0.8397111736801508
415116,0.4639190056934612,0.6812302033530967,0.6073308966265618,0.811340411946879
52624,0.6136722011770787,0.6606877912422356,0.9123255042139339,0.13933266393179655
190325,0.712029970170744,0.10850673813561579,0.9646459893029095,0.21476325447121583
305615,0.7538529621678928,0.4837904564299631,0.9572624001889772,0.031784675521417866
127718,0.7593014869800027,0.3736665809604231,0.4807564312323377,0.8754803298350808
115824,0.7784721419649705,0.3532636439630417,0.6610178813408563,0.5175456159924132
247364,0.7127211175286213,0.6010900640688329,0.4908813330545891,0.8244525509895592
416277,0.7642465634885076,0.21149991077559113,0.529668686421681,0.9469186986101275
267276,0.6779446533134894,0.6383508988328548,0.9242868024230451,0.09855750176542485
