,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
7279,0.8045300605499484,0.4268011092483246,0.9401538712519086,0.1585361536204919
5547,0.9951566543020808,0.3329917547691626,0.6824430653294651,0.83871232751244
892,0.6296138724705115,0.6608493895568568,0.5902150180835284,0.7049990885482795
11441,0.9672862005942388,0.2378271986397644,0.744286469907528,0.6690093593577725
8388,0.2807817788935919,0.8022698757775006,0.9634419850989268,0.9427526536298876
3254,0.4174796414117036,0.8090812373713235,0.967772739921472,0.4294453002076631
9519,0.7642424469415081,0.8013517057009656,0.5984796131746808,0.8735242414258552
397,0.8559495250920608,0.1927993162656459,0.6949586161180541,0.7500557983893533
4279,0.7843929539699391,0.0990471814426493,0.7881935843375768,0.6980810243870453
2805,0.7452069511620165,0.575347855816922,0.6858286991083269,0.4668094405647731
2594,0.9119967300033016,0.4747779474832171,0.5990529893547315,0.6848621296008816
7712,0.6404499742806108,0.8356584020322239,0.7666282175003818,0.6459259851614289
8673,0.7159566034940563,0.8277980412910987,0.8589672190687165,0.3798983090117943
11776,0.4220445530283423,0.9044081548910452,0.9209091184169343,0.868809595533787
3975,0.8138836845546358,0.0085855781417289,0.9467241351497916,0.6594556850959765
6780,0.5904293421341907,0.6172783185967735,0.7320311537178109,0.4558189251498182
9452,0.4846594723301884,0.8838743875519605,0.9227631874473838,0.7291816982975746
10823,0.9211946868821954,0.5396027721969271,0.7270545873880828,0.5247604401033565
11225,0.7197620747303857,0.4497471090102817,0.5589590317153339,0.726698335354253
4830,0.4284557042215676,0.8260175459599711,0.789501771463098,0.991149261116936
10581,0.9411007923238076,0.6446403900360197,0.765162367929176,0.4195439788471081
3238,0.8600810001597277,0.028829773433068,0.9031336766662206,0.7838712756534325
4750,0.7181490003414176,0.7841992464749944,0.9067370672623634,0.2445561380665442
1336,0.5670983024288961,0.6610325803921858,0.6688596886050795,0.5945627788896661
7716,0.984158080192582,0.1257929509357866,0.895645282251953,0.8935987315058532
3971,0.4990454888320159,0.8035042512660044,0.6935026898217977,0.8193746782409382
10741,0.8105507867023739,0.7959196488872464,0.8006137504530778,0.4278883983681908
11587,0.8489745301934075,0.7699459162038176,0.5854137230390917,0.6997631930391829
8145,0.489559325895419,0.7812754781155969,0.8884075785780084,0.5613017186186102
7952,0.7554764178546989,0.3405377131195004,0.8854325273089095,0.2326318733903526
2891,0.811031661067467,0.204921533718023,0.9410659854356558,0.299153436428699
4250,0.6715355491520244,0.5851559139261444,0.7682830393992268,0.3450325861412521
6655,0.8474692510492511,0.6745360926956654,0.5475566625208655,0.8090203072398893
6215,0.8787976956876652,0.0645066386826289,0.8989146410372515,0.6184502156653146
3790,0.7326604128355358,0.6996509648889239,0.5248721429423776,0.7401374868215576
2209,0.8696351289335373,0.392967675200058,0.8384587999457404,0.3144213000378575
4247,0.8594884719618728,0.1464886431468151,0.990524400307466,0.3553592212096484
4544,0.6839514357600192,0.7089108287747995,0.5605869759087959,0.8546289618554598
7966,0.8898645599834266,0.4305638413373855,0.9949337463656002,0.0436733589570331
3345,0.8837262737269765,0.2951602529693384,0.5261554911291653,0.9362313030268096
7532,0.875908552909935,0.3288205451090547,0.6781972548683437,0.7167659570642734
11634,0.5414776581827074,0.8935349238819125,0.8626235733687051,0.8506561557990167
9187,0.9742889754616312,0.4193121961728283,0.8161316974506843,0.4639721652457831
5293,0.8609696448401162,0.1055226259808859,0.7451221164131033,0.9879528468270676
10698,0.7176114499709588,0.842616307928178,0.6252738307330022,0.9787549010273952
7916,0.9266838387366716,0.568549521064566,0.5213945541435498,0.7208681467153348
6559,0.9854671552067492,0.4105374632554883,0.6121151584098988,0.7513585348358434
3232,0.6967550698224544,0.7469862853794166,0.6652972256682214,0.56375426729028
3364,0.4993732748448327,0.6930680167680768,0.8459139664181207,0.403908183497179
11527,0.9825543856096806,0.6785146532614805,0.5295119097370102,0.9105441101959966
3373,0.5548615458411162,0.7030899131880094,0.7735827472077026,0.5035475853041397
8490,0.9803180117426942,0.3622414048681053,0.5551221299770648,0.9067113459051088
