temperature,liq_density,vap_density,Pvap,Hvap
210,509.441,6.228,3.346,458.96
230,481.226,12.672,7.073,424.28
250,448.772,23.534,13.208,380.88
270,410.132,41.707,22.506,323.88
290,354.321,76.737,35.899,234.08713
