,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,sim_liq_density_210K,sim_liq_density_230K,sim_liq_density_250K,sim_liq_density_270K,sim_liq_density_290K,sim_vap_density_210K,sim_vap_density_230K,sim_vap_density_250K,sim_vap_density_270K,sim_vap_density_290K,sim_Pvap_210K,sim_Pvap_230K,sim_Pvap_250K,sim_Pvap_270K,sim_Pvap_290K,sim_Hvap_210K,sim_Hvap_230K,sim_Hvap_250K,sim_Hvap_270K,sim_Hvap_290K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
2,0.34730497404893096,0.8012155005079915,0.9860307222299904,0.5832941676183135,508.0131126811111,476.87706265,443.07185518555553,401.76780498,343.0372395911112,5.994183747177777,12.191879125611113,23.810557232666664,42.43607566233333,77.85243251144445,3.2428424113000003,6.841449553488888,13.38084064607778,22.99380211003333,37.10521908142778,487.83344380457515,448.02915152828143,397.88390043374864,335.1352684120315,239.65222419444683,302.6058859903269,203.11212896453745,30.812310398511634,0.17411419682692025,0.9520856609129638,705.733639654239,7.377275313542517,9.411832690230115,1.2640143724064639,2.065059909597027,3.5173884055401214,7.011967039992753,0.8895900097841315,1.4879576270552717,True
5,0.3952153119575731,0.7648644092855482,0.744244741051996,0.8661148519946418,510.01127228333337,480.3949232177778,446.85322828444447,407.2195283666667,351.7278150211111,5.163432121411112,11.67599164767778,22.598170029444447,41.06700503933333,74.70943388722223,2.8162473616999995,6.599099510833334,12.7765601666,22.257408635111112,35.9245392955,496.0929946237233,456.70057701189967,407.040000977081,343.6586017001032,252.48604155648695,304.5954497192126,204.94270354987498,0.5701896484472015,2.0919798859005114,0.21975715747889576,1260.7901269349773,0.5278753105122808,1.5309025054919994,0.1561419792499829,7.001754638876186,5.210182566879338,9.964240685457467,0.23796198137946864,0.6001049811451301,True
10,0.45164161216504417,0.7674043477619554,0.8652025232911681,0.5288229502662214,509.9850475422223,480.5770196877778,446.31993638222224,405.10856167222215,349.2141367755556,5.328529641344445,11.943572264822222,22.498081212,39.91570309133333,73.63064124033332,2.902300507177777,6.726989158166666,12.7997568453,21.91881706061111,35.87639320918222,485.2751248997325,446.6372860687414,399.80599790521785,338.7596708662281,248.0857088327536,304.2957751192315,202.90167257510075,2.9859789261068492,4.024711518422298,0.17124010648409155,768.15886939863,1.0531375059083128,10.747430704846611,0.3724882280241744,6.961688891155111,4.287742799178735,7.912780798394527,0.33611232756515924,1.5900317319329034,True
11,0.48218247106618217,0.7218877202492268,0.6045020965691974,0.9267621473271,513.1753041122223,483.1204368655555,448.67819276,408.5036646755556,353.0391865333333,5.426489165466667,12.00585914322222,22.504384971444445,41.72464021433333,77.01756130700001,2.9559029811,6.747401033966666,12.824622205511112,22.61687400305556,36.68977354068333,490.10950316983974,450.1583532043048,402.48280212115384,337.9842442386546,247.43077079471232,304.05335189096127,206.52157219581423,2.955324831474357,0.49226821159166273,0.570954149834715,898.4198437137542,1.6094680245675608,0.11667156495334978,0.347768944698936,4.807187752369127,4.6365217192280515,8.331850551739493,0.4155115284973687,0.1656669879785735,True
12,0.491740948044866,0.781073819444844,0.9689172082999069,0.3233227065182692,508.5947116266667,479.7937042155556,445.4149588022222,406.8260096166666,357.6539515111112,5.761296985977777,11.920207746166668,22.241624704333333,40.66498620744444,75.97222763022222,3.122120345077778,6.726271454744444,12.65980799581111,22.170568899222225,36.30371347928112,481.7460812357592,445.0730255519742,397.49947518231573,337.8063773533303,250.97329257376543,305.54367194911543,206.92345421487218,10.733875543516135,1.2380099377695777,0.3118213191252769,699.6502228088063,0.049138453024634765,0.5527241696111995,0.6575063585127622,4.866109253660265,3.330866774550033,7.752618878470233,0.07260267819398282,0.36058503000881426,True
13,0.4964931064686602,0.7490156891559013,0.6798746101783335,0.7564764503925574,504.9466750855556,475.46402050666666,442.8490909577778,403.1609266766667,348.830324,5.785808706788889,12.301385030022224,23.326086349666667,42.00735020588889,78.46213755299999,3.1310193239111106,6.896011725866667,13.067089563388889,22.591676475655557,36.54371103629556,485.2239134497751,446.3777926135528,398.5009668119601,335.5386010953941,242.64852445751768,304.061256490312,205.40188254320583,23.642403933731906,0.39608240123878735,0.44333882929432267,678.0724410403648,1.5894741972203759,0.6054667765678388,1.0546873046246403,2.6305112628515084,2.8658146665151216,7.141409185966661,0.4129225898192675,0.3773971562683953,True
14,0.49992368751013716,0.7978139350148882,0.9425984990333325,0.3380059516401878,498.5968612022222,468.6114979866667,434.8785493522223,394.9831531511112,336.5282111277778,6.0763284801,12.323557588444444,23.409902703222222,43.241884332000005,76.48522780566667,3.287534579588889,6.937923484066667,13.169463250944446,23.23910456638889,36.43405771327889,473.1353012140264,435.10566581994647,387.609354596321,325.1004350701724,234.37358888752794,302.48580857773084,199.85516212768246,171.09139494866545,0.40874502039087873,0.5912057469421219,239.63069646875118,8.043981783753198,40.00357411110233,3.0455277129161433,1.9676742685941853,2.4892521414921047,4.083272131709564,0.9289181330756272,3.0676291940622487,True
16,0.5571258754284332,0.6984930386983522,0.5764414004362264,0.848984364999021,513.1334163366666,483.1823307555555,449.1129031811111,410.1061316888889,358.1730570677778,5.474174457722222,11.65076806331111,22.11738908688889,40.02214092788888,73.53982453233334,2.9815792369444445,6.565575633366667,12.568347349455555,22.009178303744445,35.99724402878,486.9773420418038,448.4371726079835,401.5760558768525,341.65521232799733,255.32355452888962,305.64756642449316,206.25453113674612,12.94131576980422,4.3158119097078185,0.24430470876171598,938.4848017669103,0.10599349675726101,0.005554890344668392,0.7389806396652071,7.252475172457496,4.616564459506141,8.99465974703348,0.10663051614137234,0.03614857733345475,True
17,0.5650120324686831,0.7424399466631528,0.9232052052160972,0.23619782143447443,509.1131687844445,480.52798212222217,446.7888712611111,405.74419860888895,348.0140682244445,6.061622485,12.781899807,23.760845073888888,41.643003746333335,72.60260989677778,3.278452353555556,7.153737074522223,13.37595036527778,22.655130300577778,35.751512298858884,469.6525652818128,432.8186098752954,387.7627828117226,328.3546347334475,242.8385404516247,304.4133198909773,202.73070907112665,3.7450384094442213,4.307071248691015,0.16425174860762182,258.07500410159685,0.8256995405335522,11.897607912007997,0.42489447214088216,2.286061437493021,2.1959377115865064,4.784446678692817,0.2976137025902901,1.672951270187871,True
18,0.5747001013096671,0.7334822552287367,0.7986287615538346,0.38875205011920405,504.4098546833334,474.9553776788889,440.7731799922223,398.1463332388889,343.65769576888886,6.468035381644445,12.666639897533331,24.08459391122222,41.49331049433333,77.50350889944444,3.4779791518777774,7.105997967355555,13.51118237627778,22.59226034906667,36.99129719004444,468.2536764343321,432.32583904056054,384.59112312388675,325.4503271884498,234.9014508158054,303.004895267669,202.28048367794995,55.95515202428974,0.14696823135555878,0.7766554254132012,171.9281810402643,5.368974340590797,15.206227545934839,1.7299802149410217,1.5254837112901678,3.3977597754649578,3.6409733943685616,0.7589052647143074,1.891316481739287,True
