,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
48665,0.7782164573413166,0.03818337156767242,0.6729438976102146,0.9758530108121725
1596,0.8214308964976923,0.4072841765303901,0.5086923769519394,0.8251875840683826
42861,0.7994517924621051,0.32587644370857016,0.660101703065069,0.5508734233373184
403,0.7787184759173601,0.4804190840255566,0.5357643134475615,0.6932235396663878
75840,0.7847584505904208,0.0015036340051609734,0.7195871206584391,0.9721642296490168
63136,0.7742002629596478,0.027742631066099085,0.788848298902719,0.7278034306111147
34954,0.8230204933873188,0.27017079401249083,0.6220234177858734,0.6996513081732022
33213,0.8248495972124752,0.27018060372210045,0.6377991464085128,0.6927723693657346
18435,0.7933073530912134,0.04003016024123043,0.7597132444790501,0.8134974841370844
40743,0.7878758741236866,0.19336825138380892,0.6568644540995296,0.7084181074312687
66672,0.8104853864170664,0.12814420025340692,0.6957596327795402,0.7999448369704867
59034,0.7907908605614307,0.22046092585491903,0.6028620733874392,0.78843152221445
22947,0.8295694113784482,0.2798272765952272,0.6320474910795818,0.6969262098845094
12738,0.8150364362596552,0.2171423898957795,0.665008809696,0.7043708020104268
3861,0.8284213399836046,0.2035192480308824,0.6613681524614693,0.7522790934289639
6651,0.8141137347311913,0.43665971485865285,0.6150673047388289,0.5674428961353716
78784,0.8255479865653736,0.19915754926608983,0.6431098661987534,0.7795568124582372
20280,0.832864675640947,0.191847364780534,0.5948457328954835,0.9677831733895893
71510,0.8063282353817491,0.3928568696966821,0.7181489480093532,0.40334849120603106
22068,0.8203673456535873,0.3472173594376973,0.6278737894232265,0.6174810057402194
24897,0.8129034179398623,0.3245812259570205,0.5405930175410647,0.794920271074821
35126,0.8195156560210479,0.32485966161588425,0.6559723133001664,0.5633079593328597
17593,0.7703831074500814,0.06336771517045196,0.6640483912061941,0.925759736590916
18749,0.7785262927240874,0.15189616637140868,0.6371528082483899,0.8035532830610441
62214,0.7905302518895402,0.4030658103626736,0.770748845303636,0.31560224054265507
10876,0.8277577034065233,0.18776565470507803,0.6450751957922879,0.827474154790407
29362,0.8015513115622601,0.44347167635387125,0.7076335761782387,0.40086486785352754
32169,0.7607434413096205,0.5225017544951774,0.6707292087893365,0.42277054836907024
54941,0.7857271828176722,0.4709929325653461,0.6323364795906088,0.49435770733014
23127,0.8100920463734227,0.32339298666166894,0.5703783760547328,0.7562112254504394
11094,0.7936872565207032,0.491734659539247,0.6000942855936755,0.5683950464289835
69373,0.8112659173057873,0.4424714862437329,0.6456004350959589,0.5105511955796739
66582,0.8472027702948478,0.33854847071456723,0.4955954403061738,0.9769089847839122
78158,0.7870471388103931,0.45386131786261186,0.7533462171021578,0.3180941406059107
22919,0.8088258583382943,0.27478261931898285,0.613245058819817,0.6865819083350813
34298,0.7564363658310138,0.5140017253184997,0.6247694783026471,0.5096209262469513
19869,0.7877610865747936,0.09569373223149029,0.8057660106600041,0.5819831202484449
41052,0.8150038453160783,0.18206504843187132,0.5664111410609696,0.9873584088972218
52569,0.8477632124793046,0.33119305911601704,0.51687230163936,0.9251977972480302
41755,0.7664032595592507,0.052711442080030285,0.6746707074582178,0.9188370254817891
73036,0.7895668350401036,0.13383040348761088,0.6550218497505863,0.841004680808172
49861,0.6928745886952303,0.6211531931301076,0.5772962636810672,0.6345170901992685
15227,0.8003591746730263,0.05689352452919822,0.7452440153976125,0.8122084681143819
61723,0.8425375414664169,0.19324962476430158,0.6112987271605039,0.9360342832901811
5668,0.6597122119497151,0.6525283766868556,0.6183355417372953,0.5822748643745105
72383,0.8209630068417108,0.3887418139999539,0.6500601555825223,0.5231924556844851
63498,0.8368740794704818,0.20225952246924525,0.6402477194484836,0.8252990046610446
