,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1
329790,0.7341742089445,0.10964154565530675,0.9739543616660786,0.20589660275457272
333411,0.7584689553881985,0.1464999276546047,0.8866003644528724,0.3055327065202369
373401,0.7227087570955607,0.13514091160773942,0.9979446327003756,0.12909502340611897
130490,0.7261312914530336,0.2595076128050468,0.9959097241328255,0.024198573134993726
225221,0.7291838557599134,0.11819663702900542,0.9590113622420983,0.20577413802850106
256924,0.7844435810563343,0.00013800768828117727,0.8071232602827243,0.8408257737709842
330555,0.7210965749578425,0.16838579750210836,0.9774321722964362,0.12554115525326576
81901,0.7496625331508632,0.12618045869157607,0.917444633608257,0.27267841252918956
100026,0.7436561320318811,0.1521604045307291,0.9211949619516496,0.22811324083875636
321628,0.7291190219682235,0.2389477881561448,0.9403266398384814,0.1197005649966809
394998,0.7595887693246437,0.11298011586857312,0.8487554546148574,0.4347304520873074
175629,0.7237112325741397,0.16363668583949836,0.9770969822219843,0.12017959966910965
330378,0.7281114082515393,0.2845588350268189,0.9077323772411313,0.1130746722708599
85251,0.7326400958202008,0.18587893313408216,0.9946046392517393,0.10761464134625842
241014,0.7808803579833821,0.09246862301806191,0.7674824505491092,0.6582622558947873
108716,0.7105391597817041,0.05186531874958442,0.9697525015583273,0.2561808459552485
160874,0.7511413228162493,0.23493633311106155,0.8107812750699387,0.3111046168928954
106050,0.7387974671793969,0.06278239841915928,0.9057044036896665,0.3942650003741946
323524,0.7462015962358857,0.1946714662961958,0.9584147517813246,0.13027283886760446
166413,0.7206799598418752,0.23428800874666544,0.9255697843928884,0.12183338934528891
233094,0.7375906518135589,0.26415899978556595,0.8304195887332425,0.2492779041856487
74297,0.7494093970837273,0.18041123175107013,0.8171143068488558,0.3666135113257526
304365,0.7446578810748244,0.032281769482472494,0.9222666709821277,0.4356376695595071
145419,0.7208170662498639,0.22162123845111753,0.9634160942551933,0.10231536298018927
68288,0.7181641256825249,0.05516508895437733,0.9259267114175256,0.334082053470568
75967,0.732907650550259,0.11326191010408021,0.8960592111743042,0.3029628256820765
7751,0.7479888714060965,0.20082168013441148,0.9207714219723514,0.17316848677068122
122068,0.7175950594937319,0.11687775249044008,0.9404186311678712,0.23066955604929693
300243,0.7511548234350003,0.018996507741766838,0.8392731447539186,0.6112181772702501
357816,0.7003874903067877,0.08948376267689608,0.9787006989774879,0.18563096134228285
150032,0.7022055228108983,0.10323410508469504,0.9810104539414328,0.16344210802108278
50613,0.7008128236060223,0.06036135710178145,0.9855779559248723,0.22216304155779926
372815,0.7382292476802426,0.14433891340100613,0.9288004089834369,0.2139105097303543
156543,0.7481117312429776,0.0025874542166413154,0.9106715316865708,0.5273453486801299
93064,0.7027061439504299,0.20156071244591686,0.98333627473057,0.07539245737410563
78052,0.7424954784475775,0.11076284231272143,0.9409990073120222,0.24252001374461846
2202,0.7171404654646033,0.17227490938753107,0.9533243273877093,0.15562769008777533
68658,0.731268080814108,0.04130064910754511,0.8718758054862178,0.46757840365173875
232666,0.747337006073418,0.03975632731085742,0.8401747931634467,0.57754770887715
369410,0.7768272926454758,0.022290462671816055,0.7415132415661316,0.9552888984940467
62466,0.7013415483089711,0.2535364522501274,0.9619927761674204,0.05002339505290316
69023,0.7524708873762135,0.14749068933366336,0.8763618802303483,0.3013557697006394
10197,0.7635203581069884,0.035491700370479405,0.780344565420699,0.7398657299351272
400654,0.7229250011039292,0.16178131444533286,0.992987611484734,0.09544421924323408
334266,0.7454059698530915,0.062078343685209064,0.8604650252789336,0.4574610212241001
172889,0.7089820535055894,0.31603982216800464,0.8867785374123761,0.11310337798698503
117863,0.7011046557218618,0.2728212090901251,0.9349361029647689,0.07354104347462004
387897,0.7575601318713853,0.05195636469479839,0.8053886372270324,0.6519173718016937
137538,0.7818515163816663,0.10422808299241067,0.7535840005068554,0.6549508586223813
299306,0.7120392280942717,0.0035789985594898172,0.9083702841984964,0.44947575854044336
231711,0.7664958706205037,0.2826287136141134,0.6930062196833557,0.4778218746720691
45999,0.7647883442404596,0.1352929364777705,0.8613144193944422,0.35376928212865666
289362,0.738573893351705,0.03717368022031492,0.8616707784231746,0.5268855087354972
376136,0.7587610024201358,0.18294199137501152,0.7764985073140953,0.46233543917698094
289441,0.7677945292763271,0.07805840319366111,0.7652966536873078,0.6676980025584464
86212,0.6976543195264222,0.0009400624787754036,0.9467302981840211,0.36604918478664555
344022,0.7128368205931555,0.06099191258422809,0.9587927487618229,0.2516352388468081
124107,0.7543300637729148,0.24455419094599198,0.7918698014303704,0.324464530809214
282200,0.7273932772061155,0.08474387023464627,0.9824359268031904,0.23955946351452478
228942,0.7283561080933303,0.20021168969823358,0.8398975672088451,0.2883487062638247
210133,0.7776187016625548,0.1555490810629856,0.6971535873713886,0.6802441670705263
357581,0.76563716599121,0.08475718137370497,0.7482865518190345,0.6937992228029727
200246,0.7410933556224145,0.006744437803194424,0.8576698354719324,0.5712019297332542
149594,0.7295546905215242,0.015229991482718759,0.9944181759182841,0.2874353644745386
141189,0.7530178587903081,0.2841223749335612,0.7105821305725489,0.4367103528290097
314326,0.7514340090500875,0.22092305326616354,0.8543536242070864,0.24486774286588078
202755,0.7223693280279051,0.1830738995955393,0.8829957068634097,0.24503224998077808
210734,0.6930537243577469,0.26224359111489964,0.9466190797539692,0.0625408146254133
132003,0.7560929685933978,0.23500890549413453,0.724162607008249,0.46744306692750376
284812,0.7203107673767856,0.08647899487161044,0.8894904243880964,0.3333407771783796
153583,0.768503833706031,0.0015674888017877015,0.7546107461096577,0.9257051823072424
394560,0.7654551362133739,0.015353789281743902,0.7630965788030238,0.8433468020329145
266114,0.7719961113563646,0.257399322786844,0.6602730833677227,0.581692829162829
170859,0.6935511775485643,0.022026714130710476,0.9411799819087855,0.3259468739658652
400621,0.7654073654484865,0.21804694405867148,0.7286066764894599,0.4815626650001644
125718,0.6842184877363244,0.29808994702848357,0.9746600721555339,0.008554408500897615
27779,0.7877052968005608,0.14105482061017618,0.6185560251411133,0.9777436902364749
180435,0.7635253562252005,0.010857186345286915,0.8023710971167188,0.7333324039152127
146902,0.7495578920497423,0.01821050872521029,0.7916221164856578,0.7200874913349502
260683,0.7282955162670681,0.19459278277285866,0.8328689216181403,0.2949479549401262
94230,0.747637157213599,0.13673552351402884,0.7713337678485509,0.5121191027259795
261099,0.7422357974428581,0.0006636595896657023,0.9112382285640901,0.5285540871415767
54525,0.7051312996931051,0.3821280335227827,0.8081553172230994,0.18991090112564749
268785,0.6772160552509453,0.03886968999898022,0.9904206819529305,0.21498604897893833
19402,0.7727885733379039,0.04124376648473383,0.7344131905879528,0.861282009962826
197642,0.682264092983823,0.18663204086680285,0.9954981251696687,0.04187439155215431
398509,0.7846655909630532,0.17916439228412723,0.6060205527298403,0.9160015934680725
198943,0.7878758741236866,0.19336825138380892,0.6568644540995296,0.7084181074312687
224594,0.7496759109350511,0.25703587504221764,0.8018900790668825,0.2876740782178718
240068,0.7257472443926538,0.10619807189424098,0.9827051577211885,0.16643417493298596
358787,0.6901236699139146,0.25022105776248743,0.9531037528011447,0.051312076915835315
211325,0.7188743655480521,0.011348141033798187,0.8525213508303919,0.558527341355046
354816,0.7292846599729228,0.23026308471956863,0.8158851302324305,0.28267186049252
183051,0.712029970170744,0.10850673813561579,0.9646459893029095,0.21476325447121583
282812,0.7364727817803819,0.049902497914016415,0.8641506485400593,0.5013219096845211
252421,0.7202303589547384,0.3619958239786223,0.7845518042941269,0.2303528503290165
209401,0.7683638183579967,0.049280833115477485,0.7185893097963427,0.8757000592396456
8419,0.7248828280216231,0.1195738956477211,0.8783415069480335,0.3391525895668495
61290,0.7749836228598762,0.09351391408100623,0.752106892148889,0.6626283509300184
229860,0.7204311545245006,0.021406727207008713,0.9269913284971565,0.36758135153096555
69514,0.7662640673176732,0.28119784225200045,0.6200229430932418,0.6370210705737416
