,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,temperature,density
0,0.3198637227812129,0.25627533300766636,0.5436745754044554,0.08086495932300128,230,498.3981489551643
1,0.3198637227812129,0.25627533300766636,0.5436745754044554,0.08086495932300128,210,531.6887418744913
2,0.3198637227812129,0.25627533300766636,0.5436745754044554,0.08086495932300128,290,63.174293231026034
3,0.3198637227812129,0.25627533300766636,0.5436745754044554,0.08086495932300128,250,452.73539447438634
4,0.3198637227812129,0.25627533300766636,0.5436745754044554,0.08086495932300128,270,388.7201552114316
5,0.3199498026927494,0.258568828417401,0.6069260632730399,0.07107081895092617,210,539.4672438048058
6,0.3199498026927494,0.258568828417401,0.6069260632730399,0.07107081895092617,270,411.9243173553487
7,0.3199498026927494,0.258568828417401,0.6069260632730399,0.07107081895092617,290,65.7780307300398
8,0.3199498026927494,0.258568828417401,0.6069260632730399,0.07107081895092617,250,463.360158888777
9,0.3199498026927494,0.258568828417401,0.6069260632730399,0.07107081895092617,230,503.2703501838729
10,0.32011046624096656,0.26869288383069767,0.5946743434853945,0.07944487128291879,230,471.1256535396615
11,0.32011046624096656,0.26869288383069767,0.5946743434853945,0.07944487128291879,290,67.89349530879463
12,0.32011046624096656,0.26869288383069767,0.5946743434853945,0.07944487128291879,270,389.53372632661194
13,0.32011046624096656,0.26869288383069767,0.5946743434853945,0.07944487128291879,210,504.36629947819023
14,0.32011046624096656,0.26869288383069767,0.5946743434853945,0.07944487128291879,250,435.2927222823264
15,0.32567789848802287,0.2743740470096135,0.6204024461755795,0.0687771350741719,210,492.2827832515255
16,0.32567789848802287,0.2743740470096135,0.6204024461755795,0.0687771350741719,250,430.16683481009926
17,0.32567789848802287,0.2743740470096135,0.6204024461755795,0.0687771350741719,230,463.0044104940294
18,0.32567789848802287,0.2743740470096135,0.6204024461755795,0.0687771350741719,290,77.77563224580454
19,0.32567789848802287,0.2743740470096135,0.6204024461755795,0.0687771350741719,270,381.43755940694155
20,0.3268608432169923,0.25687623513144275,0.6105355216114279,0.053197257641627776,270,394.9969897848829
21,0.3268608432169923,0.25687623513144275,0.6105355216114279,0.053197257641627776,230,500.5856926538407
22,0.3268608432169923,0.25687623513144275,0.6105355216114279,0.053197257641627776,250,454.98992590788976
23,0.3268608432169923,0.25687623513144275,0.6105355216114279,0.053197257641627776,290,58.77408905704627
24,0.3268608432169923,0.25687623513144275,0.6105355216114279,0.053197257641627776,210,535.4038484752465
25,0.32747692194408,0.25750547423487147,0.548780766251245,0.0703755019894247,270,397.3358627785435
26,0.32747692194408,0.25750547423487147,0.548780766251245,0.0703755019894247,290,64.23934046081754
27,0.32747692194408,0.25750547423487147,0.548780766251245,0.0703755019894247,230,494.7498663914154
28,0.32747692194408,0.25750547423487147,0.548780766251245,0.0703755019894247,250,462.0847676546257
