,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,is_pareto
0,0.49999025230718236,0.5960610871417829,0.4502669866523072,0.7991258295145744,0.6301399467542882,0.2106837673637248,0.7328942047071267,0.6725565223646739,0.3406704600248551,3.1525279636929304,0.16793029041175508,95.2138560386022,True
1,0.022549424952141003,0.974575995863001,0.38983580458312056,0.7712226477118183,0.4416622948883276,0.7615932705282862,0.6015802084174159,0.459208340595541,0.41905997043067045,3.299480324705526,0.40511536381903773,18.44315579736668,True
2,0.2778551328524397,0.7094634679045848,0.4231253548307414,0.8323010455654655,0.30966782951451205,0.8082165487974606,0.5547655771528537,0.6550900278558452,0.6515236055099058,3.64329802272655,0.38247048023434205,53.34027593873877,True
3,0.13209965385475025,0.8932294702089266,0.40576969018311065,0.8319152372571499,0.5751362966390952,0.9157618008937958,0.1855887460877946,0.6899240574486093,0.8076454285463592,5.86295422315605,0.5927673482697962,27.010442257069958,False
4,0.6376077696084398,0.3965171591141355,0.547654456978443,0.6223071817971461,0.728064376841882,0.3086840054911099,0.5649209716595804,0.29100661496829855,0.8717046865054066,1.889262707515782,0.47492059806446696,51.72082524155498,True
5,0.3849009765105205,0.7800798879601998,0.5067988322336702,0.5552659306680884,0.47790180329021503,0.9227643669955005,0.15002012373911106,0.7839680933021641,0.8814731149454216,3.674839979494643,0.4491124677577668,23.026278700459454,False
6,0.9172588551865258,0.7624522209283698,0.3860848298399688,0.8130391822323547,0.5406992376322117,0.27433219771944145,0.0309980382634886,0.9742494566507772,0.9125268665310463,13.025941626556612,1.1348274594061345,2.8660468248972384,True
7,0.006321609820408068,0.9044524188006612,0.35109190328399453,0.9394682833072727,0.5404316757213101,0.32959820045547594,0.9847908675558077,0.8677198309886707,0.9165765917985936,19.64968347977355,0.00842676730591301,112.03653793375456,True
8,0.9892421308239105,0.0518144549494736,0.4940081330135366,0.718479112746303,0.3091637903662029,0.6954789143869485,0.48394990586594167,0.6936861714702958,0.961990494712795,20.333649836771922,0.7703143431435036,56.01133529344296,False
9,0.3152071474860934,0.5712288377782976,0.5497320747332961,0.47323886556475314,0.5684211563929357,0.6217010705512874,0.6919170004209385,0.190294489111146,1.2680025055234847,15.181756044231898,1.0497449775745529,17.740068957345606,True
10,0.7743740004683399,0.3578192762052599,0.5710343052577296,0.4382439287429989,0.3137681291755291,0.26901777483169803,0.6403939187867661,0.7868364105666315,1.3379399582404,4.23638259408194,0.39762563215322455,60.18306925612224,False
11,0.748795235777638,0.6956268113879461,0.44684937614108344,0.7058233591418387,0.20624599470623403,0.47796876859609533,0.6597928558644226,0.34865660214685507,1.4805816543719863,39.23652296199792,2.108901842288702,7.40950259006689,False
