,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
64,0.648459785809128,0.9603983318559391,0.3768852600709196,0.8905686522101842,0.9818100053877594,0.1676463344785762,0.2207172743955475,0.579285273689106
2511,0.7025372279493454,0.7007787690749001,0.5678433770021968,0.3717972091955309,0.2927287535498327,0.6739697542243335,0.4391612059400955,0.4615075938156522
2554,0.4358600072427285,0.9547682745783378,0.4511574058451955,0.7223853937190045,0.4040736076342613,0.5888380216650662,0.2433816222679549,0.905775485530869
563,0.4034537531224739,0.3890394907585137,0.4989647341149061,0.7781489902346794,0.2358067078273587,0.9628846154172692,0.66307234452506,0.7972459589177288
1169,0.6374182265145428,0.2237373327259767,0.6646485987714554,0.08063111964441,0.5996727691757116,0.2133159135570861,0.659129080602265,0.2245718681211173
113,0.7070781263229391,0.7072706167667037,0.5722852220079305,0.0141696005424473,0.716856808029384,0.7888030256711712,0.0756348546606248,0.2635260351133442
235,0.9111200806549404,0.3409065902366875,0.6568960650497057,0.0395659695921388,0.5373664747394133,0.6001019053568348,0.1496675004255688,0.902772455375386
2910,0.8090599247748407,0.0371193120936748,0.7121549815515972,0.1409319582060123,0.9993369950678728,0.7080787068348111,0.0820372335402885,0.1938424266317812
2628,0.1223413770282155,0.8403128539279732,0.5329881479181223,0.389360793623541,0.6851258102446253,0.5271704390539953,0.6492073783802873,0.6731174160199062
2596,0.5341083086515888,0.6717147573181937,0.4997561828254644,0.7758808903818953,0.7362100975161475,0.2661859637728955,0.7193072734981929,0.2413042141037936
1540,0.0540638636205181,0.8356133569722691,0.4131172523536056,0.9396972223664348,0.9247304648176274,0.9886853538400155,0.2010055495084856,0.4633465944405637
331,0.1604789649603147,0.7890976496180006,0.4483907816221678,0.8091212107292061,0.3787499123708833,0.993284219980906,0.703191507379325,0.1482157082437216
1934,0.9623785446331732,0.9863090112682642,0.2970235136282655,0.8831445124766835,0.1558359138299226,0.9118537929707689,0.0830685458252264,0.2941942578392362
7,0.5492713472375284,0.3735697803698794,0.5754439940593347,0.5136624698432817,0.6603208831328927,0.286343790278236,0.5464120710843067,0.8018361537066838
108,0.651803982292735,0.8946107582587314,0.4751928293577237,0.4941164904955621,0.3951093873309481,0.1115386123983663,0.7923342710487927,0.5483117502233231
399,0.8986796254215647,0.2840493806682028,0.6379465927042552,0.0148006976834164,0.355588740076446,0.8076803036412781,0.3710766537459196,0.1076724997489981
3530,0.3184465944505302,0.4854823654009533,0.571810146102503,0.4502033169629467,0.8655453207871112,0.7056303627126405,0.4859977857286722,0.2847546217894459
69,0.368762024661401,0.1098993440278498,0.6929621614782547,0.006415542374367,0.9967650957846896,0.7727244635975277,0.3229456104397635,0.7660366149758091
11,0.9172588551865258,0.7624522209283698,0.3860848298399688,0.8130391822323547,0.5406992376322117,0.2743321977194414,0.0309980382634886,0.9742494566507772
1525,0.7547664435631861,0.6352003656021797,0.6041512840781874,0.4100748652492597,0.9850894130504518,0.2573018606285218,0.0972343035453261,0.7464556258818331
555,0.9732728914042156,0.1238994190331552,0.4630922528178265,0.860087932927532,0.9868150152897688,0.527270071106417,0.032265582051943,0.4245711779287964
2323,0.9418034845412296,0.4363139119011628,0.5679134125616019,0.5704392293286733,0.6539679640645175,0.1989713915108935,0.4809191793211863,0.0056590414543473
63,0.1736116943582459,0.5858446083802982,0.4519707398022818,0.932034821242942,0.8990872433426323,0.7491239518143812,0.9123345327796402,0.0112614146138299
523,0.8214487629661376,0.3737899977925232,0.3421639035959197,0.994440678327422,0.3767608131823359,0.589099797404003,0.8218421096281235,0.3477953995294268
1106,0.788018170525065,0.7880095776427275,0.3699107589070636,0.915265514770796,0.5636704197867409,0.5660256533024942,0.3366121014209362,0.1164699427023092
