,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
75673,0.6842811164681359,0.04683310441886101,0.5072179846122551,0.9539518194106655,0.9389191946245236,0.5905914261570918,0.805855230422141,0.2779936666810779
242184,0.9232755311265488,0.13512259675143923,0.6248861115997737,0.11843108822031274,0.2661138132123274,0.11361629866846921,0.686923443605841,0.9104640589040804
226912,0.9378215234317026,0.28524096434597457,0.41961890982564437,0.898614853134406,0.17001173808246575,0.6805714948321661,0.8296331518724915,0.6413093742061406
198478,0.487138046228788,0.23212281715608266,0.6451837056073165,0.025860001621910343,0.7151402865013067,0.49542014645858057,0.5524073181590096,0.29564966077687316
133488,0.8535725203464856,0.6380216050742331,0.5166765465022243,0.5734176430453475,0.1636894217205961,0.9008863244006908,0.409389699845374,0.4111727923765386
205998,0.16190753429212093,0.7894181168182226,0.3495301974635331,0.9974504683889975,0.6853353203515888,0.4593701080488973,0.9680686449277627,0.4002858750966322
45151,0.1141415390022881,0.5683696592687256,0.5200673150214206,0.4657481593961689,0.9730620465677072,0.19266849067410527,0.9903440769342284,0.30289621843730097
68460,0.399458309984567,0.19956723785855165,0.5985077508951812,0.34886961464607424,0.1239186158024054,0.7422189416815753,0.9485128598099419,0.7779304711787834
179350,0.693960774950494,0.9021621599576504,0.44978066010031176,0.53901371024266,0.12166018221001872,0.44360385344850817,0.5401216925789477,0.9408395482491114
177684,0.30941495055067564,0.7600553230984266,0.5253795594295732,0.26087618531882895,0.05112158138865447,0.9263025135833154,0.7242471294094862,0.9494760697166729
67163,0.7183695744236904,0.034323103100832045,0.6629318417800489,0.007399401004891687,0.005995075660806423,0.9950826278725385,0.8021086564633002,0.383641807021018
133868,0.8500473987580406,0.34137026143087285,0.5318191056783899,0.6615402124403196,0.5542609276952839,0.45633877402702866,0.570172776479337,0.03830873880054625
117965,0.8903020883989325,0.7780075885943435,0.46175225746653104,0.619837054404476,0.4825572518113286,0.2499541784541341,0.4077935768549713,0.4366623409996419
181921,0.7551704968985139,0.5790311123364441,0.3402689546244319,0.9763742711340273,0.3505555114949546,0.4971335762450168,0.4887539788362827,0.8217544130647517
133369,0.6251095460881806,0.0672657119630523,0.6620228027362561,0.2377492422701063,0.8691020767887111,0.08761315853599565,0.5460865084309806,0.9072985175190165
241129,0.4513151016332242,0.27983171111068983,0.6537393769747684,0.20074851218547227,0.9143515637221703,0.9925592861375533,0.3433082164451552,0.06925837874920182
54293,0.7040189420756624,0.7269959300762795,0.5328508642526378,0.35534198389715815,0.41695322807847646,0.11521192957790716,0.7964294954240937,0.5422099736102695
67718,0.6367314469069475,0.17901216773587178,0.6431575399335007,0.003573581660091804,0.31611318093993257,0.20429849844059333,0.8471980653173576,0.5612765292302018
216635,0.8422529527081307,0.35499629594340165,0.5934193183905773,0.19243421035740726,0.27773870095664316,0.6480763348345349,0.4805894925972206,0.3675424572163555
18739,0.7572545193763734,0.5109086873213943,0.39347534927824973,0.8786441951296399,0.07435676335662056,0.5659677941530079,0.7236659460944159,0.9408997105764662
15922,0.9117960993719157,0.10192375042077038,0.3792725493228954,0.8706709643532035,0.971082134242325,0.33744066188441646,0.03800377812610795,0.8896019072857203
76344,0.6465197767815631,0.6741846483382985,0.57392744151286,0.3260146108681366,0.6572211007605626,0.1819628971007685,0.5769266640386185,0.5944473594826986
31803,0.7593966505097108,0.6294699250418909,0.5662087754910684,0.19558572663877588,0.43714032047011847,0.8069393592210773,0.3777647096561261,0.0675642458137511
112030,0.69336568590313,0.2884478837546906,0.4213378457290938,0.8899382823607609,0.5850932043012131,0.3840241507677075,0.5695823825409866,0.8607696912508497
14850,0.8130581034437251,0.24727105814373185,0.5634914632284235,0.7361356760822553,0.9065946692150779,0.9663281645812358,0.11478972155149453,0.04564413689785628
34726,0.8171529838345156,0.7736237230220586,0.3578245217120942,0.9239927291014798,0.11380473932095217,0.5186997275127233,0.6037866408311771,0.7237816980110866
66638,0.2901798480682798,0.19571161151510963,0.6590011860470253,0.011476904228858081,0.8771186902625765,0.8831592831479697,0.5039148329398577,0.38418488729822164
64965,0.3160926019060778,0.7416339547611727,0.5326344959261925,0.5130234074289087,0.9805863823355722,0.7525641294584076,0.12468966178238979,0.6679068610274731
108104,0.42717425174328544,0.5727704647200815,0.37787410495792156,0.9790304522463759,0.37501413865988587,0.5449508984324641,0.8858121130177603,0.6880008926879589
168846,0.35564703305266926,0.2608147532817775,0.6342351279640884,0.06794775171851855,0.5353824902513077,0.716030716841755,0.6292812453094914,0.594430523560589
68862,0.5529583488799543,0.7449300735823592,0.4940586337565873,0.05482699661710975,0.23254151234868864,0.4784681724293943,0.8635176681519229,0.33836061253789806
112946,0.6497284390682286,0.8834727214728818,0.48939303241345833,0.1648124349943267,0.6530001842743106,0.5410673079558499,0.2592063707779129,0.48242031916758643
184949,0.6512208054696168,0.06361471018698929,0.6187556875892877,0.5001342120867519,0.6501750687324411,0.044656782496179034,0.8380037196384951,0.9690820469304231
24607,0.9177239277339297,0.6027121525956097,0.5883832339026166,0.11368601342477089,0.5492152250880624,0.2693236496104684,0.33212200084275495,0.7583054234148674
208247,0.7568852718876095,0.9613853470601992,0.45802943884860575,0.02539454711611493,0.7334746986582209,0.47412450774805454,0.252417290599007,0.34587024025164403
90316,0.9566145326135098,0.6763253332787594,0.49942527426971617,0.20622582539553574,0.07458110162539505,0.11483262449344889,0.8952283534481689,0.8626530601255235
144018,0.39175187662497807,0.9190760023492355,0.4854259872157087,0.23133959364600712,0.4701985434530898,0.24809192040558456,0.9120144552741791,0.6760445056278135
