,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
4212,0.974099769698414,0.0616545669939259,0.3974348811114622,0.820800006654658,0.2712014433813482,0.7045213133178159,0.5579062677658638,0.907643585207062
2175,0.9774132497807844,0.970451044257682,0.4213501599708916,0.7499009560176759,0.5860450736174184,0.0995827408146848,0.3059103356742883,0.9138315186684276
2792,0.726976950054263,0.7213321060512311,0.5647299662568613,0.0374852913548683,0.6341756008657897,0.8976543054710906,0.2130799326387099,0.1983424508395395
3024,0.5564664275510747,0.972540024947388,0.3370466654340545,0.6937512925722785,0.3019397339016403,0.2605825075732298,0.7131948699919921,0.5717112826286248
1513,0.3400296610816678,0.5152507280312822,0.5626548135081814,0.0084796214357773,0.4592864994448776,0.7373144519088072,0.6315923426659402,0.2555872873445262
230,0.0660219003994952,0.8320266038421003,0.4795756247807105,0.6796476120488464,0.795117234903511,0.9203652765027434,0.507472359151459,0.3357692714135249
2510,0.6744366400638552,0.7366608237861008,0.6475052391077087,0.2739333767810899,0.9224361717074696,0.3174078324829214,0.3726659623353388,0.927014106521832
3606,0.7963957030214919,0.6180648878454994,0.4608849715977327,0.4609464501106375,0.5277154751978438,0.2784322838999909,0.4098909377317832,0.1826206391494086
1236,0.8985136985698549,0.6002412373352461,0.4669193429735219,0.8293834306091385,0.2559224581541636,0.9005000800217126,0.4868141589940823,0.1205093023724507
3317,0.25217810618803,0.2313119091061622,0.559147562676078,0.6888015850038908,0.7098383700152825,0.4049121697369273,0.996132001254792,0.9479954869694904
268,0.6156776828062305,0.7335921177005752,0.5943258368772253,0.1126050955537547,0.956856919843484,0.8421664857065342,0.0002529950151969,0.7338131872890312
966,0.3909913893170171,0.9102529013403106,0.4831979619781598,0.4163032264625508,0.6433833062349303,0.1396165302650371,0.7762147718197774,0.8888356922155747
3115,0.6207786817234849,0.9230214362455827,0.4704359287661748,0.7997553543179333,0.7792393042503953,0.5851304730131823,0.1368201870063477,0.4577504784975848
921,0.7340760996672094,0.1983949766591569,0.6173406595356761,0.4435837629656503,0.2039737370948103,0.5593376934541244,0.7140765272074762,0.9979370072589108
3780,0.8327766057225808,0.0457532678392299,0.4846623263839682,0.7327951466651186,0.9195540476027788,0.1358904742103841,0.5764516107271135,0.2286715288098058
1487,0.678922667737454,0.1215843546878574,0.5365892301276494,0.6549414030655701,0.2945389924370648,0.240680534703126,0.9909385033685668,0.97051920545844
4023,0.6335111375615016,0.8158916171960121,0.535786601296444,0.4279616466166779,0.2736961053746742,0.5567309863424775,0.724424005654282,0.4218423508662436
657,0.5309059805501051,0.6214998450228785,0.3854469173699402,0.8855831093530961,0.0001279511448509,0.8206656811193606,0.7620756687063803,0.7711079430903728
1082,0.49128760557739,0.1193768203713352,0.6299286370993872,0.4798745800182389,0.9873786445202792,0.1661574528505974,0.7896408110576137,0.2872248278444402
2911,0.6499088097072994,0.8115830713092413,0.5001258408455795,0.5135724455902584,0.8129132103067439,0.0646097224722047,0.5964486789620657,0.5281261653480179
3783,0.7099334967973627,0.5101179856287821,0.4146471501364171,0.8894677336315716,0.9094627275482025,0.3178866856414585,0.0419087189829233,0.8634956382287019
591,0.8571873178848918,0.1087509836842846,0.6287037367918372,0.3450733926142785,0.4257451924937996,0.1239679836125689,0.8963054992105259,0.0979373496240497
3587,0.4921825728272846,0.5384838422760713,0.5917691842183199,0.1413322821495398,0.9972536055551908,0.2257964189676682,0.5045752013518507,0.025682954813436
3133,0.909270897005238,0.7437949415809116,0.2883882407330463,0.7987330554733707,0.2358105959217202,0.4086277398344167,0.2421856722262294,0.6998751482198573
3235,0.4632977396528263,0.4835118943517744,0.6055262336228522,0.2238585096852091,0.4838829850955619,0.170077775762985,0.920881775057162,0.4159328553181834
2528,0.4865877600464507,0.2117165560643926,0.624041534108927,0.2125706365330709,0.7153505113655921,0.9195424690283184,0.1939760128303988,0.646462992747556
4239,0.0064984376381596,0.7602914946915575,0.50748022909395,0.5321627555245793,0.0802488772795894,0.9604023371928504,0.9385299060829536,0.7479226390157594
3353,0.7788521116845665,0.2194117864673306,0.5038584866985413,0.8166038098147685,0.7517914161221473,0.9172067671389166,0.2967104695266926,0.0849005295663303
1386,0.0725370058000646,0.3213607745210671,0.4560045779259525,0.928531568674824,0.9450383809650228,0.9965000038741773,0.7500287222028426,0.7583864652679221
2069,0.0735035356586778,0.4304307863411571,0.4545047505139062,0.7977766353856467,0.3445243030231028,0.9039170915096753,0.9958331901270314,0.5891847147088706
208,0.5132105894176481,0.5807272968246512,0.5565572065201395,0.4734576581267326,0.4707120943016768,0.8692514122937832,0.4585410423080186,0.1854653881669519
3349,0.4005413123854816,0.0051744219063686,0.4985214599068898,0.9665342992227632,0.997714571142947,0.6620856376305259,0.9702445447383244,0.926889742748291
1120,0.964229180853078,0.0166344742245928,0.6013537935996167,0.4828637586644044,0.6878050678426648,0.3783013128711993,0.2286077629137556,0.6965857123966465
2521,0.2115003886346675,0.6528543367820352,0.4951558757856252,0.2396985080431598,0.3028050213993216,0.85416443248447,0.5490796661819579,0.6532857240031174
4076,0.2118198183882924,0.96793389054761,0.3946012919345376,0.7836505643438585,0.5099684035468107,0.5613223248280664,0.787263852216114,0.3991204091027683
2289,0.3380699223110467,0.8481000621495163,0.4553861131375044,0.4806705296234701,0.6627001481354782,0.7195540253298364,0.0365405735773607,0.9922282918131956
550,0.9678586376215482,0.684045625470889,0.2468428231809909,0.9181531404739924,0.1275577376444182,0.1771589662823398,0.8096244392249133,0.885024550400243
1113,0.5179557915881489,0.842542385774056,0.4631367613141492,0.1905335862295836,0.2012281970833153,0.8388286075998732,0.3331989620354637,0.8891379002338795
2203,0.6110512645205026,0.3909565229652914,0.449779812034792,0.8700992968737384,0.3993358231356702,0.6059215734059831,0.7347977647962043,0.4585197130543493
4024,0.8364997973030767,0.7593104509443929,0.4408605379825023,0.6414416008622857,0.3761583678849716,0.0541537327179803,0.808224507297493,0.3521791598792933
1490,0.3487913500927275,0.9256396465463728,0.4616958702831466,0.2993204899856025,0.2127183457282385,0.8745406650789878,0.8441316195785464,0.0126856846907773
2982,0.6677836311130584,0.0980837723770362,0.4927079015944238,0.6808713346808193,0.5424680863308067,0.6739506030588831,0.4353527137570296,0.7305661374999812
2752,0.911762103130252,0.2053673401822081,0.5881169887234453,0.1778562351386989,0.8205387918711257,0.0740520104162363,0.2800514565682683,0.1553287970557834
3347,0.0145120350566953,0.767976776264571,0.5826225739328738,0.1146545200779596,0.894115323038337,0.9653848592169242,0.8262739791666298,0.0841068995581287
661,0.5124558414757867,0.3401234695867394,0.5753778182976502,0.6256514062211912,0.94573891733785,0.1876280749299082,0.6012726301190799,0.8065418189965972
716,0.8106561987979274,0.815627435948077,0.3170703038901481,0.974873361633584,0.3186106196715744,0.6560484915665077,0.4284427374855771,0.2625940014603731
