,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,temperature,density
0,0.300675647085557,0.39210451128030555,0.29353872194368424,0.15012759840206832,0.5735013786358141,0.3803874448554581,0.3275751541998018,0.04269242541671017,260,1086.5240782946858
1,0.300675647085557,0.39210451128030555,0.29353872194368424,0.15012759840206832,0.5735013786358141,0.3803874448554581,0.3275751541998018,0.04269242541671017,320,874.2905693225517
2,0.300675647085557,0.39210451128030555,0.29353872194368424,0.15012759840206832,0.5735013786358141,0.3803874448554581,0.3275751541998018,0.04269242541671017,300,962.707266019132
3,0.300675647085557,0.39210451128030555,0.29353872194368424,0.15012759840206832,0.5735013786358141,0.3803874448554581,0.3275751541998018,0.04269242541671017,240,1149.719449022982
4,0.300675647085557,0.39210451128030555,0.29353872194368424,0.15012759840206832,0.5735013786358141,0.3803874448554581,0.3275751541998018,0.04269242541671017,280,1033.2844199497326
5,0.3009799882881924,0.3526331603884613,0.3253093894027417,0.17509751344393218,0.28936915093721616,0.5640961128457934,0.2933325420545752,0.08252794388217242,320,794.3126296717448
6,0.3009799882881924,0.3526331603884613,0.3253093894027417,0.17509751344393218,0.28936915093721616,0.5640961128457934,0.2933325420545752,0.08252794388217242,280,958.3348445465997
7,0.3009799882881924,0.3526331603884613,0.3253093894027417,0.17509751344393218,0.28936915093721616,0.5640961128457934,0.2933325420545752,0.08252794388217242,260,1025.027581348752
8,0.3009799882881924,0.3526331603884613,0.3253093894027417,0.17509751344393218,0.28936915093721616,0.5640961128457934,0.2933325420545752,0.08252794388217242,300,894.6277545191521
9,0.3009799882881924,0.3526331603884613,0.3253093894027417,0.17509751344393218,0.28936915093721616,0.5640961128457934,0.2933325420545752,0.08252794388217242,240,1074.5463951780544
10,0.3016790497263177,0.39685689949447356,0.2435549486744119,0.2968906942047778,0.3238406127981279,0.42095072460064253,0.2413621925742961,0.07559200716959888,300,979.7878272953643
11,0.3016790497263177,0.39685689949447356,0.2435549486744119,0.2968906942047778,0.3238406127981279,0.42095072460064253,0.2413621925742961,0.07559200716959888,240,1183.5660011897094
12,0.3016790497263177,0.39685689949447356,0.2435549486744119,0.2968906942047778,0.3238406127981279,0.42095072460064253,0.2413621925742961,0.07559200716959888,280,1057.6186559147227
13,0.3016790497263177,0.39685689949447356,0.2435549486744119,0.2968906942047778,0.3238406127981279,0.42095072460064253,0.2413621925742961,0.07559200716959888,320,883.6164517416811
14,0.3016790497263177,0.39685689949447356,0.2435549486744119,0.2968906942047778,0.3238406127981279,0.42095072460064253,0.2413621925742961,0.07559200716959888,260,1121.7044301587152
15,0.30267999343141305,0.38524624731124324,0.30842312614820167,0.20908659554922104,0.5488690028509785,0.5684354099717436,0.2265809116561617,0.054252250617380364,260,1066.0637938676753
16,0.30267999343141305,0.38524624731124324,0.30842312614820167,0.20908659554922104,0.5488690028509785,0.5684354099717436,0.2265809116561617,0.054252250617380364,240,1124.2370254256757
17,0.30267999343141305,0.38524624731124324,0.30842312614820167,0.20908659554922104,0.5488690028509785,0.5684354099717436,0.2265809116561617,0.054252250617380364,280,1006.0829064862434
18,0.30267999343141305,0.38524624731124324,0.30842312614820167,0.20908659554922104,0.5488690028509785,0.5684354099717436,0.2265809116561617,0.054252250617380364,300,943.6292092110259
19,0.30267999343141305,0.38524624731124324,0.30842312614820167,0.20908659554922104,0.5488690028509785,0.5684354099717436,0.2265809116561617,0.054252250617380364,320,871.8562995236244
20,0.30269150812028817,0.34660990066194935,0.283004999510923,0.2918335086799809,0.5593376928813587,0.4662991074977781,0.3071712029339178,0.04355468049498253,240,1116.0615935034666
21,0.30269150812028817,0.34660990066194935,0.283004999510923,0.2918335086799809,0.5593376928813587,0.4662991074977781,0.3071712029339178,0.04355468049498253,260,1050.0222953833065
