,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,is_pareto
0,0.5628524914197826,0.013445191000638068,0.5847630641779898,0.5658735016092841,0.2805404679431915,0.7867050838643078,0.8858789732810318,0.44326740706793477,0.41234591823925426,2.5702443606934815,0.28092581519528614,196.21409054594713,True
1,0.6552658283152946,0.10588125976833065,0.5141657439000953,0.734010456290154,0.6503562114428131,0.2650917597252628,0.8734748178809199,0.33974153805523893,0.4659547829080065,5.792367999280456,0.7008858870591135,71.73975645661696,True
2,0.3224776682880776,0.9349982976382376,0.3257346708058921,0.936921386392116,0.14507297178627587,0.5089265439867323,0.6564885008483772,0.8905863592688575,0.5486581523143687,6.882107183121354,0.17008156524768317,68.74327690510711,True
3,0.7532133088515621,0.24621342227850815,0.5772257553188112,0.5195172113737995,0.4169261736383837,0.6257281508939171,0.3546176416082189,0.8529325400536412,0.6320381680781684,25.042058832700043,0.9117347092427502,43.37443324150528,True
4,0.6376077696084398,0.3965171591141355,0.547654456978443,0.6223071817971461,0.728064376841882,0.3086840054911099,0.5649209716595804,0.29100661496829855,0.8787487870820468,10.810419631858696,0.5784175068443893,46.019417338112284,True
5,0.7554222082168874,0.5886114092556065,0.43072989576428966,0.8207121282433079,0.6290128770151858,0.37273266241580566,0.16140120954432569,0.8971084355343665,0.9626953165092698,25.110343080424126,1.1602330095306532,21.011394057005845,True
6,0.604727485009793,0.6736495465951096,0.39029221909860207,0.9346300840688319,0.7406403965729039,0.5916419839997056,0.09227619562510558,0.6636545479369326,1.153386552609399,13.150498366435603,0.9498198932876031,21.192758758751996,True
7,0.5492713472375284,0.3735697803698794,0.5754439940593347,0.5136624698432817,0.6603208831328927,0.28634379027823603,0.5464120710843067,0.8018361537066838,1.1640468168210163,26.244966194372648,0.5457575467035223,64.68138689677843,True
8,0.7743740004683399,0.3578192762052599,0.5710343052577296,0.4382439287429989,0.3137681291755291,0.26901777483169803,0.6403939187867661,0.7868364105666315,1.3694397081835297,42.182978211799046,0.8934422711506477,38.68831195774136,True
9,0.10572517442209226,0.6921562140263244,0.4985860067575041,0.6121258492754996,0.46703140819703626,0.5926549845798533,0.7540172882596936,0.8130802520677072,1.4286068960423381,0.8524425898985349,0.03950896380058257,92.88516916716387,True
10,0.748795235777638,0.6956268113879461,0.44684937614108344,0.7058233591418387,0.20624599470623403,0.47796876859609533,0.6597928558644226,0.34865660214685507,1.4644321151509172,30.233859037510847,1.8737092375934512,6.096384814749379,True
11,0.9172588551865258,0.7624522209283698,0.3860848298399688,0.8130391822323547,0.5406992376322117,0.27433219771944145,0.0309980382634886,0.9742494566507772,1.5849121574603093,15.192994466028575,1.3014382069932062,2.322850602852929,True
12,0.80618752386675,0.04176362519099518,0.6686089181386633,0.12772846480900488,0.8290645276594452,0.18885635597452632,0.3763556241866325,0.12250900874748903,1.711970193633811,2.353376478217025,1.0150663262354285,4.28337255914265,True
13,0.9488885836187643,0.5385798005237431,0.3495945554768025,0.984412679113996,0.8693125088091523,0.39947800546714923,0.2446615824044041,0.05707654305460159,1.7216710432170337,20.580547956654424,1.6347201774469942,4.945767236652072,False
14,0.6419857293290885,0.20144612797619926,0.36069241785829514,0.9695899406062993,0.5475941542752861,0.4118631316240844,0.8823135777194328,0.7807512450208068,1.8172430013633303,0.885516670668741,0.5358037513200025,78.90435824253558,True
15,0.6343205742359178,0.053996224190863806,0.6216346474791781,0.3855024337501127,0.23385792585276108,0.832172816877418,0.6405761039416045,0.694624601932895,1.8567029518424234,5.810656233013676,0.5546773586579797,107.9341707731633,False
16,0.5562954296660194,0.8893296788539669,0.34886516884265645,0.9471460331103458,0.7375010099314976,0.25224706661613633,0.32859361606391574,0.7676808851135427,2.138865600052297,5.993409903802485,0.0981708504239962,66.37547704839953,True
17,0.8766936729034223,0.5904072941106745,0.4873063449080253,0.5672113492296657,0.17197759094079978,0.16219172370396664,0.9602306409000516,0.23844891060220283,2.19671546251168,21.27565015472235,2.9244684728974484,3.9249128240480005,False
18,0.5900733900073837,0.9021570103431097,0.3499365594445614,0.9152383927194927,0.2908051624422633,0.4794538690837935,0.8144459058531738,0.13406740369575448,2.209647857999314,3.8562991050229627,1.033454017267004,10.877714347723444,False
19,0.49999025230718236,0.5960610871417829,0.4502669866523072,0.7991258295145744,0.6301399467542882,0.2106837673637248,0.7328942047071267,0.6725565223646739,2.357054723976456,13.22789399121703,0.4332209284810034,69.11665002487452,False
20,0.3849009765105205,0.7800798879601998,0.5067988322336702,0.5552659306680884,0.47790180329021503,0.9227643669955005,0.15002012373911106,0.7839680933021641,2.4829306291437128,4.722984775568834,0.731750262028816,11.075498753525356,True
21,0.3152071474860934,0.5712288377782976,0.5497320747332961,0.47323886556475314,0.5684211563929357,0.6217010705512874,0.6919170004209385,0.190294489111146,2.6839719960526263,12.244010503076277,0.9120083477124454,18.422153061405886,False
22,0.32837394269361264,0.6016347388166504,0.563892255260729,0.46777524161929007,0.6973238368827027,0.8181792873999946,0.3723723708405262,0.47286400032845644,2.8054190899628324,1.572377911724394,0.19575978000922412,55.4885476162316,True
23,0.6170104641138547,0.24260319611072206,0.6553459477273972,0.10361319260383496,0.5730853068199389,0.6727439211762762,0.33176722753432,0.7331013837783128,2.8328234037826014,2.87723384342654,0.779107163463228,16.38371277041728,True
24,0.2778551328524397,0.7094634679045848,0.4231253548307414,0.8323010455654655,0.30966782951451205,0.8082165487974606,0.5547655771528537,0.6550900278558452,2.8480031499708716,3.3993546795996665,0.474499479948837,42.082330389719075,True
25,0.3905935765926574,0.3315883161938961,0.5740613532960205,0.6207442073200798,0.8185601257199623,0.8039981087598672,0.33651856893212667,0.7659848005511575,2.8773954085035895,2.757471140322909,0.1576381863102297,115.00296250774757,False
26,0.6162995483373807,0.6678650176766054,0.5015618679893115,0.6390180465874247,0.5621030138769004,0.7168133486056374,0.17107749431988778,0.5076219305788211,2.9146067316800357,30.854903442769672,1.56338086871944,7.438024053657012,False
27,0.29598005926040416,0.03554324293040061,0.6683414544216426,0.14083215041973965,0.5887552815122427,0.5791169905583622,0.8690791945497089,0.07633558524298549,3.014247820458519,6.569463273703192,0.22916500075887844,56.924177980114294,False
28,0.7223674327919357,0.10109403504815401,0.4914523339701843,0.7325591628474782,0.7265042770542411,0.08216341251764749,0.7506654257389734,0.673990180827616,3.01989172983451,30.57768216753367,0.9424280671432111,55.07593901952354,False
29,0.5162107100408296,0.14259389920623086,0.5922400794804463,0.4803450061309188,0.20404644859231466,0.6255527676606062,0.8626901175380776,0.7836249777096593,3.2427506286964856,2.1293079804802577,0.12532223201388304,183.64663844563088,False
