,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
225904,0.93233662877705,0.29437292666528914,0.6554175585160827,0.04072249194189732,0.3678843262247908,0.7495987167984859,0.25583022167141456,0.8970120054515924
153773,0.8020207600983348,0.4699115070262973,0.5943161572651515,0.25754991621466294,0.3987507987035583,0.6339440947442517,0.2677430556094439,0.9795160927857727
1505,0.11771477420987944,0.6257321916086949,0.36740646998975685,0.9531887681108795,0.7802948671870867,0.5934506388465227,0.858290715403275,0.36728159988550846
33004,0.7176585618714431,0.804026247354735,0.3481678298588803,0.9711248109013012,0.8840414852606154,0.27446920319702717,0.03273999845790558,0.9055532031446462
5726,0.5659311065584421,0.01760593900675636,0.6378208416354202,0.09197879436843188,0.29033888387526413,0.9358460492006425,0.555665769452782,0.4415208948398965
196815,0.9139523874778365,0.3796444029231039,0.2958304865870741,0.9391486980909964,0.5024752101887859,0.3069988074100024,0.3567153448379094,0.865770265120951
129269,0.6771576968514614,0.43201221421541286,0.5236011803436165,0.5587033492591408,0.6299571458248587,0.501611301169528,0.23676695786020774,0.633886038074962
174530,0.8930883561776299,0.19126600195348661,0.6074483589311835,0.43018796609971305,0.27019304188709004,0.9066243615129941,0.2771507610353455,0.8941711316564785
22905,0.4327364792311581,0.026993453309046206,0.6614834705291267,0.039074541707206804,0.5931379723315953,0.8629931454671824,0.4233933943012203,0.788232736809656
125435,0.6969241564200944,0.5120446650627238,0.542486374286251,0.43359978600138505,0.2852011180277539,0.8370090547663771,0.24639733047832502,0.9571759259638396
86769,0.574755135004627,0.5179370073663584,0.5053792213495207,0.6573652803763896,0.570487350425655,0.45347784519991235,0.34399667719737825,0.8363748735681834
124173,0.8003098919982358,0.4453368444054322,0.5456681898645055,0.46613037813719843,0.5389976552574752,0.2835620408261906,0.3249350423353582,0.8939511993762552
224508,0.9375525199192304,0.00906207036639651,0.2716719998455397,0.9033943124679735,0.7923538348684475,0.4459660495452358,0.08188240271940181,0.9746969785159961
8104,0.7622860222416127,0.6554908246738097,0.486703454803229,0.7626512820835121,0.6092673374034402,0.25430390017663074,0.2837211363670806,0.9939811131627001
170472,0.783820507659579,0.19222974511499746,0.5967310630062759,0.21876884391478574,0.5646624989900972,0.5685611614251029,0.19567481667259376,0.5859957134349753
127687,0.6698133755021254,0.4364971439136023,0.4605177848486378,0.7326533157760369,0.6345395110457692,0.38542899808975134,0.3042443982633345,0.7995089303545516
140132,0.7452920537549294,0.546487194587802,0.33971503429333916,0.9696624490411742,0.690651509976147,0.4405484432150217,0.1684347998533163,0.6724591829310821
178114,0.924685855592046,0.6682130320809048,0.4719684475875761,0.03296433538016479,0.07080605919883111,0.219959799863334,0.7425644489413663,0.9141782608946456
180080,0.8928734441314722,0.014156222774526774,0.4350454923377752,0.7668681276549993,0.46029077965577975,0.7944316934024862,0.2164726730810967,0.957002128130905
15559,0.815234952331469,0.332357131809896,0.5838604678825134,0.13788969027147238,0.21109496655238588,0.7837682332243106,0.33678692064138144,0.9254498683880583
199791,0.7878713600182344,0.1613229048648506,0.6397198007311788,0.2552764878552394,0.394790600369577,0.5404257647531459,0.3973156458839725,0.998884347177679
212894,0.4725221413975582,0.4591464901988025,0.41814989874452574,0.8353559527668767,0.5995498760033892,0.5159389486583859,0.42217528595900894,0.8752002243116519
94044,0.3907160940124272,0.15836781561355667,0.6173686264526379,0.12349938978062946,0.6556650913744894,0.9614178921459786,0.2637135497128124,0.8976737873307752
57270,0.6141128847094977,0.6888283902289078,0.4852804393809557,0.7377820995479789,0.938067752104752,0.1956481933516608,0.24734938928683745,0.8200145482979893
40309,0.40526184285943145,0.4271895502687054,0.5622178631393482,0.29224212032176106,0.33573319718358885,0.6149338456733962,0.582053861780575,0.986149728041669
40998,0.07821085955319235,0.6667355903479314,0.4211965559169852,0.8209771197331991,0.9931258499972685,0.7184663656340907,0.6040468763242005,0.1896105950728407
86832,0.607174041378812,0.3804834035007002,0.44941459499595415,0.8355163756924738,0.5532927684097935,0.24561689943528783,0.6459351762662657,0.9771171742615964
157033,0.8869115764102085,0.9323186743341452,0.21474208068386846,0.8575776192172491,0.33762802627284005,0.3120626743899187,0.062278316018007825,0.837628691187466
50039,0.8507625029152022,0.9582390611658919,0.307680991022822,0.9583713271303461,0.6636053487904054,0.11868288157916818,0.17442294434301422,0.9568104232933896
213585,0.8918421595331679,0.28574820944432144,0.32075833543673143,0.955332251909879,0.7257045774133046,0.4679708834449293,0.045488230907154974,0.8947895076383107
112939,0.7346335291940893,0.3601145066752597,0.5096033463701093,0.608059484009527,0.8030745175477967,0.28381345089345983,0.20895122022383575,0.6836043229609196
52066,0.9111013055319117,0.4307395086513283,0.46047474686093065,0.8079398099368332,0.7534618377248098,0.3076827041944819,0.07900977842075878,0.9551098973583352
103150,0.6189346428976793,0.39216548403284135,0.4594287364416161,0.7811954005263418,0.5425197950862141,0.9003568022633319,0.03819938111774437,0.9201188195412604
149465,0.912638883048419,0.4991616852557447,0.4159625146236184,0.8201550573589719,0.6148588759096989,0.3692949321606375,0.12127410313666905,0.6624552223992348
154931,0.3250613704135673,0.10794344290507378,0.6264042976346598,0.13792623722469854,0.2028048808132501,0.9865836094421933,0.7282236097038339,0.7445741884406522
107485,0.3417180402521766,0.2104228786733648,0.6075109357617816,0.2917414649229905,0.667948780509899,0.8999709961080589,0.34395714131061883,0.8281206571327971
156301,0.8484808279712532,0.055933763295876765,0.6590375581808025,0.24641475576487695,0.4603024292914646,0.5924738343292404,0.33579624426665655,0.9362500509811356
231118,0.9232849736556966,0.6178856700217661,0.3652163051360414,0.7752577039302889,0.5746709392393458,0.2434941825186918,0.18898777852754703,0.5583893110448072
178467,0.24556154610620015,0.5815663501595429,0.4678307899767245,0.6720804985517337,0.5590075330828871,0.699241707654394,0.3894303292456947,0.8749043427049735
165931,0.9245720319867101,0.19006152044882396,0.48548249695914797,0.7450245636219288,0.5850329850866238,0.7956690322669587,0.02350849173229016,0.948463962597122
111081,0.6324806298068324,0.26113921836279663,0.5615103060787386,0.5636333128737397,0.5522590673265265,0.6995637482240026,0.30223194940908804,0.771619226887692
214208,0.8749694425422537,0.6829585603721171,0.5260162554946345,0.3191648777229024,0.5614033962244468,0.3835973384449304,0.1080925547540966,0.7219492156870718
242733,0.654538524275183,0.9082682445660077,0.39630808595264355,0.8078176369435077,0.8072106015790418,0.2337302022967278,0.16723317316867842,0.818414422980437
30463,0.7491442008033996,0.1580323811727425,0.5978858868802357,0.16451876243916208,0.47682323450507397,0.9506048428519834,0.14580591734603313,0.43784280374509577
226528,0.7795885767718934,0.4161391344935273,0.35002677947826694,0.8618534313035984,0.4574161453257585,0.6401910839814448,0.09719719979652658,0.891540642743998
162672,0.7404928183735577,0.1819162675324282,0.6074987120643109,0.18766129758298122,0.48077684968524054,0.840780749432738,0.10865658633844226,0.8706983464668833
151771,0.6321233236793169,0.22923782026454378,0.5879025147185811,0.2742747465371715,0.284141875431554,0.8156206419192077,0.4196130650852081,0.9519524823698627
128639,0.850635965782147,0.06832534262112643,0.5720145598273728,0.3693254644240962,0.44123191087969516,0.6565492773878002,0.18037004855961233,0.8669257675140079
139784,0.7459375654797615,0.42549205478512825,0.5633713934086135,0.14643718947465484,0.2955183994750875,0.7248612254816493,0.31264175692563584,0.8166124530388041
108693,0.8381033182753477,0.40031363033658224,0.4758276904503736,0.5908851662893094,0.6129213246134702,0.4422304880281784,0.07849499549185811,0.6561903138465823
109507,0.4128238271298952,0.5371989070681726,0.4859986414310136,0.6392159951612925,0.8793218430681496,0.6042393854909172,0.021639069455958157,0.9902167380603074
173164,0.7532133088515621,0.24621342227850815,0.5772257553188112,0.5195172113737995,0.4169261736383837,0.6257281508939171,0.3546176416082189,0.8529325400536412
189414,0.8581765227546102,0.6627463914598234,0.41516001712410816,0.5790208952425642,0.21339661929218035,0.5205952353431389,0.14539597458933554,0.9762811093372792
225329,0.31245490408291415,0.3212863929702256,0.589572674414519,0.031154270300120815,0.21502859693609552,0.7870302663645001,0.7075567700557814,0.971275791892498
182115,0.9544351112827442,0.33491790073811223,0.6001084002650465,0.1638437689861222,0.28259639115473173,0.7218306679710355,0.2587876829399391,0.9619457313886828
218049,0.8468469374187891,0.40350513709902436,0.2500173785828741,0.9848541837950564,0.6830602944344347,0.4009181746645514,0.16617583860038637,0.6882505773005301
167440,0.7411191091617421,0.3197233367726157,0.586882910763546,0.2264319185918313,0.3016003400875049,0.5968800174392904,0.4169989940585289,0.6734555531409877
196784,0.9372027595262387,0.10280508347606294,0.5944687507714977,0.021224102495035115,0.29315545726216674,0.6746800129831348,0.21091431626193408,0.8505190945105294
197360,0.27459348857184784,0.3344859539832027,0.45687399743237406,0.8218752370503422,0.9968367595249291,0.40786180284454715,0.7719240754771759,0.43207545045164003
100730,0.45201960874527075,0.22315629742756024,0.5085801096357941,0.7021694370395929,0.9606964260669296,0.5546353682480897,0.2952724563111472,0.80720107849639
227942,0.6467172552526469,0.31248111082372615,0.49468604395753774,0.6586633066298142,0.6994867351828694,0.29621868356829173,0.4060661866719209,0.7619425909150024
121547,0.6242364090495748,0.4930960114094049,0.5397913695711818,0.5969365665634865,0.4736794132182894,0.18024002711945084,0.6462098306292221,0.9393009301710828
19871,0.4865877600464507,0.21171655606439269,0.624041534108927,0.2125706365330709,0.7153505113655921,0.9195424690283183,0.1939760128303988,0.646462992747556
181154,0.9904589106851803,0.3231017487090991,0.477220102920168,0.5288245126107262,0.07572305831754948,0.36183061709901243,0.6548774507524581,0.7427575021898266
136313,0.9005032406737317,0.40231599101469456,0.5591320547516192,0.15934840876554224,0.16180267420798927,0.7192471015405898,0.28894836576436317,0.9150490889495775
156731,0.7341006750382272,0.5183155138913943,0.47278317741546333,0.7060467423828579,0.4710988496812811,0.1689326377050479,0.539135588743045,0.8494406124922991
51944,0.5870110543125244,0.6569160908371617,0.4340587241552546,0.6871628013233335,0.30179023344640893,0.5014979333650441,0.3658053029796993,0.9180049077128766
107762,0.6872521270063625,0.2980576701066789,0.40760775797531223,0.8419646157027014,0.8718808685830017,0.21933010337358408,0.32598882888748654,0.8175023835227162
192835,0.9157080101137175,0.28999396135452954,0.5892119577417282,0.4119395969188352,0.438390377190414,0.4669616394380352,0.27158306238127344,0.7293345920120331
146551,0.6110688408192642,0.3228578211695295,0.5252752645821321,0.6035346873125296,0.763906179668592,0.34144138656448786,0.32682919217586015,0.9553830784785886
118698,0.892916366705281,0.3067677945849683,0.4022251793193406,0.7473986515584308,0.4149310273288056,0.1228062902845266,0.5646316976968967,0.8973901501449975
60803,0.7682280051571638,0.35897523004622073,0.5327186926629347,0.49378047918735196,0.6125278525001153,0.3047703415857904,0.24461172156134997,0.9756114391458444
77491,0.6815110680020458,0.3269256121510082,0.5410958003876328,0.436651078106109,0.3697041004778831,0.7809940627563288,0.2509197449784961,0.761770087676927
185016,0.9467097160219535,0.20288761995337534,0.36926560482590987,0.794919020249149,0.7419041257618011,0.2359828241016708,0.1710868796478441,0.6563350783335112
