,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,sim_liq_density_240K,sim_liq_density_260K,sim_liq_density_280K,sim_liq_density_300K,sim_liq_density_320K,sim_vap_density_240K,sim_vap_density_260K,sim_vap_density_280K,sim_vap_density_300K,sim_vap_density_320K,sim_Pvap_240K,sim_Pvap_260K,sim_Pvap_280K,sim_Pvap_300K,sim_Pvap_320K,sim_Hvap_240K,sim_Hvap_260K,sim_Hvap_280K,sim_Hvap_300K,sim_Hvap_320K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
32,0.44554953168341305,0.8141275411544682,0.4133036706670472,0.8427711445700486,0.68919024794914,0.07573112064279264,0.9405064355012828,0.47740854413704226,1123.2316673444443,1060.8305865333334,992.6164053055558,916.9680852855556,810.0006667433333,9.330603175822224,18.439350077555552,34.82853995944444,66.16308645688889,107.3987997281111,2.059927570188889,4.221954173,8.008204727933332,14.464166574455556,22.5895059668,224.05000130739882,206.6220773610085,186.5266925569886,160.91691659928114,130.33613948436079,345.07730919514216,428.3285671116525,59.10335632280544,6.777500208090079,0.5900168455813318,36.121890413873096,0.6443125282033142,7.136553676944723,0.7572877320202454,5.166232867781587,6.661191726666664,3.389191659380734,0.23207204951365565,0.619822015857891,True
36,0.518658035008241,0.31138299590673496,0.6071266007316541,0.15444416039988937,0.2127486444609622,0.4518727744791428,0.9803336867252418,0.2167228130194694,1141.483231722222,1081.0324155444443,1017.5990739833334,940.5774633833332,839.6192451388889,8.718370645222222,17.44115089922222,34.79969371522222,62.72681134022222,106.93583610977778,1.927733735177778,3.996690921122222,8.003637367544444,13.948928822055557,22.250295104366668,226.06332101362796,209.50216425162435,189.2843533355021,165.24086591202843,133.9365598010208,348.24676575349326,439.364756234283,265.97056065396777,1.989652580124438,0.24869699132392648,81.35245647669808,5.60158013190856,69.9691468589762,1.6769886279328832,2.354998591253415,3.3190615247092485,5.296231694770716,0.6842736652865933,1.9407787086503463,True
38,0.5394882525535534,0.18479541818011816,0.6657827060534226,0.11281930603806871,0.5643869289232352,0.9755339495784244,0.33205236927378967,0.4444950063971489,1120.1296458888887,1056.1427243811113,989.2460955955556,905.4840106244444,802.3026473066666,9.697730649766664,19.206392967,38.72321632111111,65.00334824766666,125.17802760544444,2.132763385355556,4.359555429,8.7072592072,14.33472750133333,24.168586887744446,218.66918509743763,201.71726723327924,180.32883235041453,156.57354430782064,120.73839247491895,342.2625808908885,433.7958352699475,195.5238786473749,60.30250290777978,1.9520678794821726,4.999996686908388,13.085721010965,7.816694856682267,1.403824598304081,11.414282629181045,11.222994934479235,1.1200047191310902,1.0458595782096376,0.6486856774820127,True
39,0.5492713472375284,0.37356978036987903,0.5754439940593347,0.5136624698432815,0.6603208831328927,0.286343790278236,0.5464120710843066,0.8018361537066832,1127.1480443,1065.0654994777778,996.9257438533332,922.5453621177778,818.1914340388888,8.371923289033331,17.012044971777776,31.599836085333333,61.24455926188889,102.61968993044444,1.8604998613777777,3.9116676423555554,7.374596458555557,13.756716427,21.551538237177777,227.15285912468585,209.85181834568797,190.3539104920321,165.01879914121352,133.93958652143888,346.7424672965834,427.02152769374777,6.732367805386767,9.691107268495985,0.0711379485978938,90.28749469414672,0.7438498376759094,15.82824189161593,0.21714394528736064,4.008751394458108,2.39503540233871,5.522379451884304,0.24935448611756042,0.9230794214042295,True
40,0.551224161545182,0.3217863772293101,0.6062637989149876,0.33040393092662734,0.6893317505067437,0.8440709798495573,0.2574105665917486,0.2985044307910456,1141.0037801888886,1075.0050120111111,1008.89799899,919.8448972666667,804.9993737055556,10.095720696022225,20.427514350222225,42.87796951511112,68.25144926533332,119.98776096922224,2.216066507555556,4.628845330544444,9.5071587642,14.94026572282222,24.21966433515556,218.42261404985308,200.52054886099512,179.0317470889227,155.02959285300878,121.13653587752556,341.50789183928424,435.0956175254643,127.00479503056026,52.95622780094806,2.8808225906344305,4.90931011119969,19.115329768997295,16.774082914890478,1.0393727291983206,16.293094619122776,16.502527949584827,1.2541496941120467,1.264053475400646,0.9502592866506543,True
41,0.5547321628780534,0.2726115765805243,0.6562815392728402,0.27356366095603807,0.8630297006122949,0.9203441729119208,0.09289163241693642,0.9076764887734541,1129.896316411111,1072.1215801333333,1004.3250856511112,924.599421941111,829.3680397655555,7.903492735688888,17.804279336,32.76613181044445,59.40821111000001,105.96920871044443,1.7638914699666666,4.071773646055555,7.573389397966667,13.362668311088887,21.814835715224117,224.78771633573538,207.4636717093205,188.58969773765259,163.70411838405283,132.0394130826696,347.4905915859177,432.2233773903774,20.60571736968646,2.7437821991023013,0.029548307908976827,56.794490150384014,2.5940052566288565,1.496652239286567,0.4431942581567008,3.245441297444475,2.2138928112342073,4.397908049341463,0.46565039491086185,0.2838462622685335,True
43,0.5909004420794673,0.1468905213067351,0.5225309311840922,0.7531752218650595,0.9641341507412605,0.11904206804034537,0.8895297091456877,0.23564459255107878,1128.7301013111112,1069.4746650666666,1003.1377909411112,930.1572962511112,830.3413286677777,8.301494451055556,17.332500730222225,33.827592626777786,60.95011342955555,105.92432178133332,1.8423758986333332,3.977372130711111,7.7902516824444445,13.651167837244444,22.00310406245556,229.10626558762425,211.59672137346075,191.12609935771042,167.20221142575843,135.02204568635034,348.175055548267,434.0707326831352,28.317660729400586,2.185132779289825,0.09511158083887516,122.18283120651499,5.267279969631081,9.429399211274648,0.49334858705537926,1.8959154447368767,2.2843039491571364,6.414512478926966,0.6635409819206045,0.7124669798457519,True
45,0.600727998322146,0.42990489396066933,0.5869362587266967,0.48557033964884333,0.559719451906813,0.5491597636740132,0.5866758176881841,0.1128287304196462,1119.4834470555554,1060.8797783888888,995.9865824311112,922.7961797066667,828.9912091622223,8.376416228544445,17.68279703977778,33.37756188955556,62.73311709433334,111.98439483122222,1.858053528111111,4.059482856344444,7.696756985155555,13.955757127744445,22.779197632133325,224.35562965288682,207.5383268796966,188.13124452344218,163.64333560629964,131.49485887753133,347.9156367679826,436.97129512807186,32.15746539999551,2.3445277108368066,0.44161198361181137,52.54145410997778,4.143817051162741,35.65636550653471,0.5128927049548343,1.9921205679914047,2.989795354929071,4.219734367893306,0.5885384433857476,1.3854513058171365,True
47,0.6242103283877671,0.44888860792550844,0.5387045420085581,0.5492782670833228,0.7163265942844461,0.032150465760646146,0.7747752690253067,0.2622081163864469,1132.1071384,1069.5993547333337,999.1488432044443,914.9704448911112,808.0114819966666,8.763980248988888,19.750378815,36.293130171,66.92809358355558,120.90883496033334,1.9425807023333328,4.492092951722222,8.314340520355557,14.89163325532222,24.195431530433325,221.24143440023747,203.4480658333526,183.52185566554328,157.08029324629007,122.45028597108283,342.28679010870417,434.90751752243364,58.373747298086265,37.05515790771346,2.1594943027344784,9.606522097739136,12.911157322906178,15.268693188125903,0.667746704396732,8.263105769111803,9.705613087151555,1.4963941820026239,1.038860266941086,0.9066165945321663,True
48,0.6374182265145424,0.22373733272597623,0.6646485987714555,0.08063111964441003,0.5996727691757114,0.21331591355708587,0.6591290806022648,0.22457186812111676,1115.3236303333333,1056.675439177778,988.6338559444443,908.564435831111,811.9823582977778,8.705593797577778,18.357128001444444,34.75881085733333,60.38260674055556,114.30247093388887,1.9261991544555557,4.195696256466666,7.984154184255555,13.592710542744443,22.96443146125,222.39273329189226,204.92793018370983,185.22133020324196,161.19817791688556,127.30881320600895,345.3172920353285,429.8649430628262,136.28437275265932,5.559702964492255,0.4961684672018848,20.747251529671153,0.31664025350476166,1.2883542506263042,1.1891451209021133,2.5755824455978966,4.084741404732306,2.4731743032954756,0.16268878358723182,0.2633542777665364,True
