,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,temperature,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,0.30718481786419005,0.3742833730766265,0.26882025629155065,0.2948257712594941,0.4948267500515876,0.2983492995887712,0.3008161974737437,0.07999953447344568,300,937.1241873266667,61.008784469888894,14.117327158321755,13.51829245738889,-94118.09871511112,-33376.46632844445
1,0.30718481786419005,0.3742833730766265,0.26882025629155065,0.2948257712594941,0.4948267500515876,0.2983492995887712,0.3008161974737437,0.07999953447344568,260,1078.2804248111113,16.472645639333333,17.91234791681411,3.797490252566667,-105824.91941266667,-25265.26118511111
2,0.30718481786419005,0.3742833730766265,0.26882025629155065,0.2948257712594941,0.4948267500515876,0.2983492995887712,0.3008161974737437,0.07999953447344568,320,833.1687950933333,101.55507607488887,11.52407169466607,21.442763308288885,-88046.48826833331,-37560.98065533333
3,0.30718481786419005,0.3742833730766265,0.26882025629155065,0.2948257712594941,0.4948267500515876,0.2983492995887712,0.3008161974737437,0.07999953447344568,240,1140.457788677778,7.705409641644444,19.38963680707877,1.7227256211888888,-109535.42919555555,-23268.878867444444
4,0.30718481786419005,0.3742833730766265,0.26882025629155065,0.2948257712594941,0.4948267500515876,0.2983492995887712,0.3008161974737437,0.07999953447344568,280,1013.13953114,31.760377126777776,16.264012363797573,7.390628202055557,-101730.87471744443,-27659.827617777777
5,0.31604789649603143,0.3789097649618,0.2896781563244335,0.2713681816093809,0.32374433336602443,0.5792204452567524,0.27088341141530164,0.026487595455901725,280,996.2368684977778,34.625499354444436,15.820797234781494,7.9369362111666675,-99240.42306877777,-30497.067559333333
6,0.31604789649603143,0.3789097649618,0.2896781563244335,0.2713681816093809,0.32374433336602443,0.5792204452567524,0.27088341141530164,0.026487595455901725,300,919.2783559733333,58.044760629555554,13.895150685917379,13.169700326566668,-96551.93179233333,-31757.196817444452
7,0.31604789649603143,0.3789097649618,0.2896781563244335,0.2713681816093809,0.32374433336602443,0.5792204452567524,0.27088341141530164,0.026487595455901725,240,1118.9973526777776,7.8734865713,18.935497611490373,1.763561898833333,-109347.87845777778,-23953.372608666665
8,0.31604789649603143,0.3789097649618,0.2896781563244335,0.2713681816093809,0.32374433336602443,0.5792204452567524,0.27088341141530164,0.026487595455901725,320,826.6860304555555,104.069566312,11.266861849930391,21.63950459597778,-87170.11690966667,-39127.63477344444
9,0.31604789649603143,0.3789097649618,0.2896781563244335,0.2713681816093809,0.32374433336602443,0.5792204452567524,0.27088341141530164,0.026487595455901725,260,1061.4728168444444,17.153355219555554,17.533680605408684,3.946000411011111,-105067.349135,-26514.16104455556
10,0.3163439286230185,0.3503671981781302,0.3110491668735049,0.23524081126082746,0.4854536742388501,0.3621271529621426,0.29339066307291006,0.045995775361947405,240,1115.667876611111,8.212743541111111,18.96373487959252,1.832603969733333,-108435.91977555555,-25037.69146255555
11,0.3163439286230185,0.3503671981781302,0.3110491668735049,0.23524081126082746,0.4854536742388501,0.3621271529621426,0.29339066307291006,0.045995775361947405,320,806.5344105977779,109.537311489,10.870548223405425,22.5066800466,-85995.359859,-40419.43540233333
12,0.3163439286230185,0.3503671981781302,0.3110491668735049,0.23524081126082746,0.4854536742388501,0.3621271529621426,0.29339066307291006,0.045995775361947405,260,1054.8265558777778,18.17568935711111,17.44489805319838,4.1628103282,-103508.21140222222,-28183.722013333336
13,0.3163439286230185,0.3503671981781302,0.3110491668735049,0.23524081126082746,0.4854536742388501,0.3621271529621426,0.29339066307291006,0.045995775361947405,280,989.0898573944445,35.00999898522222,15.765165476894925,8.031920562622222,-99100.94823277777,-30847.23414066667
14,0.3163439286230185,0.3503671981781302,0.3110491668735049,0.23524081126082746,0.4854536742388501,0.3621271529621426,0.29339066307291006,0.045995775361947405,300,911.7186094488889,64.49479071255556,13.605679867888067,14.215718561822221,-92602.95026166667,-35557.574619666666
15,0.31832883831348985,0.32736644476064397,0.2851217446286114,0.2968235121140068,0.5690114910909917,0.4351421793601283,0.328973311505119,0.051933772605973795,240,1113.4498516666667,7.983831698377776,19.256159517296766,1.7813971106222222,-107804.78796333332,-23930.33999111111
16,0.31832883831348985,0.32736644476064397,0.2851217446286114,0.2968235121140068,0.5690114910909917,0.4351421793601283,0.328973311505119,0.051933772605973795,280,986.4258627977777,32.862294323,16.051816930531245,7.589368771744444,-99814.3548951111,-28428.821880333333
17,0.31832883831348985,0.32736644476064397,0.2851217446286114,0.2968235121140068,0.5690114910909917,0.4351421793601283,0.328973311505119,0.051933772605973795,320,812.7833449677778,111.45242892022222,11.053489113931859,22.690927564755555,-82964.99128644445,-41424.199740111115
18,0.31832883831348985,0.32736644476064397,0.2851217446286114,0.2968235121140068,0.5690114910909917,0.4351421793601283,0.328973311505119,0.051933772605973795,260,1051.8463459333334,17.20985876533333,17.763054491197767,3.9641211037999997,-103771.8675911111,-26206.521086222223
19,0.31832883831348985,0.32736644476064397,0.2851217446286114,0.2968235121140068,0.5690114910909917,0.4351421793601283,0.328973311505119,0.051933772605973795,300,907.2966799233334,60.04358667522222,13.931147618960827,13.427199960266666,-94237.44694133333,-32260.859853222224
20,0.31883538569123127,0.39526755498533345,0.30121984341518204,0.2111966653668543,0.4656030338863325,0.4897355109001278,0.20816359071573734,0.051644483776554416,240,1118.5087782888888,7.2234169558,18.995643118990444,1.6260468850888887,-112470.60526777778,-22144.855243888887
