temperature,liq_density,vap_density,Pvap,Hvap
140,1640.053,5.297,0.684,138.62
150,1579.068,10.292,1.397,133.23
170,1464.499,30.378,4.393,120.14
190,1334.748,73.208,10.665,103.68
210,1146.782,165.892,21.863,77.49
220,1000.626,260.039,29.945,56.52
