,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
44933,0.5483259515382695,0.43776316575410024,0.26083347517152544,0.6921913495089541
64395,0.6673890570072267,0.45266539074520157,0.2947077843430865,0.5836232280464116
100863,0.533482788882475,0.458127136512183,0.47342830979449774,0.6033533712388692
83740,0.7136151944563776,0.45575923267238777,0.35205386414365425,0.5043114806328727
61585,0.6371811359057343,0.43274689307675407,0.24277688075374537,0.6558496524939954
121755,0.548530311440747,0.4721331375097235,0.5356078701162746,0.5491378175500944
41492,0.5714261039868433,0.43551681708761225,0.2772182935336811,0.6872811051308921
78067,0.3849399905712453,0.4471711030857888,0.4440217310169582,0.7733093644289888
25578,0.11140056865054301,0.4440869550261949,0.9047918735192279,0.9092828263227581
80035,0.5169794392302252,0.4628332770051676,0.542467381230497,0.5859916474252452
13135,0.12597662482581992,0.44220196907305365,0.850311605545451,0.9098919520409273
124413,0.07507041401032798,0.4352330860633319,0.8491546411337013,0.9604728348624966
48847,0.051908338309119825,0.43768068364533486,0.904543743132165,0.9464371967963329
106263,0.5756612274966969,0.44341827203568135,0.25320507930048075,0.7057814575351938
111241,0.48042949411084607,0.4265509174398664,0.24072495092876464,0.7944642473152845
93096,0.4293833963999004,0.4630407865989941,0.5806170064966125,0.6666384141632457
47697,0.5698311815662372,0.42846210205607715,0.32414685661133996,0.6476421576575315
101407,0.46621709497611336,0.43104569770355744,0.1554646169346842,0.8755674249764881
135234,0.5105196356446222,0.4543983642965786,0.31938198848349986,0.7123036591663467
82559,0.5743022755008914,0.4217866082051943,0.2678801253319436,0.6830445415430632
58967,0.39479897932869845,0.43911640243382255,0.43554976098077053,0.7655130704895593
51070,0.37164572185938644,0.4642316485509626,0.5896058704721252,0.7261844665510809
19796,0.5975539130527773,0.4526571993087377,0.3389659059865732,0.5979460657556488
99746,0.505973081628971,0.4247744867846346,0.1007802405369582,0.8935583454734148
54016,0.2691716339466902,0.44769394840096516,0.47052923433313115,0.8660737811844217
102009,0.5209954678109882,0.4456062088004982,0.3546596321538019,0.6516920695465823
114143,0.3590198859297524,0.46478228329672416,0.6125675997949219,0.7328302864102821
47395,0.43437120386046946,0.4622747805928683,0.47845950612260013,0.6950309932667782
30795,0.6333013765627071,0.4633709879635475,0.3420561400905305,0.5868369901928209
18060,0.06381936947699522,0.43126071375904496,0.9600284047563595,0.9468241250729277
84277,0.2634024201513567,0.4433526190582309,0.6525008250207348,0.8233634361426589
5782,0.49923691461226716,0.4632754652529809,0.39126805431693445,0.6846988725475894
136911,0.5506763555746199,0.43449775608301155,0.09725959884311482,0.8633887199805163
89451,0.3766401407789655,0.43917403764214485,0.2093589953913994,0.9135341806347415
51502,0.10170928015854436,0.44812310404864647,0.7579981637728567,0.9500760826697047
33807,0.07534438859692713,0.44432987077491715,0.8158330123883459,0.972465629958927
12689,0.5349106483995318,0.4569672173298402,0.535900824726166,0.5701370362524325
35814,0.5643392552971783,0.46914049133794494,0.4156641352596666,0.6029479506463312
55536,0.4838728430657517,0.441978648142144,0.21824651815228704,0.8177187148624404
