,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
341112,0.7442279731025623,0.3890014273644648,0.11176937536295203,0.655012814106189
78594,0.8690343701188679,0.3544442431863312,0.1431452583300769,0.5274687862440964
18751,0.3808346669336253,0.39696635153951554,0.1781980845388598,0.8751001032248987
178677,0.7030453252023939,0.4443592294521425,0.4394015889196777,0.4282719382531361
297638,0.6442768968419458,0.4508512903701659,0.5074461772192685,0.4464673127807903
182771,0.439330116653214,0.4037340152095787,0.3622774408344382,0.7020424289974498
41974,0.2512290054445033,0.41571669528737437,0.36364671835480883,0.9088185290343915
107772,0.5983025996697845,0.4457650271808518,0.4685685827568422,0.5079361643756231
37872,0.6935647404540345,0.40584242640906915,0.055941060156235234,0.7900128083018056
288662,0.3584386145319775,0.4001072518207071,0.1148532798179865,0.9482932013193028
233139,0.40781537432429665,0.4089580601518121,0.39242811375080644,0.7337703900643288
284762,0.2556251448565311,0.3730276671576034,0.12048142087876895,0.9948610111197435
319799,0.7646583718082857,0.4040597126928919,0.39664421198947836,0.3813772025414542
110380,0.20423631483812285,0.403845011524331,0.24917473569492798,0.9844597429125074
368786,0.30369765748277455,0.40869926823800434,0.3040961882458659,0.8716136924921688
124034,0.3821959132474576,0.402997331480204,0.3563282433319251,0.7597209891620287
203617,0.8883145268079682,0.3543248767834717,0.09395015970841958,0.5863994306312477
370203,0.4833598925456401,0.4364961604473102,0.6209975078565607,0.5454718127625894
336771,0.16652907331280398,0.39906912280841045,0.6439289890275264,0.871735445705649
240855,0.7053911989035846,0.3998529250271336,0.2885680694132239,0.5095824630233955
92504,0.24116135367484545,0.382119108143864,0.2681130739617777,0.9396918052485066
45853,0.39882268798129755,0.4042529620733429,0.19369211220567273,0.8764666548935413
112893,0.5344106905413499,0.4315483941236737,0.33212555157089524,0.6683875103346648
37056,0.8052886218497762,0.39883991342011293,0.10603678501179742,0.6497864180825318
287825,0.49637240125378496,0.4080501416243791,0.13232792010223401,0.8525609121581814
357577,0.2262505785915352,0.3970466061953965,0.5017326080602637,0.8599048374963242
178785,0.15383239304117374,0.38458518756984295,0.2768349911305245,0.9923852128600879
276429,0.6461190844174299,0.39201747971037143,0.14185761933767924,0.6889647171000259
241543,0.7890745269723881,0.3799907628979244,0.06637797292927758,0.705293660421127
217550,0.6917859419676374,0.41778488260107827,0.18128909269031318,0.6366891721632308
364805,0.6165846371522538,0.44166904873828994,0.5904984306846992,0.4064664688749594
178624,0.573883503896875,0.39647295886701645,0.07041830864040251,0.8271930422853502
256399,0.3344733994962062,0.3832904080182672,0.10516952861517435,0.9795259876835083
192219,0.5894175455531656,0.41380417873374076,0.07677843148035504,0.8354051202336236
180428,0.5257925815638811,0.44266360770898017,0.46656194535686596,0.5948219565863077
548,0.5915220385890638,0.42396180790117527,0.36759559643061357,0.5794001008912726
368901,0.927055888382585,0.3332399951098604,0.285320794604391,0.34400737908225515
270623,0.7577678913101926,0.43452297604704515,0.38308068417882385,0.4250475781038784
224,0.5458615677215815,0.38660763058442443,0.08513183939400029,0.8204655928330519
120851,0.3386551476310838,0.40720537029816556,0.4208285078958552,0.7709131142943491
372628,0.6173917666341835,0.4061558566829891,0.03833716948553262,0.8689923778813153
28151,0.2671878361187806,0.4047860756785395,0.3812091813378185,0.8821654252943879
350558,0.7138085104286909,0.4252655586176023,0.27407695687810385,0.551003718480631
42360,0.8174558414132271,0.395261981079207,0.5666950844359169,0.20892772303794627
300464,0.5282588431882774,0.4339325238859823,0.6102930754154315,0.486904067349609
81491,0.44551036613195005,0.37172876955758577,0.08352367545115102,0.9001594115916509
320649,0.34377434775030585,0.37782747386210574,0.21609898206877,0.8671913139052889
145934,0.7435331321257413,0.3898995604788354,0.08935336548915557,0.7077468516229738
294828,0.8206303071977519,0.38589070913529044,0.1508924296952356,0.5603231090461263
273873,0.733354256517232,0.43784146809993296,0.6282226691166906,0.2633803351792558
356531,0.7307658854234677,0.41117747358351736,0.31817108622273044,0.4668334514048034
339909,0.14201057402255998,0.40094179575336264,0.31570726744639843,0.9992804516223804
97567,0.3508843744066338,0.4009780199086461,0.40794361382642635,0.7769366424529306
116318,0.3412651042378892,0.3815913037767798,0.14783725766218242,0.9376455104561414
267271,0.6171571470423382,0.4482835063770735,0.4608017538659425,0.49527208226079356
268537,0.8039342293275576,0.372025002954905,0.006898280712329022,0.7645110317743234
123214,0.7625514771353287,0.42831454280127373,0.6178260268517815,0.23579045448534047
310114,0.5627395798972171,0.45472156439517225,0.5904088276361708,0.48666182822359205
273909,0.4456068095198876,0.4426170965967862,0.5092590437873641,0.6532065658903082
56124,0.5172090006321688,0.4294003356030817,0.3762893542463824,0.6331773651027937
249780,0.12881617851352173,0.40948079264131115,0.6577518478597325,0.9196658472402375
11190,0.5407693833807351,0.4289110643535648,0.594186745013895,0.47782411201180786
314909,0.35393558996916286,0.43276159482208437,0.5761421602755955,0.7105591827919974
43963,0.2903626649473642,0.4229090914569489,0.4132421324142501,0.854412883655661
345698,0.23838069205663753,0.4178559343525343,0.6772963348318867,0.7944856170362066
49618,0.8496958064542255,0.3830950533476751,0.20019234822919457,0.505719863341414
97457,0.867011279056637,0.35855082928797005,0.5568698567802818,0.15711065754289325
3830,0.4162394070550202,0.4093761492955184,0.15675497093890187,0.8976281486978593
74804,0.9812848065831727,0.26861229095318906,0.22173123488106125,0.37747152821010466
352024,0.8773099948601141,0.38494323585067314,0.40313925594284483,0.29051392801920245
808,0.707050199007265,0.42287526096120215,0.5769506852531884,0.3133318989317425
124510,0.26501365674330263,0.4015157170895147,0.6362340371350567,0.7556611894188074
52875,0.6670646604366157,0.4105730944336252,0.059577863236802094,0.7997163211754049
13245,0.3220643672242453,0.40362644423199046,0.39149296990744503,0.7986341572505632
344493,0.9799016675604647,0.2829358556876583,0.00020450956414892136,0.6897873180211375
219941,0.2723139289514915,0.4194255897367278,0.7264427659662613,0.7306223544619642
61644,0.6956693292907103,0.44195920121675114,0.3883063322984159,0.46665727804506774
325049,0.8540299468263792,0.3689047665298999,0.03560252225945529,0.6966536994868996
349281,0.4100308623622765,0.366247850999908,0.08442087881617337,0.917886462229244
351836,0.30906545899610893,0.40008587335925055,0.4903939346467698,0.7790891367890029
26305,0.6822175779090824,0.4441511201679392,0.4114296851818223,0.4782900923906302
201231,0.35739867074802145,0.4180632712964763,0.7239785128260664,0.6251508385010337
63538,0.8701013176066263,0.37659588451457165,0.16250490276258683,0.536263125815559
84613,0.30027624028033206,0.4200683457031743,0.5123266249721641,0.7994480022480766
347561,0.12931188458243892,0.4127167821283757,0.6411179056892348,0.9249491899325013
204299,0.1779991182831392,0.4010354686118042,0.7551247018730247,0.8188452568763647
66383,0.5509032556141107,0.44028467511392133,0.7268978197245615,0.41051140261232316
165773,0.76100782608441,0.40927425484957614,0.45292771047593466,0.34735282780146953
40003,0.13129842410824644,0.41361542751491426,0.5229544670222882,0.9654047857017781
368210,0.46360675524144057,0.4080189738764656,0.22991073770133671,0.7703229630536294
36414,0.1257232473036492,0.406322903827999,0.38545674309778905,0.9918269874268074
369374,0.7961070867629482,0.41266662893324896,0.3035065279306014,0.43493435240966305
69246,0.8689960997597251,0.39607566979221615,0.2764636448716067,0.41548672013270715
121900,0.11423145460236345,0.40628030522222186,0.5307806710311342,0.957306178544018
294680,0.45941825728638047,0.38341827062601264,0.21527750532251588,0.778212441727667
31128,0.4147800693635998,0.4407429822277713,0.5915243133046227,0.6376858932149158
248757,0.6878741179468412,0.44270632465829013,0.3780046558799282,0.49811677983449154
233541,0.7022801770799747,0.3678622901973726,0.09592810094443951,0.695010032426099
13768,0.4803973929202976,0.3867067365040559,0.23911132663884263,0.7395181317706851
94430,0.5879056183160984,0.36710784130464413,0.07208772426511965,0.79793172595702
111966,0.7529858756181891,0.39157924349342704,0.32835310243817095,0.43099478419453424
23598,0.3391610933658076,0.41290272159819286,0.7151954133743275,0.648020529653447
182613,0.5580037612285271,0.38367587672575804,0.1825287131695142,0.7203790168249278
25200,0.9642539773974815,0.32137301104449817,0.20392398214965235,0.4226108658547193
20373,0.8783302990523777,0.34561869084435354,0.24252489001889685,0.4049743002943844
283226,0.8199554173612681,0.40056432176672374,0.10774829555656815,0.6437241331959502
207192,0.6735842453688625,0.4405270450229569,0.7710870215983273,0.24163354217173588
241008,0.7204604790059792,0.3630809751244188,0.06990373175067337,0.7160152585217976
278278,0.3065724464121141,0.4295515732999291,0.5265644778520696,0.7846531673947555
300535,0.3607832828868199,0.42550336068763933,0.5955517225647917,0.679651209908115
199039,0.06076662781020615,0.41303039511195266,0.6353857327378284,0.9997945847223175
157786,0.8057735677508955,0.42223117321252707,0.6277064952331579,0.19416110720826504
62426,0.16374143545090328,0.4142201117173366,0.3507229928534694,0.9834099849555684
68233,0.8814192256620286,0.36992976737918065,0.027416561549672137,0.715653991181404
155214,0.9051376076758644,0.35587656257264816,0.09304289763552245,0.5832023757486147
5583,0.9958876561834925,0.294068412924277,0.03845511360135187,0.6357361852568821
182254,0.5763826358490766,0.3684173044754957,0.02632096265605169,0.85275667192566
370813,0.6652474395659983,0.38647648237509624,0.20070882136951093,0.6120132155812368
289529,0.2727995998460464,0.4129875155916195,0.5823920924595639,0.7744656694524065
232808,0.8502468943587022,0.3584604750249801,0.26134091307089513,0.4189262114037328
272294,0.7516582699815015,0.4056183602583463,0.5273317775920024,0.2881148797346404
184337,0.8906078560103498,0.32760780780845217,0.09329668288623172,0.5814614269281048
186896,0.9383397861110867,0.32612566921212205,0.017310028616707353,0.6772578099413427
358175,0.8611126899742824,0.3513149530586999,0.12354703502183845,0.569888875635075
100860,0.8963228589658663,0.32915166245284094,0.2018660744989091,0.4326435933378625
361280,0.957532750963831,0.29583058054026273,0.20295312610770233,0.41536266556317314
224718,0.4463351460974914,0.39462858559328406,0.10684799288272953,0.878414632140684
14854,0.9721614188338553,0.313993223488501,0.10414777159538226,0.5476317764493571
199446,0.665567699912789,0.4418433603246827,0.26045048413679883,0.6091431196397121
147077,0.09040463087805321,0.3837259825877302,0.48219540480587814,0.9722264341217396
268090,0.08874844014744376,0.4109862060644765,0.6669706311103895,0.9648097159153164
220394,0.6914778790752371,0.4575454403186367,0.5600722116518522,0.37111419828501596
319784,0.6847249143559359,0.4559015776196986,0.7325728069511029,0.2692888775815106
321410,0.4752259242273649,0.43057427869659687,0.6989969318591246,0.4994618279391646
201071,0.2511392342113798,0.41672430113191666,0.8136372085680829,0.7236571944292511
273699,0.40479859965692483,0.4005190840945793,0.22389859715853125,0.8197177698415047
9743,0.28691829909050826,0.39862327004595843,0.41386266920813347,0.8177844072167274
110868,0.3427476528783128,0.43250721412068716,0.43477222123960274,0.7928769689438866
253968,0.8360136169863852,0.39557925384985876,0.10530388206838924,0.6374270088035117
83499,0.19325215068200094,0.4014753645131185,0.4994844180738554,0.8806576917492784
211992,0.6337221614619566,0.4027948999225196,0.3181827755583727,0.5448185151848426
106087,0.6071138281300636,0.4611774592961565,0.6839942196581543,0.3889534408464741
204250,0.7382638415600116,0.4418369193938976,0.7222673569632433,0.20345134582244595
38528,0.9355215417852454,0.2995330740636059,0.21399308667686173,0.4046973917030105
111705,0.7665813047612965,0.44002329887856734,0.3730518210876731,0.42502579895417253
203874,0.3863570416089862,0.435254683510471,0.771962988765071,0.5821898466505536
242028,0.38169244893075976,0.41664948720885786,0.3282666206386643,0.8119274881133185
366993,0.6021273731666187,0.40297596007857206,0.0627506320921803,0.8501444017653722
42342,0.8329183485422111,0.4096045751707898,0.3524103125310359,0.3831250935311799
266175,0.7958104739549372,0.3818114341426688,0.24824989788680155,0.4810571676789905
113871,0.3377195711075506,0.4024840052791247,0.15650103171197777,0.9575566057685273
10742,0.9693801851890228,0.26974794588405554,0.3679255791661221,0.23840612192065663
281392,0.8236639667120494,0.4180036677747702,0.5770025799566908,0.21310636530237587
266443,0.9070793791275151,0.3429068374946324,0.1368014481828141,0.5338407009043415
175192,0.3389875301085388,0.43046577455365587,0.7640275617291693,0.6497933000723742
62590,0.8276490765740991,0.36956716435880044,0.2242368966848412,0.4607537062573391
346159,0.735258025704246,0.42241787442037876,0.6867153107089917,0.2173884826501345
116860,0.6860907350896138,0.4228079062855719,0.11951458970785143,0.7308708602215429
280780,0.324740680887308,0.38841116943021137,0.17722232379243985,0.9391174029408239
5194,0.4585254677517372,0.4135246106012933,0.5740184663326187,0.5717668081633723
310458,0.5239605822969082,0.4266817698128084,0.26522843669130725,0.7297209287010777
123672,0.3631351991050151,0.3774492337873176,0.25291219442578805,0.8288335253717033
201538,0.6716250414582677,0.45642901179600437,0.4602800605529994,0.459540868063544
75143,0.17566826506648076,0.3957411768672472,0.48192444557991215,0.9244755098023504
8525,0.590250267723995,0.38893883055090156,0.009000288309600871,0.8846222231401631
268201,0.9332607276037572,0.29251095600387284,0.5365031722909092,0.11455222053798025
293453,0.09159784984835792,0.37552158549993386,0.41085506544139594,0.9877181050679099
142819,0.9050831206014682,0.3209927372533171,0.12710153169649013,0.5127736551225295
154821,0.47077159829322784,0.44016991950608425,0.40889162764689124,0.6891956995627854
241157,0.4034900072073391,0.36957211622743086,0.09111616360112043,0.925133498969823
71423,0.6579194439253716,0.4467187209690939,0.29821441746799465,0.5853313328338247
142144,0.2943960327035876,0.3843404222333596,0.41724819177424405,0.8080637935619676
33432,0.5900415175526669,0.3632101836600739,0.0607436943097664,0.8040783323201691
208359,0.7938368682542429,0.4148984802148842,0.7934434383753841,0.08953603274773966
11585,0.6243883840138161,0.4455549464902335,0.7818612704291967,0.30020082098648315
52201,0.9038067974837275,0.31434335918723244,0.6131503125074785,0.07359447459550877
262828,0.9212311164643,0.30560222017058636,0.4624793254457259,0.18411487020614534
66401,0.10036378767350697,0.38255359375097,0.6276467253286032,0.9244390310190802
306775,0.07419683214455741,0.3950659793802268,0.8043499198050847,0.9163500892739801
35227,0.9440461543942329,0.33491715831641855,0.31982810517368426,0.3129795559289657
84555,0.6116627481565192,0.4263698890371306,0.5879520644179171,0.4080448076489262
268466,0.9895419833208542,0.25735142213556345,0.05476718577649434,0.5815999862145906
90170,0.7156920048032223,0.40771267370558867,0.18815374078957897,0.6248863140383619
249199,0.366984537475781,0.38605930830483964,0.10086907408652782,0.9655285512715357
136576,0.9701050396121986,0.23987155269952645,0.34293909138894835,0.2435872278800934
80700,0.686206570987135,0.45990570195936453,0.7245503987732099,0.2757591691198141
182644,0.6448838113352273,0.37462493810168973,0.1281695581731651,0.6929943621184648
216843,0.2521335353444302,0.39006506253812717,0.5437585067318124,0.794420936910698
330749,0.4192463395377804,0.445335878768459,0.5629054359717762,0.6525958812854386
53939,0.8268826509184671,0.42336098855941456,0.4349155430871175,0.32346481177424347
280174,0.813999003354344,0.40145367809842736,0.8001241792379544,0.06332050963653227
168845,0.4662564980831004,0.4316214538020961,0.6180283794970343,0.5485260311534838
286797,0.5763565862295701,0.4056585521333629,0.38609390297274176,0.5537374730222295
244743,0.21359803424312065,0.41822153404889706,0.7942244951743067,0.7765567596679988
238745,0.24563196796233552,0.3952048551488851,0.436275048851582,0.8455361485998119
366887,0.31681790891851047,0.4237335354778376,0.6675279383165265,0.7169249462261645
220621,0.8532377746250766,0.39729334117391996,0.21071010527565934,0.5033936657512663
7910,0.8787663108382547,0.33881507122990545,0.6887508995196342,0.05055069437653752
323785,0.8174486370962785,0.3847253532527243,0.022560803285394518,0.7681351081434376
285420,0.33862449135822736,0.4215589036428753,0.8077832948489505,0.6227955147578509
300109,0.13890115465628436,0.3996626462536816,0.7850944773093455,0.8492911241419022
235205,0.5657121170647998,0.41065798821890126,0.4457264317288068,0.5294288776771708
203807,0.3997254566153935,0.4224477421587759,0.6576089184492163,0.618437268307592
353934,0.39027729558236307,0.4023335790530363,0.539240245488852,0.6556600083408072
86542,0.2540729981284426,0.4081777057047437,0.7872441382821131,0.7151360878195311
300550,0.023164842387700234,0.4042384122196226,0.8655145414795612,0.9659842985365471
181147,0.19047885539887494,0.40854934047663627,0.4250422891260937,0.9177648021464292
