,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
655,0.7138085104286909,0.4252655586176023,0.2740769568781038,0.551003718480631
195,0.2477623642599974,0.4361073491185967,0.7689249107616686,0.7746556432105139
258,0.3219469318228912,0.4354789683646698,0.4845163343366536,0.8141838844029259
182,0.228615131726481,0.4405586368322225,0.9370694826293736,0.7571650976905933
160,0.2030304119381412,0.4399836874798529,0.9046419855750484,0.7957742073957906
166,0.2124466968452863,0.4433789493989618,0.9974223382139312,0.7704044000162068
213,0.2671878361187806,0.4047860756785395,0.3812091813378185,0.8821654252943879
373,0.4456068095198876,0.4426170965967862,0.5092590437873641,0.6532065658903082
359,0.4344383990092295,0.4627044977683712,0.7293562219255997,0.5801500703396711
143,0.1818839363557874,0.4002641947106357,0.3460647535407125,0.9791982201872852
622,0.690825321606932,0.4237417718276357,0.2997700586907924,0.5344640051048666
610,0.6821822172568124,0.439357946644446,0.25027569099146,0.6120232265551021
133,0.1665290733128039,0.3990691228084104,0.6439289890275264,0.871735445705649
401,0.471238034172608,0.3912919720493829,0.1463277816493458,0.8318996588930749
84,0.1081092520291135,0.4253258229249362,0.8383423851519991,0.8982257272206908
136,0.1724854104383206,0.414053868605496,0.5322838437810467,0.904179180782342
351,0.4232761735077842,0.4500899043429283,0.4097258959626104,0.7637706007417346
399,0.4707715982932278,0.4401699195060842,0.4088916276468912,0.6891956995627854
408,0.480429494110846,0.4265509174398664,0.2407249509287646,0.7944642473152845
677,0.7423532709863765,0.4242504317541102,0.3226306401879713,0.4711272173176947
458,0.5344106905413499,0.4315483941236737,0.3321255515708952,0.6683875103346648
125,0.151946670882906,0.4207511689130486,0.6060924782558496,0.933136677730013
45,0.0652995846173714,0.383543306032612,0.6906491485796946,0.9373992763416236
597,0.6716250414582677,0.4564290117960043,0.4602800605529994,0.459540868063544
110,0.141212681396875,0.4363450244863283,0.8206564408103127,0.8802810491966869
