,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,sim_liq_density_210K,sim_liq_density_230K,sim_liq_density_250K,sim_liq_density_270K,sim_liq_density_290K,sim_vap_density_210K,sim_vap_density_230K,sim_vap_density_250K,sim_vap_density_270K,sim_vap_density_290K,sim_Pvap_210K,sim_Pvap_230K,sim_Pvap_250K,sim_Pvap_270K,sim_Pvap_290K,sim_Hvap_210K,sim_Hvap_230K,sim_Hvap_250K,sim_Hvap_270K,sim_Hvap_290K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
0,0.6309277484807426,0.6125923815104192,0.4967987553331201,0.8743758490864741,0.9684163956349937,0.8850549964475716,852.6273911566666,804.9391439277776,753.7367853455556,691.3916321644444,617.8895760633333,4.299685977666667,10.134007314888889,21.431719703777777,38.993214474888894,75.16586114722222,2.063792240855556,5.071351431266667,10.735942686,19.24558546778889,33.64475806438889,486.2343126164576,450.4144474011994,407.9614552800492,356.5884749850476,285.34173729649854,316.69082458640173,318.29739559635743,18.726881636801565,1.590828511644974,0.9721520995730432,296.00926932455616,0.34712766798865835,3.194783017877975,0.57630048361372,2.9744125600288087,3.9188309768405887,4.503946789301362,0.18569573045834625,0.5647201024793661,True
5,0.675876599834747,0.15579028153645452,0.8545735479461379,0.9963433791227149,0.43451667706229785,0.9308815914771287,856.3416561077778,806.90864017,749.6834596311112,689.2789222677778,602.8913628466667,4.095482756877778,9.5996134251,20.04248018233333,42.19239214244445,80.87344901077778,1.9553944429555556,4.758803256522222,9.9895584404,19.70725690955556,33.56263608360122,495.7556017501862,458.77768046240067,412.26798433494895,351.57173256847545,272.5250308179178,312.6839706047551,317.4919985996601,44.28943577189866,16.416444315953022,1.0505230653166744,440.27996732513856,21.12348620195518,0.964321249734457,0.7261877332958381,7.995832702372482,6.319676134799613,4.284449568695241,1.4485720484256488,0.3102583171653756,True
8,0.691687924006935,0.5096784621591551,0.5994051838189395,0.949003599574094,0.6812393477329628,0.6940992880470436,848.54253902,801.0673907433334,745.1385830344445,681.5377535144445,595.9139842322221,4.961911952755555,11.872811248855555,23.975548405111116,46.06146761355556,85.31801327411111,2.3640465552666665,5.8154164973333335,11.743015466844444,21.730182344711107,36.35301223606667,475.1632245947288,438.6751399272672,393.09240842272175,337.3807361800167,262.74869861751034,311.4361566112771,318.4126584846922,73.49639614896836,45.78792486615769,6.935469499441696,48.715125051502234,34.15050555191988,3.6201093093712586,0.907702763052004,15.172832245936021,13.52290589571726,1.7070486772236537,1.8418568421340331,0.6011369260662256,True
10,0.6962194875471136,0.3691817829351947,0.7148292228463914,0.9654095121546873,0.5625969904443491,0.7972081733423898,862.875257201111,814.1650675577777,756.4609921366667,692.5651771888888,613.3410543622223,4.363751962977777,10.633215913,21.001897008333337,41.18350032688889,81.10556212488888,2.0950410883222226,5.268646548166666,10.504210068933332,19.78479226203333,34.46061442232222,489.0277698916385,451.66151332944156,407.41844752344747,351.4334226200676,274.07805501907137,313.35240626984535,320.61494920429664,96.4374075130268,15.952192180293938,1.9314631429172806,265.49498502911337,15.425992509149932,16.85060796985566,1.0069892911813119,5.452687782287895,4.881700460361388,3.523903653672185,1.2378951494435912,1.2969413934146299,True
12,0.711219615176734,0.15428673578848306,0.8216793325280268,0.8533134019861944,0.7749001083983516,0.8505751728952163,863.7464754599999,812.3166194488889,755.5331285322222,690.3061201733334,605.4182983844444,4.168576384822223,9.8517830867,20.515174579777774,40.96322861677778,78.66791721866666,1.9830942831333336,4.858011995488889,10.165536743555556,19.371583845111115,33.26843212921111,494.6572771243613,455.9567946559961,410.2680858740802,352.7841313948864,273.7275020999732,312.3745720096446,316.6430333368848,99.95239991026583,8.551883522314704,0.694355530752356,388.5197696233214,24.06322376856172,0.01769786872270664,1.1395793431176637,5.4888508153332145,4.78995750543618,4.163927712321583,1.5460879949430628,0.04203132188076438,True
13,0.7126093267638866,0.297038267202074,0.7638745998860762,0.951179308588914,0.9014213894132331,0.5832334654548667,862.7286414722223,814.0530920633333,760.1934788033333,696.9518525344445,617.86935023,4.158777288366666,9.7111293723,20.51549182955556,39.74337658788889,75.3992499081111,1.9974435397777777,4.84409944251111,10.271355021822222,19.2010865295,32.92743876598889,492.3746320192613,456.0472271830081,412.0626175374701,357.44696270623007,283.6689849017242,315.39455163314483,319.1292257307944,123.64787244704726,1.9400218240743345,0.4426327854798283,430.79685310987105,3.554915544076729,6.860343428855595,1.375462442175857,4.277027404253357,4.109575006662654,5.1658104238399485,0.5942537717016969,0.8275333262122606,True
15,0.7172810548691296,0.45286640624651364,0.6557622384024594,0.8350606150874067,0.661330401553421,0.9165633162185848,840.1740116622221,791.9688319388889,737.7728087555556,674.7985513611111,594.2222883666666,4.738312890544444,10.958578439844446,22.20089194233333,44.471973194,84.14760988022222,2.267599693022222,5.413445415244446,11.050952710866667,21.139909824022222,35.61207277867778,479.0895951560034,442.69053461383265,399.56394519336123,341.3876299142148,265.3096453395133,312.1093790180641,315.8364593803144,163.1729425104664,33.889867574766434,4.591162300240087,83.91322446342278,26.735321338835597,0.4536569663664378,1.7214745861953662,9.56071574224355,8.617576878097852,2.075657504424487,1.6296712625869527,0.21280231894271334,True
16,0.7297690047983351,0.5426134294303427,0.49777569477631345,0.7838732803682906,0.9665130903883522,0.6915769079113455,847.2099253911111,798.1629951455556,745.90465079,683.0381597066666,601.0389505644445,5.110611664433333,10.982562152355554,22.33670887911111,41.45214178311111,78.05073135277777,2.434510671755556,5.459399085922224,11.1650625664,20.196017706066662,34.32391956253333,474.46856346898335,439.475469046241,397.52213547793224,345.11483898741415,271.8288496912489,313.91387751810765,314.4428513271549,39.647314810790036,8.17114399238329,2.1555074846405597,39.69497518309531,11.330780563100904,4.2731036356451115,0.7220433636889412,8.133997549168056,8.723364006546817,1.3640216307248672,1.060931190712405,0.6531069074737179,True
18,0.7394373064119116,0.11676816024765656,0.8543108052029685,0.8011824593392318,0.9988510079911779,0.8809232604570894,847.5404716277778,798.7056374833334,746.95828768,683.4123701344445,605.9315445855556,3.7055713771,8.817021558966667,19.184789816555558,36.334928375111105,69.26249497322222,1.776099554588889,4.400097128744445,9.557626911688889,17.686235498844447,30.600510294411112,501.6296281584136,463.83730875588566,418.91629369645665,365.18375280047167,291.18534235820084,316.0477854286705,309.35266657575147,18.164739418243308,4.4700456793041194,0.6401103251831767,811.0584281791337,1.5183527497966212,51.22742174586505,0.505913732948984,10.322630470934605,9.624177966229722,7.280995895984792,0.38836818309677584,2.261329317951572,True
20,0.7428185956159602,0.45166860353200655,0.5911687379210234,0.8798456505627472,0.7898366319036737,0.5762031072051169,856.4402020477778,806.7620373299999,751.223287241111,689.0925539044445,608.4962114144444,4.966390945411111,11.0042944569,22.528282628222215,43.31597002344444,83.33448315444444,2.3716809530000003,5.443177010688888,11.201027852366668,20.735872987077776,35.68470060053333,476.61767354198923,440.5383842590309,396.8452110931749,343.07355698197387,267.9557577756638,313.0222923616026,320.8324502691414,28.31651638013103,28.209150095404674,4.414483089602014,50.96672236631506,18.128074334067495,18.683576329200797,0.5777450758945061,10.145838105061149,9.593299286075661,1.635518823427641,1.3419401280879324,1.365659937803364,True
22,0.7534237970277288,0.13468371108938254,0.819012709140964,0.9560775777640783,0.6401794901403504,0.6398557186509642,862.6144498677777,814.7638334355555,762.1356513811111,695.0882612966666,615.6873798022222,3.7776352225333327,9.4658162104,19.781343217222226,36.03575073266667,69.29040243766667,1.8153230017777775,4.679207476788889,9.818306607466669,17.583997054133334,30.5928007629,497.02798538674193,459.6079089055772,416.06135763910106,362.9927528380454,289.9086986467139,316.1588961413304,313.45378673309136,127.66256009806287,4.165918563728676,0.5569614279497708,638.4067033905845,1.2568738619238327,9.34043953282831,1.3170912574676858,8.313754074498117,7.7767175329572655,6.519043532785986,0.3533484173819923,0.9655976957785309,True
30,0.80480680600703,0.11744775706070161,0.7641236265081007,0.7914140873322021,0.40986266833075213,0.9227868380236643,859.7505737333333,811.8837503211112,753.9247674455556,696.3875388688889,614.1333714077778,4.4158949627,9.638756922844443,18.819340657,38.91704404666667,72.59825818811112,2.097474231566667,4.776998994788889,9.503613316455557,18.53577819254444,31.63625340927777,491.5429495402379,456.05991768560045,412.79529982872396,357.7053257662203,285.47340611341724,315.7085772624846,315.5888326296977,70.73851667043506,0.7766254000261071,0.15695959049753858,438.942791331632,2.469369419980321,0.8485493241096015,0.9453938172214426,3.798466856918142,3.8562086986317827,5.315818425443839,0.4952794810625873,0.29103894673225844,True
33,0.8201389516410487,0.00967490025346962,0.7966722767588107,0.6704513812012165,0.8316830244205111,0.9033214745801313,847.9700738433334,797.1883071377778,742.3901572222222,675.2236513055556,587.0402320077777,4.372953356733333,10.044808134722224,21.328958813,41.038664681444445,79.94304982033333,2.066926902411111,4.931944014755556,10.41006689058889,19.255370209522223,33.35271712163334,482.9858257952867,445.97218561631894,399.5390539394809,342.87750146357735,262.6964872936058,311.00295746330687,310.2429028225751,185.2514931192614,12.131837562844195,0.7150969542220696,134.03881351122942,39.401263007454574,39.27650703128698,1.5298513226188226,5.096308668214113,3.629897256592276,2.673184677515224,1.9783921257857737,1.980062929267602,True
34,0.8256114459355987,0.12173608185979555,0.7549225894458039,0.7192429511100292,0.6884590601520626,0.8116960344252271,844.2081076722221,792.9571149144444,737.5386779400001,671.8009924622221,579.0211828844446,4.6345410441888895,10.7625868131,22.334761309555557,43.950274921444446,79.45488128566666,2.199902408655555,5.291973592833333,10.917851534477778,20.347962952866663,33.85238637413333,477.3468431911141,439.7942910124265,394.65433977810204,336.920853284715,261.45925841280774,310.0618986981415,308.2885415615835,332.5035929303319,15.313271334006226,1.6644654061835613,68.87497696594626,52.10098640389132,67.59237885460996,2.190686567352102,7.292421275991423,5.301640568660544,2.0542391236214117,2.274994106738054,2.5975351295113915,True
