,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
108452,0.5033730901093252,0.46420926864357426,0.3814170338988172,0.6963485491598793
15493,0.45861500784560055,0.45273392673949225,0.2720144974232571,0.8114564257594797
104055,0.5713572895080593,0.4745919644909405,0.3677792507858859,0.6361741903872435
126212,0.577280373195719,0.479348973429189,0.44043530113544327,0.5953335059486891
53904,0.5218337019324231,0.47012883146296425,0.4744298334558728,0.6319494429409818
57059,0.40690275496766914,0.45775078595773977,0.43322596717538514,0.7689412884460833
102644,0.5430186936130053,0.4707782552704513,0.32380123481670486,0.700612882002588
14829,0.5517346454683711,0.4696993137525289,0.500152424339788,0.5865419530484669
57078,0.4284167777110303,0.4648246367400562,0.45411509152116514,0.7376733987336324
103110,0.4232761735077842,0.45008990434292834,0.40972589596261044,0.7637706007417346
40380,0.6131125648575141,0.4724267794212364,0.3202535110613996,0.6473040362877018
