,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1,sim_liq_density_130K,sim_liq_density_150K,sim_liq_density_170K,sim_liq_density_190K,sim_liq_density_210K,sim_vap_density_130K,sim_vap_density_150K,sim_vap_density_170K,sim_vap_density_190K,sim_vap_density_210K,sim_Pvap_130K,sim_Pvap_150K,sim_Pvap_170K,sim_Pvap_190K,sim_Pvap_210K,sim_Hvap_130K,sim_Hvap_150K,sim_Hvap_170K,sim_Hvap_190K,sim_Hvap_210K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
4,0.13548177330617306,0.4106161625853774,0.6883095830616132,0.8902134410414829,1680.7853812888889,1570.8425817,1451.4640262777775,1308.841900311111,1124.318406788889,2.5086070165444445,10.434084817333332,29.86343371411111,75.9928628571111,171.72310087,0.3032718376722221,1.4129003641888889,4.309294166966667,10.945528284699998,22.55071831753333,146.25468765839304,134.34000706393326,120.612025256966,102.17024192193792,76.23219738490818,226.76161214249953,604.8961652096851,146.44601481739562,1.4242710657321254,0.11212836824088752,5.834345411431237,0.5600843852541303,431.2036973396145,0.7839684037089814,1.1856421972975126,1.6498110653285842,1.5985656481329178,0.32894723638541645,3.3189577973810573,True
6,0.14480331661432255,0.41642050508047007,0.7916443630520307,0.8631380899443264,1683.417077488889,1577.2275126444445,1456.5907360222222,1316.6762969,1130.0372430866666,2.4937052239000006,10.674690558322222,31.010425321333337,71.45081620833335,159.56729071,0.3016178325411111,1.4412388589,4.4409906751222215,10.405316229955556,21.40566662595556,147.3739398619897,135.43859293232057,121.47892299110454,104.09189588923478,78.56583256794168,227.9334107663872,600.1835849893599,50.9583665228387,22.511220629200682,0.05571946282154331,13.076492795188079,0.17927667709260167,649.1297584428008,0.4396193364246112,2.812679227035948,1.6298055874090729,3.064762226824195,0.18610644208483437,4.072173296782596,True
9,0.17248541043832058,0.41405386860549537,0.5322838437810465,0.9041791807823415,1674.5869408222225,1565.7652513888888,1450.7311330888888,1309.7768758666666,1138.191522872222,2.5302193499777776,10.24382978652222,30.02519966122222,72.50669178355555,179.32495318777777,0.30562126807,1.38293212486,4.331528266844445,10.5601339129,22.86985920703222,146.59294010415593,134.63916769160565,121.28780697182593,103.4017860383353,76.37180528501676,227.69101164665452,611.6990733618954,107.73671930557896,19.06837051187524,0.20572780897687148,8.02461119518786,0.03276521622458272,194.95242937041198,0.6751602908660672,2.556654021007325,1.9720959071936155,2.0850147089144446,0.07956206173553923,2.231643497849349,True
16,0.2671878361187806,0.404786075678539,0.3812091813378184,0.8821654252943878,1689.2991778222224,1582.812164388889,1461.697215288889,1322.467146166667,1143.1467630155555,2.4420782441,10.958553108144445,29.332551841222227,70.73661083277779,167.29703019,0.2951965565655555,1.4760750014222224,4.265370798266668,10.326631499122223,21.960074823926668,147.25283479713408,135.36743246929515,121.76580148909576,104.11054476704025,78.13624957867096,228.216804903865,610.3386507060005,19.467968878708522,2.6254803605110597,0.03430061226420038,12.37829170880898,0.49957317212764035,234.79308152556487,0.23876474553029417,3.6060992576707855,3.2743538406492725,2.9310949177532892,0.31066981841018865,2.4490809487255376,True
19,0.3247406808873081,0.3884111694302114,0.1772223237924397,0.9391174029408238,1698.5568256555557,1589.2494995555555,1470.6558478,1331.4337570222224,1150.6255003222225,2.536591740555556,11.117650604655555,31.689180150888888,76.48768851766667,178.8748685688889,0.3068075319011111,1.4953680469666668,4.550129937722222,10.97598413831111,23.073929780166665,147.0360759814996,134.9437100931317,121.01518969476209,103.22359272664828,76.70369005943495,227.59435275380687,619.4049709168796,127.7970257877331,17.834637451094984,0.31795889354741913,8.983765410509317,0.007115387074804559,39.145532616429385,0.7250152691061079,3.8636626367626583,3.7217518191814944,2.2004157252189485,0.0370765038050559,1.0000036734106759,True
20,0.3539355899691625,0.4327615948220845,0.5761421602755954,0.7105591827919971,1679.1322599888888,1569.822981488889,1455.0067355444446,1317.6586979666668,1135.367671388889,2.156228882855556,10.128926253355557,31.525120997444443,76.78049862288889,172.31959626555553,0.2612229586233333,1.370229502311111,4.508608546144445,11.015708826766666,22.442003190633333,146.19268959181534,134.29758190369333,120.61964215489235,102.71285275838517,76.92153665060547,227.71798729396133,610.4037682808969,40.380222572508885,2.680709657629818,0.09454220413563559,6.156565863619708,0.04325871444936006,232.80173392520342,0.4415967909560534,4.923159203722843,5.060242502863197,1.8738853754015616,0.09141896794045892,2.438673154183635,True
21,0.4147800693635996,0.44074298222777114,0.5915243133046226,0.6376858932149158,1675.7259941555556,1569.3107942666666,1454.2453359444444,1314.7240050333332,1134.9982406022225,2.4708124300666667,9.848059877277777,32.81994132933334,74.13377778844445,167.73096156333332,0.2986625493066667,1.334866501527778,4.669150929711111,10.75263660647778,22.04794105571111,145.29232866899332,133.91972216345945,119.86778244420697,102.90792706787197,77.21163166240949,228.09662546819033,606.8941631849132,61.18455234612263,1.8517728465016206,0.023482160698960454,4.273429859976375,0.3441294399295288,352.2170599571127,0.5497837911235849,3.147106979333927,2.9723024801293843,1.6782456783749948,0.2578460147643331,2.9996161687284646,True
23,0.4250745892078796,0.39911115273668,0.1720225394623804,0.8506182468046847,1685.5936565444445,1577.3823676000002,1455.9925519111111,1308.4308387333333,1131.5208548433334,2.4907440995111108,10.471090614422224,31.884488844444444,73.0892932991111,188.71359138444447,0.3014827745955555,1.4164354314111112,4.581159027855556,10.63872469937778,23.88082386998667,144.81845779523246,133.2873178672721,119.39068774263902,101.6675153699489,73.86787771259462,226.14446389750194,614.3320704036425,89.86498434716762,72.48079876461003,0.8198169323521023,2.783715853875834,1.8646888472255787,128.35846746543132,0.5741198687762933,3.607931248272499,2.9115489953241833,1.238455327927684,0.6002092666247879,1.8108094559865113,True
27,0.4712380341726076,0.3912919720493832,0.1463277816493458,0.831899658893075,1692.6339651666667,1583.7488902444447,1462.1240310333335,1317.529106577778,1126.24660723,2.3863348573,10.201019194766666,33.466747976666674,80.61459826633335,186.0467734844445,0.2892269666977777,1.381250483671111,4.779672609333333,11.500742585244444,23.643738189144443,144.46886818451156,132.6293926893038,118.53957985720477,100.3511937350294,73.06767206860661,225.69110517083837,615.6657219952646,99.5331300855734,62.483951370115165,0.802104413022089,2.9721357760985647,3.3083783995508838,99.91777700321374,0.6350089137898923,6.866569667107196,6.300916081943679,1.4285700602132336,0.7994790686834079,1.5976508459158032,True
29,0.49686620995439706,0.43283866645407704,0.44076993733879144,0.6259575670144408,1682.045267877778,1574.0689303333336,1457.1613031999998,1324.311893088889,1141.978616722222,2.6648351272555555,8.958846818011112,28.238068595777776,73.91078225577778,165.78799673,0.3219136955444445,1.218074140748889,4.102063032499999,10.703539875,22.047289540824448,145.2890879052953,134.14956713362807,120.805576077104,103.35003233707104,77.89714466210633,228.6489899060138,608.2792981292027,5.063065243037164,4.789603810993164,0.033036573011675306,5.885406047673898,1.2972980060013686,302.1447659736591,0.12044383749715926,6.22314599234913,5.5517485947406495,2.1390008980439528,0.5006328979006721,2.7782289328567327,True
