,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
2918,0.9215570312245074,0.16563561889958228,0.6828886523062911,0.9392502169196066,0.8137472200481137,0.7254620942805027
2253,0.8710432624373418,0.13848063735949961,0.7976569703282337,0.9836002416963905,0.3322804242327592,0.8985463786383797
1431,0.7556290474069711,0.607763722953496,0.5392257264479183,0.9693325204290493,0.7934657652949149,0.9657902348012851
2861,0.8649416836642796,0.29149758241921814,0.746294289245521,0.9986075634016588,0.2872624463402506,0.8654759488173988
3248,0.8588734651180413,0.336444875096801,0.7276294393384715,0.9872262745752776,0.42119950431856207,0.8452704454168797
1598,0.858408976258332,0.13289963385299158,0.8354504790742974,0.9088246135288092,0.45242950850888597,0.885893900330709
782,0.8773835721153881,0.2266800480202864,0.7556964745626451,0.9935006451264374,0.43587183787063843,0.8394797609968151
588,0.7400027777138578,0.2732758659210811,0.8735745779348918,0.9151406484424487,0.9714214613207558,0.8987673247570332
2354,0.7994664634813896,0.031982116418944814,0.8350044795701194,0.9600397317481296,0.266556847187351,0.8785848032963678
2348,0.8024244340629748,0.03085676160719902,0.8802691694101317,0.9692345915096927,0.9586725362120257,0.6973609456269367
2384,0.6875136831009171,0.023093977395931425,0.9221062091768679,0.9362268773145395,0.8304026482044874,0.8504715857301075
3058,0.8434398377265281,0.20412094211579704,0.7943120017787705,0.978447557786796,0.4740289894804472,0.8640976764798836
3352,0.8643279684000253,0.017438924830263693,0.8880202042607079,0.9111536777495904,0.8601973957765985,0.8909232803160799
1480,0.9134437800610737,0.06841641649611813,0.7565865384791742,0.9081501686219388,0.342028751460564,0.8573561825942536
1170,0.9308162587562472,0.2221171596617998,0.6505368866609302,0.9902144383095803,0.48761922439375516,0.8794520564207088
2857,0.9292355242107544,0.24895545354544743,0.6340267546034357,0.8546531640956915,0.6322199485105875,0.9591626607395268
441,0.803304388445916,0.5497080126539198,0.563392570281063,0.9322402144648329,0.7793377781347925,0.8328926980631403
73,0.8649274778385198,0.1787556640884249,0.7530729899390006,0.9760471144304516,0.2652413915912149,0.9239576870555919
1210,0.7056629203231939,0.17488601095764422,0.8372313433556895,0.9253276838954486,0.9682739233025427,0.8308311444112806
1142,0.6888468355114704,0.3858868834740621,0.750929868687705,0.9692511828464411,0.8677431281174888,0.9058790683699222
1583,0.815609033962324,0.4361892348247961,0.7150393178959198,0.8718809985556284,0.8516301866424147,0.9337440577964327
1016,0.6848607460631603,0.3791191543396775,0.7185866046966187,0.9157471933902173,0.9258217270783325,0.8191746861675486
2180,0.8841544720439802,0.1677888425923602,0.717197868237776,0.9255515156378534,0.4157758528958255,0.9124958550489055
510,0.780835278408202,0.27891096906334495,0.7733699745282677,0.9295799883677576,0.7364128616399275,0.833727335596953
404,0.794580606133008,0.011342753044076287,0.9576437281199401,0.9812706355050074,0.7487915690087992,0.9448046706745638
1931,0.8082292562223952,0.0919539119869175,0.9249368083910519,0.9573356608292137,0.8078296187560656,0.9635815839785214
2103,0.9129686590755245,0.3945233529278719,0.554267239675635,0.9160242597273277,0.7464101601491439,0.9859709297255488
