,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
10876,0.6547038400739753,0.5223570895584269,0.5629466815866009,0.9958271435008491,0.6696730894599174,0.8240793806774326
8418,0.6240618202546491,0.49861803332266613,0.6100178704172085,0.9145372135947004,0.9402806165275681,0.7763865937481048
1518,0.6458650479191995,0.3330220571428077,0.7774660317044897,0.9275948071989117,0.9539840317254282,0.8220220817477206
4673,0.7380464567619529,0.4065896835477714,0.6424172616653272,0.7367959012446155,0.9419230531267541,0.7136364135048544
9214,0.7708555134066291,0.36580836422886354,0.5639357435137722,0.7305085488652858,0.3970016109255076,0.9797601718978075
6066,0.7731510341759746,0.4280157173111141,0.5621148023289986,0.8265932948842688,0.703480382575874,0.7647411016838087
11261,0.7278311061973314,0.17386590355414297,0.8847813046346164,0.9365564629421749,0.8962969086307024,0.7538730146265294
12421,0.8551837553780839,0.18375105160092434,0.451694254034174,0.8335620421793456,0.030690122771972597,0.8544912579979852
12457,0.724460139439621,0.578949507409574,0.4760313319545396,0.940578794614436,0.8177652081447184,0.9618873979807562
10705,0.7537032648924908,0.4233903436457765,0.5854296668790383,0.7485086744602348,0.8928092817383255,0.7506400468884303
2388,0.841825922412799,0.2584395298157398,0.5346166850558866,0.6592198272322797,0.6978496604218506,0.9261265735183355
3301,0.6123685030089062,0.4355141251131246,0.6472571038820563,0.9804058187470137,0.7141342073416078,0.8303288980336085
5544,0.6217422738365872,0.38055695948453316,0.7107933499846893,0.8980246918208653,0.9243693248216157,0.7348261285266073
4624,0.9129297832630198,0.0792121342599158,0.8799956317815445,0.9265535558251182,0.8447180365934153,0.8234360968005188
3489,0.8962425593737168,0.07853990776364808,0.4665858164014167,0.7254317493590754,0.2756439017521304,0.9015400994629045
2880,0.8589640817389819,0.2185833527248849,0.5443811814179289,0.6738490997912276,0.6336226217150204,0.9477842318778998
604,0.8748218894349092,0.09772629336534179,0.617177811628914,0.6859144641935135,0.4206305393946939,0.9698526743180843
3969,0.6514863314284906,0.1898487074836705,0.8319206221866093,0.9813729249480115,0.5657994080587542,0.9225187030576817
12474,0.7828968269955177,0.0924013444611479,0.9549380657381911,0.9636923285805747,0.8666580449267665,0.7848511811241408
1653,0.9444715118232356,0.026833567191087305,0.7467302700378153,0.8211137659560718,0.7684361089262869,0.7887294735419839
6806,0.5807941702675977,0.4505549796836308,0.6098248135092713,0.9621109122688033,0.6265936993387211,0.8599956997763275
12120,0.8072163393183258,0.13446273531289502,0.8229492465800075,0.7254861484676638,0.8229005834213791,0.8656721397562155
2691,0.7065063164395472,0.5335300091637846,0.4759981373302808,0.9899183132920529,0.5993614421354856,0.7751196021785267
