,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
1503,0.1156360505511646,0.4415693715098828,0.622355878004662,0.9869835017709698
1172,0.8224401253997013,0.4373323125202863,0.9350559968147196,0.0058379882667499
227,0.8329183485422111,0.4096045751707898,0.3524103125310359,0.3831250935311799
646,0.5543361249392348,0.4633312909663696,0.5769928023297332,0.501438586112031
1366,0.4937397471895055,0.4798966264752332,0.8617491180726139,0.4440029159796335
401,0.5981011751872362,0.3667479270179015,0.0888770544204947,0.7771531700996076
509,0.2329737848142358,0.3712598578009757,0.3966497143623469,0.8636267810161954
257,0.0741968321445574,0.3950659793802268,0.8043499198050847,0.91635008927398
1149,0.1429805117231326,0.396143125035362,0.5174807589287352,0.9088883997495772
1171,0.5209954678109882,0.4456062088004982,0.3546596321538019,0.6516920695465823
556,0.8771078787185022,0.3441089632787943,0.1355173121205734,0.5185007451773175
1493,0.6319948841317186,0.4848293707952533,0.6480925373751081,0.4164284618555934
1799,0.6228453303495439,0.403423463671878,0.2671596327992971,0.6291141540782564
1464,0.9301832499139252,0.2254689980206572,0.5681191692994175,0.0617273098972632
1739,0.9315183807501608,0.37717718102117,0.1107385956629655,0.5577396371429514
1076,0.4813295280624094,0.4103352908280513,0.7930349559614156,0.4313697303262376
1809,0.7394532116580591,0.4249243310499528,0.6467192127380162,0.2164328232049734
1381,0.8401509626242206,0.3897165837163587,0.5906091630652459,0.1545944521694215
133,0.6171571470423382,0.4482835063770735,0.4608017538659425,0.4952720822607935
174,0.4147800693635998,0.4407429822277713,0.5915243133046227,0.6376858932149158
1254,0.6510289198661944,0.4539135375237545,0.8432595127659667,0.2229415611192696
1630,0.5006049172364352,0.3989115985138114,0.6527859114925086,0.4589955986508884
1055,0.2109605026631691,0.4053692737986443,0.7603652693224034,0.8030734664987006
913,0.1459073880693276,0.3718194299461719,0.4013226975169697,0.9637005434212408
43,0.4858281477634404,0.4057216451372734,0.3222579844512265,0.6922458606777143
958,0.9617990508427054,0.2720989003566971,0.6217882391036755,0.0449339515858899
738,0.8709933093876353,0.3207039332229415,0.1914592735586946,0.4464388919241793
1568,0.6929012819514714,0.4197150225603471,0.0934582046954066,0.7263492520387925
373,0.6833749561251286,0.4081832857881349,0.0082783363324698,0.8613293512532907
592,0.2945195361691709,0.4042625338480105,0.7227426231483086,0.7035965232421592
894,0.3654346460547355,0.4227047277297955,0.7779201285754498,0.613261032028931
1270,0.8309528715293775,0.3298142919028598,0.6872674259741764,0.0643040993624683
1027,0.141212681396875,0.4363450244863283,0.8206564408103127,0.8802810491966869
1038,0.8267855901332564,0.4370579423973794,0.8434990522076316,0.0607381664079695
510,0.8057304792408907,0.4306313362317622,0.7363736780087126,0.1380915862156879
1379,0.9853713271826696,0.354545342369147,0.0066139684557793,0.7509685212705037
1261,0.3500708971945532,0.3832620752935988,0.4793661866559371,0.7281663099660859
811,0.4360085426363044,0.4547762379643038,0.4554150933059422,0.7110286610523203
1820,0.5783732598202996,0.4498184750467214,0.2473671444984304,0.6841046334086848
1323,0.2691716339466902,0.4476939484009651,0.4705292343331311,0.8660737811844217
750,0.6723516068360886,0.471236543785081,0.4929088552769076,0.4469974967707709
1672,0.9734139863344148,0.3184308472388278,0.4960560382036783,0.1556148621769132
508,0.9563005445424902,0.2233828410984541,0.4222960191183529,0.1680432470619396
991,0.7094743918956226,0.4259944948361115,0.8219972978373616,0.1726607971187683
1487,0.3708184213637308,0.4665187422846815,0.6845113942062168,0.679806621177485
1312,0.2285004239035618,0.4425173885317638,0.3634328381298187,0.9491665944318624
148,0.8773099948601141,0.3849432358506731,0.4031392559428448,0.2905139280192024
1704,0.6224439064176112,0.3996541531896499,0.555553322352436,0.3758244907642504
1766,0.7716133623264704,0.4021006244742865,0.188490516329059,0.5959657329683867
1666,0.6337986151220636,0.3844383608615743,0.3945863706507143,0.4657045503075859
132,0.3412651042378892,0.3815913037767798,0.1478372576621824,0.9376455104561414
1139,0.7010416301584295,0.4518967362165981,0.2017445092170466,0.656999274566749
959,0.3267648941022333,0.4201848327316838,0.6389711921158605,0.7237376574801506
1200,0.9966237716308886,0.1597912185060576,0.5977913676586033,0.0198441765293681
360,0.781631580295923,0.4215241310210725,0.4704725656906038,0.3119463418007122
585,0.3160331605956906,0.4396466763085204,0.5177316240744197,0.7965134407771318
1686,0.1563620337194831,0.3627491327944466,0.2617582486973238,0.964679993308041
1801,0.7391110133757745,0.4609939144484168,0.9282975831174036,0.0899278305566844
802,0.508002032058198,0.3979738734839957,0.4675128423982174,0.5633130214827426
1221,0.6291456961767007,0.4355101413642856,0.962884663019484,0.1948458468176988
1679,0.7115831763696772,0.4919215936176598,0.7278184871801713,0.2811151548937037
354,0.5157423680727927,0.3811975947373001,0.1571431235774029,0.7650739177322378
1369,0.9952806429890207,0.0529527156334913,0.5333253853387214,0.0143978503874084
81,0.3808346669336253,0.3969663515395155,0.1781980845388598,0.8751001032248987
1601,0.4507702399024543,0.4217148569817731,0.6397898266815666,0.534052965019562
1321,0.7299501780976019,0.3625694792060929,0.0039202533240148,0.7743473373774868
1526,0.3791071842899193,0.3477236140838157,0.0569826807806262,0.9620202508696684
1559,0.920151098833951,0.3076058567788353,0.5946759959869109,0.0979129124386453
1380,0.3572048751840904,0.3710956287478342,0.2847819513126163,0.7907119346623958
1342,0.825501614432817,0.3374750790120717,0.0317664854393369,0.6688943931967859
572,0.9497559747698152,0.2743712321195766,0.3788623865655978,0.2374797984465523
911,0.651993432193223,0.4228109072250793,0.6450033749012816,0.3094639757456094
1041,0.9104966235142252,0.3472253065924608,0.4717369982545579,0.1870988201942614
924,0.0383683906405545,0.3724591907948361,0.887878096786028,0.924888760697747
1184,0.5676954318647929,0.4705867558173979,0.8179577803413104,0.3859303648661467
923,0.0330484061184381,0.363656279803471,0.7211971167057851,0.9586592402131234
1866,0.2307003833827033,0.4216374067718169,0.8256948370450264,0.7244633744523677
891,0.352199732841628,0.4182524099100734,0.2697217127561785,0.8873150934324137
42,0.2681011221380417,0.3927391629189248,0.3064023848530253,0.9038831799762966
502,0.5215399737292942,0.4364360099119,0.876390868007256,0.3561905642052303
705,0.0899350327998635,0.3640254007707018,0.4908242594124519,0.9585060603341276
1453,0.9961580119708058,0.344969775212128,0.0919501298967667,0.5944729565976096
311,0.894862173056077,0.3866048424943084,0.2386820092386573,0.4361535893539053
651,0.3113205260174285,0.4420399292025495,0.9382354932182756,0.6139626574537855
1730,0.5132082435400093,0.4780115648462624,0.4791818421722575,0.6258545567215296
895,0.822314057650635,0.444453676769276,0.5350735065745089,0.2687593973419502
833,0.4344383990092295,0.4627044977683712,0.7293562219255997,0.5801500703396711
1352,0.778364605168889,0.4689626716405293,0.8353481729699184,0.1275551334721686
31,0.4631979958345334,0.3967317637637346,0.0037384241039876,0.9976720488051212
930,0.9883487405762936,0.1378312085994153,0.4051841854532282,0.1484672758270665
1197,0.9944153661799248,0.1991966016286024,0.1063376267489904,0.4841234350385527
1049,0.607754974282361,0.4756511800532859,0.864448511812741,0.291326308850399
1787,0.4163224519492086,0.380977841690925,0.5157393434482365,0.6272574202552831
1001,0.3626033635613481,0.4100679098449181,0.9790663490707616,0.5047958750859861
223,0.7665813047612965,0.4400232988785673,0.3730518210876731,0.4250257989541725
877,0.9113422605146356,0.2818267203295322,0.0323833471334956,0.6226249813410466
908,0.5356509236322629,0.4284662122258946,0.1466862967714215,0.8355689133844484
