,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
383319,0.7499217400317356,0.4156517342750152,0.20725939409030403,0.780770032609959,0.11403376892274138,0.8599960319072683
267752,0.7428185956159601,0.45166860353200666,0.5911687379210236,0.8798456505627473,0.789836631903674,0.576203107205118
463891,0.7922847433938042,0.3346116309723617,0.32287951001618187,0.6690816928547465,0.2840279322612673,0.9328377344267423
415742,0.7197522217111326,0.3965527570548717,0.5718928129212646,0.7791730383666783,0.5257288312069489,0.7933338950356675
484483,0.6362895177422987,0.4572365716638669,0.4467963457837079,0.9400780508468957,0.06583712042393354,0.8138561636142951
411833,0.7939799415071421,0.0559849460510365,0.8864496437752927,0.7907269930442319,0.6639536597176607,0.7652933809955517
470951,0.7192536995527273,0.3661269808445898,0.6006583007316443,0.7381023139062499,0.5692082029054296,0.8826856713150569
139942,0.7317208455951366,0.3769907807680849,0.4837594019135111,0.8801845544210958,0.15123125319488873,0.6271286698002907
59681,0.8578433455672367,0.11528893875291168,0.013660207281629397,0.9376886853780049,0.7766199156746513,0.5452977793009512
401338,0.6914622476021254,0.47424204304233314,0.20097241575983685,0.9739157634664938,0.010827632525944172,0.4402475668926956
160822,0.7382713343893348,0.2733707238194276,0.6842008231862589,0.9100034861172006,0.2814861320533949,0.6753064779053647
445472,0.8941660812155846,0.019262362738067477,0.029036889480852666,0.8639696866726262,0.9074256147150607,0.6862188601444518
379529,0.7524841845140553,0.10441252818689795,0.9040639245938413,0.9826998751662777,0.261747875706728,0.7882302241870602
174037,0.833650691594135,0.3849395267282387,0.5533507138523929,0.9848968932618684,0.8974083651116639,0.12308102485717522
274279,0.6478808339536084,0.5249040412919538,0.46106047709998954,0.9198582543511564,0.5683057863492064,0.6947960941662411
277890,0.8599020097122114,0.008268169723119364,0.933669064854546,0.7662414175058831,0.9429643635082294,0.7301495656759549
300678,0.6696710218623632,0.47436262504862325,0.47676481469764187,0.8289487227950583,0.39440635062224727,0.8921828204068655
426408,0.7872933909100556,0.42279972975876,0.020831376188348412,0.8243498808677451,0.8410882961742996,0.8649304643058614
288134,0.7042601872393439,0.43244573178392876,0.4016574181637801,0.7754828842699532,0.035080290156754075,0.9880100959615469
