,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
133469,0.9102194661028947,0.11033303193843845,0.5140848765568102,0.6798918486058799,0.8929791133451264,0.8851248535727498
330918,0.863985636913155,0.014135703420221917,0.7342817091002134,0.7336498029314599,0.5810881849307424,0.8644981277385813
196989,0.764948172857631,0.47560432182068374,0.5029973460219778,0.7893543743281667,0.9368597603919535,0.6286516552359864
38375,0.6404866730789699,0.5450080434240202,0.5903418181362284,0.9280647760425476,0.9593420705643471,0.6943030076450958
121136,0.8725553176408529,0.05384304721632432,0.6888730762677187,0.7960736834743704,0.22411041728564107,0.8943253223463044
443554,0.8589715097081269,0.020666277665397928,0.6781711822282775,0.8973310611638362,0.4871552368463418,0.43965560522212005
335088,0.7976257041571962,0.4889843628525694,0.3562819230326937,0.7203718011029197,0.8325176306744452,0.98635720717837
272308,0.7428185956159601,0.45166860353200666,0.5911687379210236,0.8798456505627473,0.789836631903674,0.576203107205118
138911,0.7790816795155999,0.3692471256267934,0.5940925504050174,0.848299592678193,0.7521420763093912,0.5138310523620467
266913,0.8342983447106816,0.034197505038775215,0.7798124145150663,0.8220412704361852,0.7733402705525719,0.6270382544464156
184766,0.7978453758930835,0.34411572793420037,0.6018657787790405,0.7900817169158242,0.4673606287424206,0.8709817585831835
443778,0.7626075555334794,0.3408031405752241,0.6238592371830215,0.9789963859516477,0.7139988478199206,0.22241309918872432
151031,0.8279493929067425,0.27592802931807353,0.5515753741299634,0.9407228247849424,0.530664491041822,0.3812182206169068
145702,0.910800792895566,0.08265026763549982,0.42242762301356596,0.757902634448981,0.6811448219697149,0.8444031992371218
285868,0.7509864326052811,0.45607252908169355,0.5610137797189855,0.9072427884421014,0.6200209851526871,0.63205132089319
304825,0.8867286244863101,0.26834913405710337,0.4191249245297881,0.7601208980147106,0.8522657342167855,0.8199751145923301
171757,0.7765613930063361,0.5048067620709625,0.4035246122328689,0.857893354061014,0.925306266698944,0.5550661453100375
238164,0.8874207341387906,0.11255119593098993,0.525420406051071,0.9071683516553277,0.7198573260175141,0.425901114409476
226184,0.796748336643944,0.24424857297381347,0.6824274526971671,0.8422456066139616,0.09210591766111688,0.9683654661905646
216370,0.8746071218702518,0.08438752213516201,0.6622584123807368,0.7959948374042084,0.7780998626776997,0.5891119746404364
422515,0.7537032648924908,0.4233903436457765,0.5854296668790383,0.7485086744602348,0.8928092817383255,0.7506400468884303
274124,0.7593381589037328,0.5193449602113396,0.3267316168934406,0.9685516041280227,0.9091424154575687,0.3429375300671285
57865,0.848689035845872,0.1283402434370205,0.7140886153047354,0.8235894627603781,0.7850337991739645,0.5760552666043693
154399,0.8649562856304379,0.18071515741805927,0.500380426697918,0.9981436123683857,0.1403103014882337,0.5162559389086422
10692,0.8658016775541378,0.055119522800979676,0.687752770577449,0.9128884250406413,0.7249395311013139,0.3962640535993565
495486,0.6950570130337811,0.4942904592392183,0.5747179720462762,0.9394449796976587,0.34357767863248756,0.9586764438983265
430989,0.8767033152558241,0.007923668211310776,0.6998683886546292,0.6573337363291077,0.6903270401317774,0.9680371037887021
384793,0.7815676569895996,0.3789385290040985,0.6092783611645037,0.93357578925626,0.6849160767997969,0.4275125678119082
