,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,is_pareto
732,0.7526862803107406,0.12117366823022897,0.8113795450616648,0.9679007113924427,0.7475110959104043,0.3279756169272114,439.19318341774414,109.79775536059819,14.958038599851955,780.5737198836539,False
733,0.8427748331007452,0.18240833992380112,0.5736328971329592,0.9224070275804278,0.7310627742672884,0.11555933186206388,439.2782831889297,371.72004555865357,30.171714191618197,1542.4684939732,False
734,0.6820196508603948,0.06887588293779184,0.8279960937035341,0.933517736351509,0.3768587127754585,0.7844533387361224,439.58590816029954,197.49425224197822,14.834650121100442,523.286169354043,False
735,0.7572733244164209,0.38038908585975,0.5405358361624106,0.9876027732345297,0.5795033608562618,0.21508677324918143,439.6851819550167,251.66876319060256,39.98625616561791,1721.2030607747497,False
736,0.7382713343893348,0.2733707238194276,0.6842008231862589,0.9100034861172006,0.2814861320533949,0.6753064779053647,440.5396464754667,259.65992915141396,25.85490303928342,864.6638575070058,False
737,0.923632791898143,0.3570236131427704,0.5523409602117221,0.7905344856845721,0.9456102747148343,0.8445265501876836,440.97107384273056,17.121342928877183,10.84667115335219,3461.297484058157,False
738,0.7625934395590866,0.15287418951730994,0.7616730044695427,0.7995230806934392,0.5571405553400526,0.7004181040778095,442.03929994513703,103.67738873232807,12.994668319905523,467.9598520837259,False
739,0.6679607718996727,0.3575045558362826,0.8028715247859055,0.9815811630803961,0.9022332074617616,0.6993717884673997,442.3003292015693,9.814007142917466,2.849198930379523,127.97484721478122,False
740,0.7912565207377086,0.029420246923976417,0.7550824084285249,0.9994269574207284,0.6092846614785475,0.2511862347184678,442.5983698038993,69.31745493050933,4.782953422823712,225.89957517735428,False
741,0.6749218863983428,0.6044059276807113,0.29031580284446523,0.9979806355117853,0.5840140914027986,0.6988028868373439,443.9727332739259,289.4714118553524,21.310513264521354,447.3127977182241,False
