,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,temperature,density
0,0.3161588340535195,0.2901109959367261,0.2414737220263907,0.6031078808534825,0.30705956796892697,0.07383213782082002,230,832.8288218983146
1,0.3161588340535195,0.2901109959367261,0.2414737220263907,0.6031078808534825,0.30705956796892697,0.07383213782082002,290,63.58326399586556
2,0.3161588340535195,0.2901109959367261,0.2414737220263907,0.6031078808534825,0.30705956796892697,0.07383213782082002,250,753.5447908421987
3,0.3161588340535195,0.2901109959367261,0.2414737220263907,0.6031078808534825,0.30705956796892697,0.07383213782082002,270,37.75896672167979
4,0.3161588340535195,0.2901109959367261,0.2414737220263907,0.6031078808534825,0.30705956796892697,0.07383213782082002,210,886.8887051151905
5,0.3164360544499687,0.3060271328440969,0.24505247379839099,0.6185098700600662,0.40241859912719297,0.07692067341249828,290,615.5693094232679
6,0.3164360544499687,0.3060271328440969,0.24505247379839099,0.6185098700600662,0.40241859912719297,0.07692067341249828,270,692.5875395563619
7,0.3164360544499687,0.3060271328440969,0.24505247379839099,0.6185098700600662,0.40241859912719297,0.07692067341249828,210,853.1116117716584
8,0.3164360544499687,0.3060271328440969,0.24505247379839099,0.6185098700600662,0.40241859912719297,0.07692067341249828,250,760.3093608559494
9,0.3164360544499687,0.3060271328440969,0.24505247379839099,0.6185098700600662,0.40241859912719297,0.07692067341249828,230,810.9175208630638
10,0.32279964320349364,0.24159927736701634,0.27396665224028627,0.6022468581652578,0.4027676466397733,0.0728142693874449,230,814.9331250810321
11,0.32279964320349364,0.24159927736701634,0.27396665224028627,0.6022468581652578,0.4027676466397733,0.0728142693874449,270,681.9170831636745
12,0.32279964320349364,0.24159927736701634,0.27396665224028627,0.6022468581652578,0.4027676466397733,0.0728142693874449,210,867.2062650395517
13,0.32279964320349364,0.24159927736701634,0.27396665224028627,0.6022468581652578,0.4027676466397733,0.0728142693874449,250,757.5648026097774
14,0.32279964320349364,0.24159927736701634,0.27396665224028627,0.6022468581652578,0.4027676466397733,0.0728142693874449,290,65.83220059480851
15,0.3242043647696758,0.2847142723091707,0.258918599891071,0.5886103839493011,0.3657998592636573,0.08158311018676143,210,846.0065871421575
16,0.3242043647696758,0.2847142723091707,0.258918599891071,0.5886103839493011,0.3657998592636573,0.08158311018676143,290,590.6931677538444
17,0.3242043647696758,0.2847142723091707,0.258918599891071,0.5886103839493011,0.3657998592636573,0.08158311018676143,250,739.5150902781246
18,0.3242043647696758,0.2847142723091707,0.258918599891071,0.5886103839493011,0.3657998592636573,0.08158311018676143,230,801.4410367593571
19,0.3242043647696758,0.2847142723091707,0.258918599891071,0.5886103839493011,0.3657998592636573,0.08158311018676143,270,680.5755216761888
20,0.3276636977458918,0.23929142860833835,0.2711290696527134,0.6083471719052239,0.31663848920612037,0.0781557626806771,270,698.0064799995112
21,0.3276636977458918,0.23929142860833835,0.2711290696527134,0.6083471719052239,0.31663848920612037,0.0781557626806771,250,771.1219045085261
22,0.3276636977458918,0.23929142860833835,0.2711290696527134,0.6083471719052239,0.31663848920612037,0.0781557626806771,230,827.0448751710912
23,0.3276636977458918,0.23929142860833835,0.2711290696527134,0.6083471719052239,0.31663848920612037,0.0781557626806771,210,883.2447256769213
24,0.3276636977458918,0.23929142860833835,0.2711290696527134,0.6083471719052239,0.31663848920612037,0.0781557626806771,290,70.78722847604735
25,0.32876627804926223,0.21417800626251665,0.279286593206634,0.6180904092238518,0.2840038443666145,0.0745380393913408,290,71.56468383312058
26,0.32876627804926223,0.21417800626251665,0.279286593206634,0.6180904092238518,0.2840038443666145,0.0745380393913408,270,682.4947074984536
27,0.32876627804926223,0.21417800626251665,0.279286593206634,0.6180904092238518,0.2840038443666145,0.0745380393913408,250,753.8769262119373
28,0.32876627804926223,0.21417800626251665,0.279286593206634,0.6180904092238518,0.2840038443666145,0.0745380393913408,230,816.4252397717856
29,0.32876627804926223,0.21417800626251665,0.279286593206634,0.6180904092238518,0.2840038443666145,0.0745380393913408,210,869.1734058972206
30,0.3291730095838399,0.2666044114285615,0.26661990475567343,0.5844539956672993,0.402332176360536,0.07130629614376825,270,682.1880606171819
31,0.3291730095838399,0.2666044114285615,0.26661990475567343,0.5844539956672993,0.402332176360536,0.07130629614376825,230,799.1516490359885
32,0.3291730095838399,0.2666044114285615,0.26661990475567343,0.5844539956672993,0.402332176360536,0.07130629614376825,250,749.0211355697131
33,0.3291730095838399,0.2666044114285615,0.26661990475567343,0.5844539956672993,0.402332176360536,0.07130629614376825,290,69.77539227538833
34,0.3291730095838399,0.2666044114285615,0.26661990475567343,0.5844539956672993,0.402332176360536,0.07130629614376825,210,854.8300294733541
35,0.3300632810185471,0.2965417364490185,0.2530469653029569,0.612278833641954,0.3399032797203361,0.07626583291132862,290,65.70376340152787
36,0.3300632810185471,0.2965417364490185,0.2530469653029569,0.612278833641954,0.3399032797203361,0.07626583291132862,230,798.4858024852666
37,0.3300632810185471,0.2965417364490185,0.2530469653029569,0.612278833641954,0.3399032797203361,0.07626583291132862,270,676.8258458113751
38,0.3300632810185471,0.2965417364490185,0.2530469653029569,0.612278833641954,0.3399032797203361,0.07626583291132862,250,741.9533521055995
39,0.3300632810185471,0.2965417364490185,0.2530469653029569,0.612278833641954,0.3399032797203361,0.07626583291132862,210,844.8345481486205
40,0.3302972662856981,0.23796974149673408,0.27478809332799137,0.6135178437460279,0.28936805379580766,0.07799089897293143,250,759.5612014440956
