,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
4836,0.4875207974939947,0.4053225022454467,0.17012363545351525,0.8074170129252308
25713,0.4450319899827905,0.39929661587009857,0.13111751804153574,0.8757326272065482
63694,0.4250745892078796,0.39911115273667974,0.17202253946238052,0.8506182468046848
50632,0.1225087127061738,0.3983727148231718,0.5087270305315891,0.9517007182733733
115079,0.061979662390355864,0.3996787376616107,0.7868342323583618,0.9326451171593794
117470,0.04335636063297028,0.4010266144787343,0.7713784587628215,0.9577971321222564
75131,0.44707445153967906,0.3964118579239466,0.08692774962087728,0.9140075745464694
30477,0.45446195082863206,0.41179514336129214,0.19871354992850807,0.8147454207258086
76485,0.3842046371465986,0.4212617060236439,0.3959848960226653,0.7599506875357089
69493,0.6253638504823283,0.42120793436828574,0.33078006011534555,0.5605968884970306
139522,0.5580848885358285,0.4254671749369433,0.35581187729723907,0.6174906721742317
13744,0.49686620995439756,0.43283866645407715,0.4407699373387915,0.6259575670144408
138983,0.23838069205663753,0.4178559343525343,0.6772963348318867,0.7944856170362066
88390,0.3620883470536867,0.4157304960314546,0.4158022763759421,0.7655514714881585
111556,0.4060823386442858,0.4266090738093476,0.5762681420471283,0.6502421142593486
16301,0.09280231528406384,0.40468995332377916,0.6441972035802337,0.9415819837408245
97928,0.02088581102912985,0.3897912749122651,0.7059413046832804,0.9881964857990868
56831,0.02823954192800856,0.40207953008591846,0.8156745502819139,0.9646822585705211
67973,0.5123625899956368,0.40423678039464356,0.1714364232472878,0.7781299514061573
16939,0.2512290054445033,0.41571669528737437,0.36364671835480883,0.9088185290343915
1453,0.2681011221380417,0.39273916291892486,0.3064023848530253,0.9038831799762966
123187,0.07419683214455741,0.3950659793802268,0.8043499198050847,0.9163500892739801
124970,0.37711826751023764,0.4061436485969693,0.15017694341075566,0.9247571750296903
53571,0.23615908836582486,0.4042277350646543,0.5628609375943957,0.8234674159209977
11353,0.2671878361187806,0.4047860756785395,0.3812091813378185,0.8821654252943879
