,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
197304,0.764948172857631,0.47560432182068374,0.5029973460219778,0.7893543743281667,0.9368597603919535,0.6286516552359864
431613,0.8767033152558241,0.007923668211310776,0.6998683886546292,0.6573337363291077,0.6903270401317774,0.9680371037887021
305273,0.8867286244863101,0.26834913405710337,0.4191249245297881,0.7601208980147106,0.8522657342167855,0.8199751145923301
331402,0.863985636913155,0.014135703420221917,0.7342817091002134,0.7336498029314599,0.5810881849307424,0.8644981277385813
403055,0.8235079521925077,0.08974644667647634,0.7707492014314996,0.8279686090419452,0.943857301424074,0.5518897979040502
10714,0.8658016775541378,0.055119522800979676,0.687752770577449,0.9128884250406413,0.7249395311013139,0.3962640535993565
181453,0.630927748480743,0.6125923815104193,0.4967987553331207,0.8743758490864743,0.9684163956349939,0.8850549964475722
238532,0.8874207341387906,0.11255119593098993,0.525420406051071,0.9071683516553277,0.7198573260175141,0.425901114409476
121335,0.8725553176408529,0.05384304721632432,0.6888730762677187,0.7960736834743704,0.22411041728564107,0.8943253223463044
170118,0.9021457517200488,0.05959499822777245,0.49749811599164956,0.9782415154929335,0.9677111856700719,0.25793828858045714
185068,0.7978453758930835,0.34411572793420037,0.6018657787790405,0.7900817169158242,0.4673606287424206,0.8709817585831835
295981,0.854250664774543,0.3412519051798333,0.28100023085997583,0.9340830611875465,0.9363421748408185,0.4846450055113007
267313,0.8342983447106816,0.034197505038775215,0.7798124145150663,0.8220412704361852,0.7733402705525719,0.6270382544464156
164356,0.7739299982410671,0.3289792029528315,0.6817905235643125,0.8668430815651559,0.8569652644855779,0.5553240751414018
40880,0.883707303488665,0.135906007831786,0.5927474869053512,0.6455960705374477,0.8530341033158781,0.9195695117836901
423125,0.7537032648924908,0.4233903436457765,0.5854296668790383,0.7485086744602348,0.8928092817383255,0.7506400468884303
286295,0.7509864326052811,0.45607252908169355,0.5610137797189855,0.9072427884421014,0.6200209851526871,0.63205132089319
133679,0.9102194661028947,0.11033303193843845,0.5140848765568102,0.6798918486058799,0.8929791133451264,0.8851248535727498
211577,0.910475968491757,0.06146435783227843,0.4500721734579507,0.9762089980477903,0.19634425598308955,0.7076782379308183
316438,0.8906587057812984,0.12519809116157937,0.558608266048869,0.6810179141444112,0.8050723986334778,0.8620982668934255
