,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,temperature,liq_density,vap_density,Hvap,Pvap
0,0.3261855496961485,0.3225184763020838,0.224519813299968,0.5556923398446764,0.4065320833794674,0.0754989744093734,270,691.3916321644444,38.993214474888894,12.135775569166125,19.24558546778889
1,0.3261855496961485,0.3225184763020838,0.224519813299968,0.5556923398446764,0.4065320833794674,0.0754989744093734,290,617.8895760633333,75.16586114722222,9.711035345411736,33.64475806438889
2,0.3261855496961485,0.3225184763020838,0.224519813299968,0.5556923398446764,0.4065320833794674,0.0754989744093734,250,753.7367853455556,21.431719703777777,13.884152207545917,10.735942686
3,0.3261855496961485,0.3225184763020838,0.224519813299968,0.5556923398446764,0.4065320833794674,0.0754989744093734,230,804.9391439277776,10.134007314888889,15.32895488840502,5.071351431266667
4,0.3261855496961485,0.3225184763020838,0.224519813299968,0.5556923398446764,0.4065320833794674,0.0754989744093734,210,852.6273911566666,4.299685977666667,16.5480123612759,2.063792240855556
5,0.3313257159372009,0.2241434083108315,0.2794787606482576,0.5657350495933888,0.3849285729296827,0.0801969988346222,250,755.2497364911111,21.886485590333336,13.948859735387789,10.634331777633331
6,0.3313257159372009,0.2241434083108315,0.2794787606482576,0.5657350495933888,0.3849285729296827,0.0801969988346222,230,810.6147399788888,10.1895091831,15.59395237049791,4.992096361111112
7,0.3313257159372009,0.2241434083108315,0.2794787606482576,0.5657350495933888,0.3849285729296827,0.0801969988346222,210,860.7743033188888,3.9200893820222222,16.97907915113211,1.8765801540111116
8,0.3313257159372009,0.2241434083108315,0.2794787606482576,0.5657350495933888,0.3849285729296827,0.0801969988346222,270,684.6821629777777,40.05401167866667,12.026758863483478,18.87727430246667
9,0.3313257159372009,0.2241434083108315,0.2794787606482576,0.5657350495933888,0.3849285729296827,0.0801969988346222,290,602.4388322222221,85.12466453544445,9.082783569920904,34.22420657253333
10,0.3344122650277162,0.2993188189751632,0.2521838515901098,0.6032739055001966,0.3539789377942864,0.0806503594551962,230,801.0816799311111,8.193685151655554,16.119470113983677,4.168822206355555
11,0.3344122650277162,0.2993188189751632,0.2521838515901098,0.6032739055001966,0.3539789377942864,0.0806503594551962,210,846.1518964733333,3.47785635,17.30614714861737,1.694379035522222
