,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1,temperature,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,0.2163501581893704,0.29227463713086854,0.502989267551001,0.3945554624865424,150,1561.4125034444444,9.691155789355557,11.972469126703038,1.3133899890744443,-3142.232680788889,1104.7473064766666
1,0.2163501581893704,0.29227463713086854,0.502989267551001,0.3945554624865424,210,1129.4581981855558,157.03878014333333,6.999774246669624,21.088923830655556,63.31861912232644,1726.1945625222224
2,0.2163501581893704,0.29227463713086854,0.502989267551001,0.3945554624865424,190,1309.6181390444447,72.72414780622223,9.183126278369986,10.489134152699998,-1030.540454210667,1484.8956854666667
3,0.2163501581893704,0.29227463713086854,0.502989267551001,0.3945554624865424,130,1667.3078281222222,2.357909250233333,13.016959324792284,0.2853928053044444,-4130.678142433333,1011.8573358755557
4,0.2163501581893704,0.29227463713086854,0.502989267551001,0.3945554624865424,170,1444.8716130444443,29.575300395222225,10.756177166805875,4.2553667287222225,-2120.988880178889,1273.9632211555554
5,0.2234544425560842,0.29313665814167,0.3959432948473785,0.3978854068889202,210,1129.0924998666667,169.07623242888886,6.8814450183104094,21.90702049971111,52.51490090342078,1833.8952699666668
6,0.2234544425560842,0.29313665814167,0.3959432948473785,0.3978854068889202,170,1430.9577091666667,28.129590935555555,10.744009958614535,4.0760113207,-2123.8436156088887,1215.2618812211108
7,0.2234544425560842,0.29313665814167,0.3959432948473785,0.3978854068889202,190,1295.2514107444447,67.91051187866667,9.22522804490898,9.98097365548889,-1044.4314965666888,1386.5949813333334
8,0.2234544425560842,0.29313665814167,0.3959432948473785,0.3978854068889202,150,1547.5560670555558,9.790177846033334,11.92633702658468,1.3261568685077778,-3106.858165922222,1114.9584178822222
9,0.2234544425560842,0.29313665814167,0.3959432948473785,0.3978854068889202,130,1650.2568360444443,2.5006185770333333,12.948828846071851,0.30246153740111104,-4031.9254050777777,1072.21692236
10,0.22709635466123465,0.29106161625853777,0.455134679690917,0.3837745406819212,150,1570.8425817,10.434084817333332,11.822498283656502,1.4129003641888889,-2994.089393855556,1188.21221548
11,0.22709635466123465,0.29106161625853777,0.455134679690917,0.3837745406819212,170,1451.4640262777777,29.86343371411111,10.614376854321613,4.309294166966667,-2017.9765347288887,1287.6712129077778
12,0.22709635466123465,0.29106161625853777,0.455134679690917,0.3837745406819212,210,1124.318406788889,171.72310087,6.708761168320675,22.55071831753333,159.96901702280823,1860.8239297777777
13,0.22709635466123465,0.29106161625853777,0.455134679690917,0.3837745406819212,190,1308.841900311111,75.9928628571111,8.9914206211708,10.945528284699998,-911.5463368114333,1548.8925303444444
14,0.22709635466123465,0.29106161625853777,0.455134679690917,0.3837745406819212,130,1680.7853812888889,2.5086070165444445,12.871041409095517,0.30327183767222216,-3977.8637020000006,1075.9975496522222
15,0.22896066332286458,0.29164205050804703,0.5109809322671444,0.3758954463197278,210,1130.0372430866666,159.56729071,6.91413109905891,21.405666625955558,115.63625480003809,1722.1532146999998
16,0.22896066332286458,0.29164205050804703,0.5109809322671444,0.3758954463197278,170,1456.5907360222222,31.010425321333337,10.690667582586059,4.4409906751222215,-2060.70372573,1332.6818591911112
17,0.22896066332286458,0.29164205050804703,0.5109809322671444,0.3758954463197278,130,1683.417077488889,2.4937052239000006,12.9695404157965,0.30161783254111113,-4045.5406769777783,1069.913898841111
18,0.22896066332286458,0.29164205050804703,0.5109809322671444,0.3758954463197278,190,1316.6762969,71.45081620833335,9.160534433404985,10.405316229955556,-1003.0291348108777,1457.9207436333331
19,0.22896066332286458,0.29164205050804703,0.5109809322671444,0.3758954463197278,150,1577.2275126444445,10.674690558322222,11.919178563993821,1.4412388589,-3041.9206014666674,1214.514158421111
20,0.23809577107977498,0.2908549340476636,0.3128544929663087,0.3917921568957893,130,1672.976503322222,2.116921619477778,12.829199558386131,0.25669462812666666,-4100.641578122222,909.2941141522223
21,0.23809577107977498,0.2908549340476636,0.3128544929663087,0.3917921568957893,170,1445.2275008222225,29.73212250022222,10.57441417304359,4.2834815604222225,-1996.5258744999999,1281.9063003344445
22,0.23809577107977498,0.2908549340476636,0.3128544929663087,0.3917921568957893,210,1113.115937762222,174.21062275444447,6.608087780894117,22.661424038584446,201.65272610368555,1833.996597711111
23,0.23809577107977498,0.2908549340476636,0.3128544929663087,0.3917921568957893,190,1306.1761383444446,77.28635177233333,8.963273714968745,11.115539403944444,-896.4996849954,1574.7431297888888
24,0.23809577107977498,0.2908549340476636,0.3128544929663087,0.3917921568957893,150,1565.887782788889,10.73149896888889,11.781427347573912,1.4490026880444444,-2952.2022369111114,1220.3867958244443
25,0.2534375672237561,0.29047860756785393,0.2891653264632976,0.3814325184022382,170,1462.5977898888889,28.978095813555555,10.717040380716115,4.18961612801111,-2094.4656817022224,1250.31498266
26,0.2534375672237561,0.29047860756785393,0.2891653264632976,0.3814325184022382,150,1579.4905250333334,9.699950719733334,11.916200556467599,1.3144796199966666,-3106.7254569333336,1104.8352029533332
27,0.2534375672237561,0.29047860756785393,0.2891653264632976,0.3814325184022382,130,1689.2534865666667,2.4226442184777777,12.95611192776411,0.29323390105333336,-4067.004617055555,1039.1126559577779
28,0.2534375672237561,0.29047860756785393,0.2891653264632976,0.3814325184022382,190,1322.4671461666667,70.73661083277779,9.16217561484204,10.326631499122223,-1003.3143569880855,1444.0213335888889
29,0.2534375672237561,0.29047860756785393,0.2891653264632976,0.3814325184022382,210,1143.1467630155557,167.29703019,6.876325948796232,21.960074823926668,87.15627368720935,1795.9966926
