,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,temperature,md_density,expt_density,is_liquid
86,2.172166924789395,2.031082208262049,1.890060013590141,68.08853640038672,17.195735802568304,3.2422888290574496,210,1286.5604838912743,847.46,True
87,2.172166924789395,2.031082208262049,1.890060013590141,68.08853640038672,17.195735802568304,3.2422888290574496,230,1021.960208878722,800.92,True
135,2.271259229738504,2.083377852616615,1.784012881381437,30.525350845715767,42.65963407004963,9.563843328472156,230,1115.994881546717,800.92,True
139,2.271259229738504,2.083377852616615,1.784012881381437,30.525350845715767,42.65963407004963,9.563843328472156,210,1322.934289777185,847.46,True
198,2.399476082429822,2.5278345523288994,1.551524212377935,23.17394097028339,44.337610762365024,6.8165267100519715,210,1150.6646832212732,847.46,True
233,2.464492530487317,2.769258389021826,1.728050787051107,72.65278601230115,41.565778893616056,7.364852364610085,230,1086.837984421796,800.92,True
234,2.464492530487317,2.769258389021826,1.728050787051107,72.65278601230115,41.565778893616056,7.364852364610085,210,1196.1150682468383,847.46,True
235,2.4767209138986908,2.119957159843913,1.972235724740804,30.296231420231326,31.43671975727752,4.711900751537211,210,951.8861247839064,847.46,True
265,2.5338807498235822,2.5533401442115125,1.847411958498779,73.8397017586858,42.83332599051417,9.535685550850854,210,1307.7267918268385,847.46,True
268,2.5338807498235822,2.5533401442115125,1.847411958498779,73.8397017586858,42.83332599051417,9.535685550850854,230,1204.998353616622,800.92,True
269,2.5338807498235822,2.5533401442115125,1.847411958498779,73.8397017586858,42.83332599051417,9.535685550850854,250,1093.0294733922751,749.06,True
301,2.6037686297520466,2.069024100405938,2.177479444947245,54.537267664780366,19.55336418187906,9.644430351302617,210,1113.3710510292,847.46,True
303,2.6037686297520466,2.069024100405938,2.177479444947245,54.537267664780366,19.55336418187906,9.644430351302617,230,967.859201955132,800.92,True
325,2.657180775813523,2.441982033733314,1.6222286852580812,66.99080352231739,26.73365150739126,2.182660346476187,210,1383.2366950619032,847.46,True
328,2.657180775813523,2.441982033733314,1.6222286852580812,66.99080352231739,26.73365150739126,2.182660346476187,230,1271.0615840655917,800.92,True
362,2.727534244699263,2.41605889745275,1.8657961537431489,34.984405425792254,40.54422081318349,5.539866542080536,210,1080.7727335394804,847.46,True
387,2.778662788111614,2.703375537783857,1.508770856008026,47.57752252104215,18.434948308264477,8.698419133642092,210,1114.3259992196568,847.46,True
413,2.822876373246735,2.235245354951304,1.7990121802678591,42.50888613462758,15.928240434019964,8.354845652969447,210,1263.2229745605368,847.46,True
414,2.822876373246735,2.235245354951304,1.7990121802678591,42.50888613462758,15.928240434019964,8.354845652969447,230,1122.2965590837337,800.92,True
425,2.854128732698991,2.190486679726495,2.16496429610092,32.61736896376377,47.26763506557908,8.724544375158029,210,1028.6691878085253,847.46,True
450,2.9086218384565,2.9223962670400985,2.647552883559385,73.00190385165233,49.525281756689246,7.126987063987995,210,730.7952626750872,847.46,True
477,2.9542504706617088,2.215537269637103,2.416872058565041,54.46306889434861,34.96497514172701,6.271312206147685,210,933.0603083831244,847.46,True
490,2.98597501701896,2.609032959060682,2.625241289617133,60.63012368785934,47.782441096543025,8.547983196740836,230,712.8204769664802,800.92,True
494,2.98597501701896,2.609032959060682,2.625241289617133,60.63012368785934,47.782441096543025,8.547983196740836,210,798.1734122009013,847.46,True
496,2.9994099983256373,2.1440764522227527,2.212622506260688,69.00056583537116,27.815325870060597,9.796109573517228,250,1068.3021168904345,749.06,True
497,2.9994099983256373,2.1440764522227527,2.212622506260688,69.00056583537116,27.815325870060597,9.796109573517228,210,1214.8384990871086,847.46,True
498,2.9994099983256373,2.1440764522227527,2.212622506260688,69.00056583537116,27.815325870060597,9.796109573517228,230,1145.8200159667017,800.92,True
499,2.9994099983256373,2.1440764522227527,2.212622506260688,69.00056583537116,27.815325870060597,9.796109573517228,270,972.2497224692056,688.78,True
506,3.0140756207295882,3.176816784518066,2.084185127544507,56.53643927477806,38.30921750822047,6.697516003936259,210,797.1926486886777,847.46,True
522,3.047382821601738,2.294440665226581,2.1500993370931027,64.9486992818441,46.66016021544912,4.5117316849336415,230,1089.9130044249157,800.92,True
523,3.047382821601738,2.294440665226581,2.1500993370931027,64.9486992818441,46.66016021544912,4.5117316849336415,210,1165.9702288220324,847.46,True
524,3.047382821601738,2.294440665226581,2.1500993370931027,64.9486992818441,46.66016021544912,4.5117316849336415,250,984.0626493393912,749.06,True
540,3.083949437461701,2.003620034192116,1.884926623171404,60.00099389377028,15.447945143242059,9.830417441526818,290,990.6689227663878,613.19,True
541,3.083949437461701,2.003620034192116,1.884926623171404,60.00099389377028,15.447945143242059,9.830417441526818,230,1297.8487387252778,800.92,True
542,3.083949437461701,2.003620034192116,1.884926623171404,60.00099389377028,15.447945143242059,9.830417441526818,210,1381.805991594701,847.46,True
543,3.083949437461701,2.003620034192116,1.884926623171404,60.00099389377028,15.447945143242059,9.830417441526818,270,1112.7958631961094,688.78,True
544,3.083949437461701,2.003620034192116,1.884926623171404,60.00099389377028,15.447945143242059,9.830417441526818,250,1212.1844224450335,749.06,True
549,3.0927902720819,2.010032288349686,2.640456150309818,61.7260168532765,27.639004733415685,3.9841992313917425,210,816.0635939423718,847.46,True
600,3.2097480312919817,2.076278147274348,1.597272372792119,72.03506006678337,22.18074905880546,7.493689570798449,230,1313.0114937422873,800.92,True
