,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,temperature,md_density,expt_density,is_liquid
601,3.2097480312919817,2.076278147274348,1.597272372792119,72.03506006678337,22.18074905880546,7.493689570798449,210,1380.4335798593902,847.46,True
602,3.2097480312919817,2.076278147274348,1.597272372792119,72.03506006678337,22.18074905880546,7.493689570798449,270,1153.4708525570557,688.78,True
603,3.2097480312919817,2.076278147274348,1.597272372792119,72.03506006678337,22.18074905880546,7.493689570798449,250,1236.2605406653367,749.06,True
605,3.215527111762291,3.0828710906027013,2.107242077248118,74.22331551873842,25.87444160491569,4.536818425699263,210,826.0355777807538,847.46,True
611,3.224788338709737,2.301034594762839,1.899429244363387,57.58628781924783,30.150336336828648,4.964872485623264,210,1142.9929660932196,847.46,True
613,3.224788338709737,2.301034594762839,1.899429244363387,57.58628781924783,30.150336336828648,4.964872485623264,230,1064.67844004215,800.92,True
615,3.234499214544026,2.341533783860152,2.534367011160641,62.56086661169808,28.691178713906268,7.615676067221704,230,836.7567009811044,800.92,True
616,3.234499214544026,2.341533783860152,2.534367011160641,62.56086661169808,28.691178713906268,7.615676067221704,210,900.1445784531849,847.46,True
647,3.290942445813772,3.378969058394477,2.256805055739751,56.04224592644807,45.985857146964825,6.358679020740831,210,727.3216715531224,847.46,True
648,3.290942445813772,3.378969058394477,2.256805055739751,56.04224592644807,45.985857146964825,6.358679020740831,230,664.1163789010046,800.92,True
657,3.3137624740486658,2.782701698721005,2.03567956213221,71.03173149567137,27.28189104996334,7.439439160717508,230,914.4913471181565,800.92,True
658,3.3137624740486658,2.782701698721005,2.03567956213221,71.03173149567137,27.28189104996334,7.439439160717508,210,989.0821700431644,847.46,True
711,3.424209454255707,3.7270030612710943,2.9169184007073667,68.57696619079451,39.127061177049015,6.554671734306009,230,468.6515314775547,800.92,True
712,3.424209454255707,3.7270030612710943,2.9169184007073667,68.57696619079451,39.127061177049015,6.554671734306009,210,529.9652454506344,847.46,True
719,3.4375586449521602,2.8013392367239094,2.344481018122781,64.49881327800804,34.161597991004285,4.3596732727311425,210,831.1009932562258,847.46,True
728,3.452320892988214,3.385419331342734,1.9246998274486549,67.67258608261136,30.539765365747083,7.667337539004789,210,727.089292385404,847.46,True
730,3.469610141589669,2.8940961213216507,2.451254916352145,64.05469104471563,46.32131181297231,9.467577192117867,210,855.8170914625107,847.46,True
731,3.469610141589669,2.8940961213216507,2.451254916352145,64.05469104471563,46.32131181297231,9.467577192117867,230,817.4069509801581,800.92,True
732,3.469610141589669,2.8940961213216507,2.451254916352145,64.05469104471563,46.32131181297231,9.467577192117867,250,765.5471247433957,749.06,True
733,3.469610141589669,2.8940961213216507,2.451254916352145,64.05469104471563,46.32131181297231,9.467577192117867,270,716.9716202729138,688.78,True
734,3.469610141589669,2.8940961213216507,2.451254916352145,64.05469104471563,46.32131181297231,9.467577192117867,290,650.8001797546452,613.19,True
756,3.5133541122079768,2.267104897810221,2.044506398410694,68.34939043687628,16.41672571700239,4.470145771978883,210,947.9567682336112,847.46,True
772,3.5474513041234577,3.135549236941173,2.846215888057815,56.94511336057579,21.825787450398973,9.608293523231445,210,609.9997597542894,847.46,True
804,3.606872030934528,2.743710961205459,2.276589672596832,45.46973421364573,40.32373551706287,7.689690775873909,210,791.3311950425847,847.46,True
862,3.722005084017155,3.203136713500021,2.390906885993678,31.36303591021583,48.78563652949924,7.789258480996303,210,603.1281060329846,847.46,True
896,3.797464518573308,2.277996994536892,2.580063757803543,73.60685665084874,21.194073851964454,5.680374633902242,230,739.9226114805331,800.92,True
897,3.797464518573308,2.277996994536892,2.580063757803543,73.60685665084874,21.194073851964454,5.680374633902242,210,784.7117581321551,847.46,True
952,3.906304636893977,2.7999626575794787,2.026274642026486,70.07480014865503,48.37817012170134,4.8047867138407625,210,687.3167592069481,847.46,True
955,3.9178049442036227,3.4272889377069533,2.983702731654888,40.529503642754946,43.61848689647988,8.471424154756075,230,476.4910148132428,800.92,True
958,3.9178049442036227,3.4272889377069533,2.983702731654888,40.529503642754946,43.61848689647988,8.471424154756075,210,522.4469645393918,847.46,True
985,3.9736037258738,3.592811605209551,2.5761274498491638,58.79121051746761,44.66798870350732,8.221404290057881,210,585.9859326806761,847.46,True
986,3.9736037258738,3.592811605209551,2.5761274498491638,58.79121051746761,44.66798870350732,8.221404290057881,230,561.2638130368057,800.92,True
987,3.9736037258738,3.592811605209551,2.5761274498491638,58.79121051746761,44.66798870350732,8.221404290057881,250,513.0116202897385,749.06,True
989,3.9736037258738,3.592811605209551,2.5761274498491638,58.79121051746761,44.66798870350732,8.221404290057881,270,473.4402727429208,688.78,True
